EXPECTATION,EXPECTATION_RAISE_LIMIT_24,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT_2,EXACT_RANGE_EXP_2,
90000,120000,120000,120000,120000,
92400,117600,120000,120000,120000,
92400,117300,120300,120000,120000,
92400,117300,120900,119400,120000,
92400,117300,120900,119100,120300,
93900,117300,120900,119100,118800,
92300,120500,120900,119100,117200,
92300,120200,121050,119100,117350,
92300,120200,119150,121000,117350,
92300,120200,119150,120700,117650,
89900,120200,119150,120700,120050,
87700,122400,119150,120700,120050,
87700,124700,116850,120700,120050,
87700,124700,117450,120100,120050,
87700,124700,117450,120700,119450,
83200,124700,117450,125800,118850,
85900,123500,117450,125800,117350,
70100,144500,112250,125800,117350,
70100,144500,103450,134600,117350,
70100,144500,103450,134000,117950,
66800,144500,103450,134000,121250,
70700,143600,103450,134000,118250,
72500,143300,101950,134000,118250,
75900,143300,100250,132300,118250,
86600,143300,100250,125800,114050,
86600,143300,101150,125800,113150,
88800,141100,101150,125800,113150,
82800,147700,100550,125800,113150,
79100,147700,98150,131900,113150,
79100,147700,98150,132500,112550,
79100,147700,98150,132500,112550,
78500,141700,98150,132500,119150,
78500,141100,98750,132500,119150,
78500,141100,96750,134500,119150,
78500,141100,96750,140500,113150,
74300,141100,96750,140500,117350,
68300,135100,96750,140500,129350,
68300,134800,97050,140500,129350,
68300,132700,101250,138400,129350,
68300,132700,102750,138100,128150,
65900,132700,102750,138100,130550,
63500,135100,102750,138100,130550,
63500,129100,102150,138100,137150,
63500,127800,99050,142500,137150,
63500,127800,99050,142200,137450,
65000,127800,99050,142200,135950,
63200,131400,99050,142200,134150,
63200,132000,98450,142200,134150,
63200,132000,100050,140600,134150,
63200,132000,97050,137600,140150,
64700,132000,97050,137600,138650,
62200,134500,97050,137600,138650,
64000,134200,95550,137600,138650,
64000,134200,96750,136400,138650,
64000,134200,97650,136100,138050,
59800,134200,97650,136100,142250,
57200,136800,97650,136100,142250,
57200,134500,99950,136100,142250,
57200,134500,100550,135500,142250,
57200,134500,100700,135200,142400,
51200,134500,100700,135200,148400,
53400,132300,100700,135200,148400,
53400,132000,101000,135200,148400,
53400,132000,103200,133000,148400,
53400,140100,103200,132400,140900,
54600,140100,103200,132400,139700,
57200,137500,103200,132400,139700,
57200,135300,105400,132400,139700,
57200,135300,104800,133000,139700,
57200,135300,104200,132700,140600,
58700,135300,104200,132700,139100,
58100,129300,104200,132700,145700,
58100,129000,104500,132700,145700,
58100,129000,101700,135500,145700,
58100,129000,101700,136100,145100,
54200,129000,101700,136100,149000,
55100,128100,101700,136100,149000,
55100,127800,102000,136100,149000,
55100,127800,103200,134900,149000,
55100,127800,103200,134600,149300,
54500,127800,103200,135800,148700,
56600,125700,103200,135800,148700,
56600,125400,103500,135800,148700,
56600,129600,101400,133700,148700,
56600,129600,101400,139700,142700,
55100,129600,101400,142400,141500,
57600,127100,101400,142400,141500,
57600,124800,103700,142400,141500,
57600,124800,97600,148500,141500,
57600,124800,98800,147900,140900,
65700,124800,98800,140400,140300,
65100,131400,98800,140400,134300,
63000,129300,103000,140400,134300,
63000,128700,106000,138000,134300,
63000,128700,92200,137700,148400,
70000,128700,92200,134200,144900,
67800,130900,92200,134200,144900,
67800,136900,86200,134200,144900,
67800,141500,84900,130900,144900,
67800,141500,84900,127900,147900,
67200,141500,84900,127900,148500,
47700,140900,84900,148000,148500,
47700,141500,84300,148000,148500,
47700,141500,85800,146500,148500,
47700,141500,86100,146200,148500,
49200,141500,86100,146200,147000,
44700,140600,86100,146200,152400,
44700,138400,88300,146200,152400,
44700,137800,89500,145600,152400,
44700,137800,90400,145300,151800,
46200,137800,90400,145300,150300,
43800,140200,90400,145300,150300,
43800,135000,95600,145300,150300,
43800,135000,93000,147900,150300,
43800,135000,93000,153900,144300,
43200,136200,93000,153900,143700,
40200,139200,93000,153900,143700,
40200,138900,93300,153900,143700,
40200,138900,94800,152400,143700,
40200,138900,94800,148200,147900,
36000,138900,94800,148200,152100,
33100,141800,94800,148200,152100,
34900,141500,93300,148200,152100,
34900,141500,90300,151200,152100,
34900,141500,89700,152400,151500,
36400,141500,89700,152400,150000,
40400,139500,89700,152400,148000,
40400,140100,89100,152400,148000,
40400,111000,87700,182900,148000,
40400,111000,87700,182600,148300,
41900,111000,87700,182600,146800,
41300,117600,87700,182600,140800,
41300,118200,87100,182600,140800,
49700,118200,83800,177500,140800,
49700,118200,83800,178100,140200,
51200,118200,83800,178100,138700,
56200,115700,83800,178100,136200,
56200,115400,84100,178100,136200,
56200,115400,75800,186400,136200,
56200,115400,75800,186100,136500,
55600,115400,75800,172400,150800,
57700,114800,75800,172400,149300,
57700,120800,69800,172400,149300,
57700,120800,68300,173900,149300,
57700,120800,67100,167900,156500,
55300,120800,67100,170900,155900,
56500,119600,67100,170900,155900,
56500,119600,67100,170900,155900,
56500,119600,67700,170300,155900,
56500,119600,68900,169700,155300,
54100,119600,68900,169700,157700,
52200,121500,68900,169700,157700,
47700,126900,68000,169700,157700,
47700,126900,65300,172400,157700,
47700,126900,65300,172100,158000,
57500,126900,65300,167200,153100,
59500,124900,65300,167200,153100,
59500,122700,67500,167200,153100,
59500,127300,64200,165900,153100,
59500,127300,64200,165600,153400,
61000,127300,64200,165600,151900,
59500,128800,64200,165600,151900,
59500,128800,64200,165600,151900,
59500,128800,66900,162900,151900,
59500,128800,73800,156600,151300,
61000,128800,73800,156600,149800,
58900,130900,73800,156600,149800,
58900,131500,73200,156600,149800,
58900,131500,68700,161100,149800,
58900,131500,62700,167700,149200,
60400,131500,62700,167700,147700,
56500,135400,62700,167700,147700,
56500,135100,56700,167700,154000,
56500,130900,61500,167100,154000,
56500,130900,61500,161100,160000,
58000,130900,61500,161100,158500,
8400,230100,61500,111500,158500,
8400,227900,63700,111500,158500,
8400,227900,62500,112700,158500,
8400,227900,62500,118700,152500,
4500,227900,62500,118700,156400,
2700,229700,62500,118700,156400,
4500,229400,61000,118700,156400,
4500,226400,67000,115700,156400,
4500,226400,67000,119900,152200,
3000,226400,67000,119900,153700,
0,225500,67000,119900,157600,
0,225200,61000,119900,163900,
0,225200,61600,119300,163900,
0,225200,61600,119000,164200,
0,224600,54400,119000,172000,
0,224600,54400,119000,172000,
0,224300,54550,119000,172150,
0,224300,55750,117800,172150,
0,224300,53950,117500,174250,
0,201600,53950,117500,196950,
0,208800,53950,117500,189750,
0,208500,54250,117500,189750,
0,202700,62250,115300,189750,
0,202700,62250,117700,187350,
0,193600,62250,117100,197050,
0,193600,62250,117100,197050,
0,193300,62550,117100,197050,
0,192700,63750,116500,197050,
0,192700,63750,120700,192850,
0,193300,63750,120700,192250,
0,193300,63750,120700,192250,
0,193000,64050,120700,192250,
0,193000,67150,117600,192250,
0,193000,67150,111600,198250,
0,193600,67150,111600,197650,
0,191800,67150,111600,199450,
0,192400,66550,111600,199450,
0,195300,64550,110700,199450,
0,195300,64550,110400,199750,
0,194700,64550,110400,200350,
0,194700,64550,110400,200350,
0,187500,63950,110400,208150,
0,187500,60650,113700,208150,
0,187500,60650,114300,207550,
0,191700,60650,114300,203350,
0,191700,39850,135100,203350,
0,191400,40150,135100,203350,
0,191400,40150,135100,203350,
0,191400,34150,141700,202750,
0,197400,34150,141700,196750,
0,197400,34150,141700,196750,
0,197100,34450,141700,196750,
0,194600,39450,139200,196750,
0,194600,39450,138900,197050,
0,207700,39450,138900,183950,
0,207700,39150,138600,184550,
0,207400,39450,138600,184550,
0,196700,38550,150200,184550,
0,196700,37650,149300,186350,
0,197300,37650,149300,185750,
0,197300,37650,149300,185750,
0,197900,37050,149300,185750,
0,202100,33750,148400,185750,
0,202100,33750,148100,186050,
0,202700,33750,148100,185450,
0,208100,33750,148100,180050,
0,211100,30750,148100,180050,
0,211100,30150,148700,180050,
0,211100,30150,151100,177650,
0,217100,30150,151100,171650,
0,217100,30150,151100,171650,
0,216800,25450,156100,171650,
0,216800,28650,152900,171650,
0,216800,28650,152600,171950,
0,213400,28650,163000,164950,
0,213400,28650,163000,164950,
0,211000,31050,163000,164950,
0,211000,31050,163000,164950,
0,211000,32250,162400,164350,
0,217000,32250,162400,158350,
0,217000,31150,165900,155950,
0,214300,33850,165900,155950,
0,217600,32050,164400,155950,
0,217600,34150,163500,154750,
0,222400,34150,162900,150550,
0,222400,34950,162100,150550,
0,222100,36450,162100,149350,
0,222100,38950,159600,149350,
0,222100,38950,159300,149650,
0,222700,38950,159300,149050,
0,229900,38950,159300,141850,
0,229300,34450,159300,146950,
0,229300,31450,162300,146950,
0,229300,31450,156300,152950,
0,219400,31450,155700,163450,
0,234500,31450,140600,163450,
0,235100,30850,140600,163450,
0,235100,31450,140000,163450,
0,242800,31450,139700,156050,
0,239200,31450,139700,159650,
0,237400,35050,139700,157850,
0,237100,35350,139700,157850,
0,237100,36250,138800,157850,
0,237100,36250,138500,158150,
0,243700,36250,137900,152150,
0,236500,36250,137900,159350,
0,236200,36550,137900,159350,
