Call Man,Call Man,Expectation,Expectation,Expectation
10000,10000,10000,10000,10000
13000,8500,8500,10000,10000
16000,7000,7000,10000,10000
14500,11200,5500,8800,10000
13000,9700,4000,7600,15700
11500,8200,7600,7600,15100
10000,11200,6100,7600,15100
8500,9700,9100,7600,15100
12400,8200,7600,6700,15100
17200,6700,6100,5800,14200
15700,5200,4600,4300,20200
14200,3700,7600,4300,20200
12700,2200,10600,4300,20200
16300,700,9100,3700,20200
14800,0,7600,2200,25400
13300,0,9400,2200,25100
11800,0,10900,2200,25100
13900,0,9400,1600,25100
12400,0,10150,2350,25100
10900,0,8650,850,29600
9400,0,10450,850,29300
10900,0,8950,850,29300
10700,0,7450,2550,29300
12200,0,5950,1950,29900
16700,0,4450,450,28400
18800,0,2950,450,27800
17300,0,4450,450,27800
15800,0,6550,450,27200
17900,0,5050,450,26600
16400,0,6625,975,26000
14900,0,5125,975,29000
13400,0,6625,975,29000
11900,0,8725,375,29000
14000,0,7225,375,28400
12500,0,10600,0,26900
14300,0,9100,0,26600
15800,0,7600,0,26600
14300,0,9700,0,26000
12800,0,12100,0,25100
11600,0,13300,0,25100
10100,0,15400,0,24500
11600,0,13900,0,24500
10100,0,16000,0,23900
8600,0,18700,0,22700
9800,0,17500,0,22700
11600,0,16000,0,22400
13100,0,14500,0,22400
11600,0,17500,0,20900
10100,0,16000,0,23900
11300,0,14800,0,23900
9800,0,16900,0,23300
8300,0,18400,0,23300
6800,0,18700,0,24500
5300,0,17200,0,27500
4100,0,18400,0,27500
2600,0,16900,0,30500
4100,0,15400,0,30500
2600,0,17500,0,29900
1100,0,19600,0,29300
0,0,20700,0,29300
0,0,20400,0,29600
0,0,21000,0,29000
0,0,21900,0,28100
0,0,20400,0,29600
0,0,20400,0,29600
0,0,20700,0,29300
0,0,21300,0,28700
0,0,21900,0,28100
0,0,20700,0,29300
0,0,20700,0,29300
0,0,21000,0,29000
0,0,22500,0,27500
0,0,21900,0,28100
0,0,23100,0,26900
0,0,23100,0,26900
0,0,23400,0,26600
0,0,24000,0,26000
0,0,25500,0,24500
0,0,24900,0,25100
0,0,24900,0,25100
0,0,24600,0,25400
0,0,23400,0,26600
0,0,24000,0,26000
0,0,22500,0,27500
0,0,22500,0,27500
0,0,22800,0,27200
0,0,22200,0,27800
0,0,20700,0,29300
0,0,20100,0,29900
0,0,20100,0,29900
0,0,18600,0,31400
0,0,19200,0,30800
0,0,20400,0,29600
0,0,21000,0,29000
