EXPECTATION_CHECK,EXPECTATION_CHECK,EXPECTATION_CHECK,EXPECTATION,EXPECTATION
10000,10000,10000,10000,10000
9700,10150,10000,10150,10000
9700,10750,9400,10150,10000
9700,10750,9100,10450,10000
9700,10750,9100,10150,10300
9100,10750,9100,10150,10900
8800,11050,9100,10150,10900
8800,10750,9400,10150,10900
8800,10750,9100,10450,10900
8800,11350,9100,10450,10300
9100,11350,9100,10450,10000
8800,11650,9100,10450,10000
8800,12250,8500,10450,10000
8800,12250,8200,10750,10000
8800,12250,8200,10450,10300
8500,12250,8200,10450,10600
8200,12550,8200,10450,10600
8200,12850,7900,10450,10600
8200,12850,7600,10750,10600
8200,12850,7600,10150,11200
8800,12850,7600,10150,10600
9400,12250,7600,10150,10600
9400,11950,7900,10150,10600
9400,12250,7600,10150,10600
9400,12250,7600,10750,10000
9700,12250,7600,10750,9700
9400,12250,7600,11050,9700
11200,11050,7000,11050,9700
11200,11350,6700,11050,9700
11200,11950,6700,11050,9100
11500,11950,6700,11050,8800
11200,12250,6700,11050,8800
11200,12550,6400,11050,8800
11200,12850,6100,11050,8800
11200,13450,6100,11050,8200
10600,13450,6100,12850,7000
10600,12550,7000,12850,7000
10600,13150,6400,12850,7000
10600,13450,6100,12850,7000
10600,13450,6100,13450,6400
10300,13450,6100,13450,6700
10000,13750,6100,13450,6700
8500,15850,5500,13450,6700
8500,15850,5200,13750,6700
8500,15850,5200,13450,7000
8800,15850,5200,13450,6700
8500,15850,5200,13750,6700
8500,14350,6700,13750,6700
8500,14650,6400,13750,6700
8500,14650,6400,14950,5500
8200,14650,6400,14950,5800
7000,13450,7600,14950,7000
7000,13750,7300,14950,7000
7000,13750,7000,15250,7000
7000,14350,7000,15250,6400
7000,14350,7000,15250,6400
6700,14350,7000,15550,6400
6700,14650,6700,15550,6400
6700,14950,6400,15550,6400
6700,15550,6400,15550,5800
6700,15550,6400,15550,5800
6400,15850,6400,15550,5800
6400,15550,6700,15550,5800
6400,15550,7300,14950,5800
6400,15550,7300,14350,6400
7900,15550,7300,14350,4900
7600,15850,7300,14350,4900
7600,15550,7600,14350,4900
7600,15550,7300,14650,4900
7600,15550,7300,15250,4300
7300,15550,7300,15250,4600
7000,15850,7300,15250,4600
7000,15550,6700,16150,4600
7000,15550,6400,16450,4600
7000,15550,6400,16150,4900
7300,15550,6400,16150,4600
7000,15700,6400,16300,4600
7000,16000,6100,16300,4600
7000,16000,5800,16600,4600
7000,16600,5800,16600,4000
6400,16600,5800,16600,4600
6400,16000,5800,16600,5200
6400,15700,6100,16600,5200
6400,15850,5800,16750,5200
6400,15850,5800,16450,5500
6100,15850,5800,16450,5800
5800,16150,5800,16450,5800
