CALL_MAN,SIMPLE_RANGE,SIMPLE_RANGE,EXPECTATION,EXPECTATION
10000,10000,10000,10000,10000
10600,9400,10000,10000,10000
8800,9100,12100,10000,10000
9700,9100,11800,9400,10000
10900,9100,11800,8800,9400
13300,8200,11200,8800,8500
11500,10000,11200,8800,8500
10900,9700,12100,8800,8500
14800,9700,8800,8200,8500
13300,9700,8800,10300,7900
18400,7600,7300,10300,6400
19000,7000,7300,10300,6400
21100,6700,5500,10300,6400
19600,6700,5200,12100,6400
21100,6700,5200,11500,5500
20800,6700,5200,11500,5800
20800,5500,5200,11500,7000
21700,5200,4600,11500,7000
23200,5200,4300,10300,7000
21700,3700,3700,15100,5800
19900,2200,2500,13300,12100
18400,4300,1900,13300,12100
17500,4000,3100,13300,12100
19000,4000,2800,12100,12100
17200,3400,7600,10300,11500
15700,5500,7600,10300,10900
16300,4900,7600,10300,10900
15700,4600,8500,10300,10900
13600,2800,10900,11800,10900
13000,2800,11500,11200,11500
14800,2200,10900,11200,10900
13000,4000,10900,11200,10900
13600,3400,10300,11200,11500
15100,3400,10000,10000,11500
13600,3400,10000,9400,13600
12100,2800,9400,8200,17500
12100,2200,9400,8200,18100
12700,1900,8800,8200,18400
11800,1300,10000,8500,18400
10300,1300,9400,7300,21700
9100,1300,10600,7300,21700
9700,700,10600,7300,21700
10450,400,10000,7300,21850
11350,400,10600,5800,21850
10750,0,10600,7400,21250
10150,0,10000,7400,22450
9550,0,10600,7400,22450
10150,0,10000,7400,22450
9250,0,9400,8900,22450
7750,0,9400,8600,24250
8050,0,9400,8600,23950
8650,0,8800,8600,23950
8650,0,8800,8600,23950
7750,0,8500,9800,23950
6250,0,11200,9200,23350
6550,0,11200,9200,23050
7150,0,10600,9200,23050
6850,0,10600,9200,23350
2650,0,19000,5000,23350
1150,0,19000,8000,21850
850,0,19000,8000,22150
1450,0,18400,8000,22150
0,0,19000,8850,22150
0,300,18700,8850,22150
0,300,18700,8550,22450
0,900,18100,8550,22450
0,900,18100,8550,22450
0,600,18400,8550,22450
0,900,18100,8550,22450
0,900,18100,8850,22150
0,300,20500,8850,20350
0,300,20500,8850,20350
0,0,20800,8850,20350
0,300,20500,8850,20350
0,300,20500,8550,20650
0,900,19900,8550,20650
0,1500,19300,8550,20650
0,1800,19000,8550,20650
0,2100,18700,8550,20650
0,2100,18700,8850,20350
0,2400,18700,8850,20050
0,2400,18700,8850,20050
0,2100,19000,8850,20050
0,2400,18700,8850,20050
0,2400,18700,9150,19750
0,2700,18700,9150,19450
0,3000,18400,9150,19450
0,3300,18100,9150,19450
0,3600,17800,9150,19450
0,3600,17800,8850,19750
0,4500,17200,8850,19450
0,4500,17200,8850,19450
0,4200,17500,8850,19450
0,4200,17200,9150,19450
0,4800,16600,10050,18550
0,4200,16000,10050,19750
0,4200,16000,10050,19750
0,3900,16300,10050,19750
0,5400,16000,8850,19750
0,5400,16000,8550,20050
0,5400,16000,8850,19750
0,5400,16000,8850,19750
0,5700,15700,8850,19750
0,5700,15400,9150,19750
0,5700,15400,9450,19450
0,7500,15400,9450,17650
0,7500,15400,9450,17650
0,7800,15100,9450,17650
0,7800,14800,9750,17650
0,8100,15400,9450,17050
0,8100,15400,9750,16750
0,8100,14800,10350,16750
0,8400,14500,10350,16750
0,8400,14200,12150,15250
0,9600,14200,11550,14650
0,13200,13600,10050,13150
0,13200,13600,10050,13150
0,12900,13900,10050,13150
0,12900,13600,10350,13150
0,12900,13600,9750,13750
0,12300,14500,9750,13450
0,12900,13900,9750,13450
0,13200,13600,9750,13450
0,13500,13300,9750,13450
0,14400,13300,9450,12850
0,13800,13300,9450,13450
0,13800,13300,9450,13450
0,13800,13300,9450,13450
0,13800,13000,9750,13450
0,13200,13000,10950,12850
0,13350,13000,11100,12550
0,13350,13000,11100,12550
0,13050,13300,11100,12550
0,13350,13000,11100,12550
0,13950,14500,10500,11050
0,14250,14500,10500,10750
0,14250,14500,10500,10750
0,13950,14800,10500,10750
0,14250,14500,10500,10750
0,14250,14500,10200,11050
0,13650,15700,10200,10450
0,13650,15700,10200,10450
0,13950,15400,10200,10450
0,13950,15100,10500,10450
0,13950,15100,11100,9850
0,13350,15100,11100,10450
0,13350,15100,11100,10450
0,13650,14800,11100,10450
0,13650,14500,11400,10450
0,13650,14500,12000,9850
0,13650,14500,12300,9550
0,13650,14500,12300,9550
0,13950,14200,12300,9550
0,14250,13900,12300,9550
0,14250,13900,12900,8950
0,14250,13900,13200,8650
0,13950,14200,13200,8650
0,13650,14500,13200,8650
0,13650,14200,13500,8650
0,13650,14200,13800,8350
0,13950,14200,13800,8050
