CALL_MAN,SIMPLE_RANGE_EXP,SIMPLE_RANGE_EXP,EXPECTATION,EXPECTATION
10000,10000,10000,10000,10000
10600,9400,10000,10000,10000
8200,12400,9400,10000,10000
9400,12400,9100,9100,10000
10600,12400,9100,8500,9400
11200,12400,9100,8500,8800
11800,11800,9100,8500,8800
5000,400,27300,8500,8800
3500,400,27000,10300,8800
2000,400,27000,9700,10900
2300,400,27000,9700,10600
2900,400,26400,9700,10600
1400,0,28300,9700,10600
0,0,32100,7300,10600
0,0,32100,7000,10900
0,0,32400,7000,10600
0,0,32100,7300,10600
0,0,31800,7600,10600
0,0,33300,6100,10600
0,0,33300,5800,10900
0,0,33600,5800,10600
0,0,33300,6100,10600
0,0,33000,6400,10600
0,0,32700,6700,10600
0,0,32700,7300,10000
0,0,33000,7300,9700
0,0,33600,6700,9700
0,0,33300,7000,9700
0,0,33000,7300,9700
0,0,33000,7000,10000
0,0,33300,7000,9700
0,0,33000,7300,9700
0,0,33000,7300,9700
0,0,32700,7600,9700
0,0,32700,8200,9100
0,0,33000,8200,8800
0,0,32700,8500,8800
0,0,32400,8800,8800
0,0,32100,9100,8800
0,0,32100,8800,9100
0,0,32400,8800,8800
0,0,33000,8200,8800
0,0,32700,8500,8800
0,0,32400,8800,8800
0,0,32400,8500,9100
0,0,32700,8500,8800
0,0,32400,8800,8800
0,0,33000,8200,8800
0,0,33600,7600,8800
0,0,33600,7300,9100
0,0,32400,7300,10300
0,0,32100,7600,10300
0,0,33000,6700,10300
0,0,32700,7000,10300
0,0,32700,6700,10600
0,0,33000,6700,10300
0,0,32700,7000,10300
0,0,32400,7300,10300
0,0,33300,6400,10300
0,0,33300,7000,9700
0,0,33600,7000,9400
0,0,33600,7000,9400
0,0,35100,5500,9400
0,0,34800,5800,9400
0,0,34800,5500,9700
0,0,35100,5500,9400
0,0,34800,5800,9400
0,0,34500,6100,9400
0,0,35100,5500,9400
0,0,35100,5200,9700
0,0,36000,5200,8800
0,0,35700,5500,8800
0,0,35400,5800,8800
0,0,35100,6100,8800
0,0,35100,5800,9100
0,0,35400,5800,8800
0,0,36600,4600,8800
0,0,36300,4900,8800
0,0,36000,5200,8800
0,0,36000,5800,8200
0,0,36300,5800,7900
0,0,36000,6100,7900
0,0,35700,6400,7900
0,0,35400,6700,7900
0,0,35400,6400,8200
0,0,35700,6400,7900
0,0,35400,6700,7900
0,0,35100,7000,7900
0,0,35700,6400,7900
0,0,35700,6100,8200
0,0,36300,6100,7600
0,0,36000,6400,7600
0,0,35700,6700,7600
0,0,35400,7000,7600
0,0,35400,7600,7000
0,0,35700,7600,6700
0,0,36300,7000,6700
0,0,36000,7300,6700
0,0,34500,8800,6700
0,0,34500,8500,7000
0,0,33900,8500,7600
0,0,33600,8800,7600
0,0,33300,9100,7600
0,0,33000,9400,7600
0,0,33000,9100,7900
0,0,32400,9100,8500
0,0,33000,8500,8500
0,0,32700,8800,8500
0,0,32400,9100,8500
0,0,32400,8800,8800
0,0,27600,8800,13600
0,0,28200,8200,13600
0,0,27900,8500,13600
0,0,27600,8800,13600
0,0,27600,8500,13900
0,0,27900,8500,13600
0,0,27600,8800,13600
0,0,27300,9100,13600
0,0,25200,11200,13600
0,0,25200,10900,13900
0,0,25500,10900,13600
0,0,25200,11200,13600
0,0,24900,11500,13600
0,0,24600,11800,13600
0,0,24600,11500,13900
0,0,24900,11500,13600
0,0,24600,11800,13600
0,0,24300,12100,13600
0,0,24000,12400,13600
0,0,24000,12100,13900
0,0,25200,12100,12700
0,0,24900,12400,12700
0,0,24600,12700,12700
0,0,24300,13000,12700
0,0,24300,12700,13000
0,0,21300,12700,16000
0,0,21000,13000,16000
0,0,20700,13300,16000
0,0,20400,13600,16000
0,0,20400,14200,15400
0,0,20700,14200,15100
0,0,21300,13600,15100
0,0,21000,13900,15100
0,0,21900,13000,15100
0,0,21900,12700,15400
0,0,22200,12700,15100
0,0,21900,13000,15100
0,0,21600,13300,15100
0,0,22200,12700,15100
0,0,22200,12400,15400
0,0,22500,12400,15100
0,0,22200,12700,15100
0,0,21900,13000,15100
0,0,21600,13300,15100
0,0,21600,13000,15400
0,0,20400,13000,16600
0,0,20100,13300,16600
0,0,19800,13600,16600
0,0,19500,13900,16600
0,0,19500,13600,16900
0,0,19800,13600,16600
0,0,19500,13900,16600
0,0,21900,11500,16600
0,0,21600,11800,16600
0,0,21600,12400,16000
0,0,21900,12400,15700
0,0,21600,12700,15700
0,0,21300,13000,15700
0,0,21000,13300,15700
0,0,21000,13000,16000
0,0,27600,13000,9400
0,0,27300,13300,9400
0,0,27900,12700,9400
0,0,27600,13000,9400
