CALL_MAN,SIMPLE_RANGE_EXP,SIMPLE_RANGE_EXP,SIMPLE_RANGE,SIMPLE_RANGE
10000,10000,10000,10000,10000
11200,8800,10000,10000,10000
30500,0,100,9400,10000
30500,0,100,9400,10000
28100,0,100,9100,12700
28400,0,100,9100,12400
29000,0,100,8500,12400
29000,0,100,8500,12400
29300,0,100,8500,12100
30200,0,100,8200,11500
30500,0,100,8200,11200
31100,0,100,7600,11200
30500,0,100,8800,10600
30500,0,100,8800,10600
27500,0,100,8200,14200
27800,0,100,8200,13900
28400,0,100,7600,13900
26600,0,100,7300,16000
26600,0,100,7300,16000
23600,0,100,7000,19300
23900,0,100,7000,19000
24500,0,100,6400,19000
24500,0,100,6400,19000
24500,0,100,6400,19000
22700,0,100,6100,21100
23000,0,100,6100,20800
23600,0,100,5500,20800
23600,0,100,5500,20800
23600,0,100,5500,20800
23000,0,100,5200,21700
23300,0,100,5200,21400
21800,0,100,6700,21400
20000,0,100,6700,23200
20000,0,100,6700,23200
20900,0,100,6400,22600
21200,0,100,6400,22300
19700,0,100,5800,24400
18500,0,100,7600,23800
17000,0,100,6700,26200
16400,0,100,6400,27100
16700,0,100,6400,26800
17300,0,100,5800,26800
17300,0,100,5800,26800
18800,0,100,4900,26200
17000,0,100,4600,28300
17900,0,100,4000,28000
18500,0,100,3400,28000
15500,0,100,6400,28000
15500,0,100,6400,28000
16400,0,100,6100,27400
16700,0,100,6100,27100
17300,0,100,5500,27100
17600,0,100,5500,26800
17600,0,100,5500,26800
17000,0,100,5200,27700
17300,0,100,5200,27400
17900,0,100,4600,27400
17900,0,100,4600,27400
17900,0,100,4600,27400
18800,0,100,4300,26800
19100,0,100,4300,26500
19700,0,100,3700,26500
19400,0,100,4000,26500
19100,0,100,4000,26800
20000,0,100,3700,26200
20300,0,100,3700,25900
20900,0,100,3100,25900
20900,0,100,3100,25900
22100,0,100,2500,25300
21500,0,100,2200,26200
21800,0,100,2200,25900
23000,0,100,1600,25300
24200,0,100,1000,24700
23200,0,100,2600,24100
24100,0,100,2300,23500
24400,0,100,2300,23200
25000,0,100,1700,23200
24400,0,100,2000,23500
23200,0,100,2000,24700
22000,0,100,1700,26200
22300,0,100,1700,25900
20800,0,100,3200,25900
20800,0,100,3200,25900
17200,0,100,2900,29800
16000,0,100,2600,31300
16300,0,100,2600,31000
16900,0,100,2000,31000
16900,0,100,2000,31000
16900,0,100,2000,31000
16300,0,100,1700,31900
16600,0,100,1700,31600
17200,0,100,1100,31600
12400,0,100,1100,36400
