CALL_MAN,SIMPLE_RANGE_EXP,SIMPLE_RANGE_EXP,SIMPLE_RANGE_EXP_IMP,SIMPLE_RANGE_EXP_IMP,
10000,10000,10000,10000,10000,
11800,8200,10000,10000,10000,
2500,0,27500,10000,10000,
1000,0,27200,11800,10000,
3200,0,27200,10800,8800,
3500,0,27200,10800,8500,
4100,0,26600,10800,8500,
1700,0,29600,10200,8500,
0,0,22800,0,27200,
0,0,22500,0,27500,
0,0,22800,0,27200,
0,0,22500,0,27500,
0,0,22200,0,27800,
0,0,21900,0,28100,
0,0,21600,0,28400,
0,0,21900,0,28100,
0,0,21600,0,28400,
0,0,21300,0,28700,
0,0,21000,0,29000,
0,0,20700,0,29300,
0,0,21000,0,29000,
0,0,20700,0,29300,
0,0,21300,0,28700,
0,0,21000,0,29000,
0,0,20700,0,29300,
0,0,21000,0,29000,
0,0,20700,0,29300,
0,0,21300,0,28700,
0,0,21000,0,29000,
0,0,21000,0,29000,
0,0,21300,0,28700,
0,0,21000,0,29000,
0,0,21600,0,28400,
0,0,22200,0,27800,
0,0,23100,0,26900,
0,0,23400,0,26600,
0,0,23100,0,26900,
0,0,22800,0,27200,
0,0,24000,0,26000,
0,0,23700,0,26300,
0,0,24000,0,26000,
0,0,23700,0,26300,
0,0,24300,0,25700,
0,0,24000,0,26000,
0,0,23700,0,26300,
0,0,24000,0,26000,
0,0,23700,0,26300,
0,0,23400,0,26600,
0,0,23100,0,26900,
0,0,22800,0,27200,
0,0,22200,0,27800,
0,0,21900,0,28100,
0,0,21600,0,28400,
0,0,21300,0,28700,
0,0,24900,0,25100,
0,0,25200,0,24800,
0,0,24900,0,25100,
0,0,24600,0,25400,
0,0,24300,0,25700,
0,0,24000,0,26000,
0,0,24300,0,25700,
0,0,24900,0,25100,
0,0,24600,0,25400,
0,0,24300,0,25700,
0,0,24000,0,26000,
0,0,24300,0,25700,
0,0,24000,0,26000,
0,0,23700,0,26300,
0,0,23400,0,26600,
0,0,23100,0,26900,
0,0,23400,0,26600,
0,0,23100,0,26900,
0,0,22800,0,27200,
0,0,22500,0,27500,
0,0,22500,0,27500,
0,0,22800,0,27200,
0,0,22500,0,27500,
0,0,22200,0,27800,
0,0,21900,0,28100,
0,0,21600,0,28400,
0,0,25200,0,24800,
0,0,25800,0,24200,
0,0,25500,0,24500,
0,0,28800,0,21200,
0,0,28500,0,21500,
0,0,28800,0,21200,
0,0,29400,0,20600,
0,0,29100,0,20900,
0,0,29700,0,20300,
0,0,29400,0,20600,
0,0,29700,0,20300,
0,0,27900,0,22100,
0,0,27600,0,22400,
0,0,27300,0,22700,
0,0,27000,0,23000,
0,0,27300,0,22700,
0,0,25800,0,24200,
0,0,25500,0,24500,
0,0,26100,0,23900,
0,0,25800,0,24200,
0,0,25200,0,24800,
0,0,24900,0,25100,
0,0,24600,0,25400,
0,0,24300,0,25700,
0,0,24000,0,26000,
0,0,24300,0,25700,
0,0,24000,0,26000,
0,0,23700,0,26300,
0,0,23400,0,26600,
0,0,23100,0,26900,
0,0,23400,0,26600,
0,0,23100,0,26900,
0,0,22800,0,27200,
0,0,22500,0,27500,
0,0,22200,0,27800,
0,0,22500,0,27500,
0,0,22200,0,27800,
0,0,21900,0,28100,
0,0,22500,0,27500,
0,0,22200,0,27800,
0,0,22500,0,27500,
0,0,22200,0,27800,
0,0,20700,0,29300,
0,0,20400,0,29600,
0,0,20100,0,29900,
0,0,20400,0,29600,
0,0,20100,0,29900,
0,0,19800,0,30200,
0,0,19500,0,30500,
0,0,19200,0,30800,
0,0,19500,0,30500,
0,0,20100,0,29900,
0,0,19800,0,30200,
0,0,19500,0,30500,
0,0,19200,0,30800,
0,0,19500,0,30500,
0,0,19200,0,30800,
0,0,19800,0,30200,
0,0,19500,0,30500,
0,0,19200,0,30800,
0,0,19500,0,30500,
0,0,20400,0,29600,
0,0,20100,0,29900,
0,0,20700,0,29300,
0,0,20400,0,29600,
0,0,19200,0,30800,
0,0,19800,0,30200,
0,0,19500,0,30500,
0,0,19200,0,30800,
0,0,18900,0,31100,
0,0,19200,0,30800,
0,0,18900,0,31100,
0,0,18600,0,31400,
0,0,18300,0,31700,
0,0,18000,0,32000,
0,0,18300,0,31700,
0,0,18000,0,32000,
0,0,18600,0,31400,
0,0,18300,0,31700,
0,0,18000,0,32000,
0,0,18300,0,31700,
0,0,19200,0,30800,
0,0,20100,0,29900,
0,0,21300,0,28700,
0,0,21900,0,28100,
0,0,22200,0,27800,
0,0,20700,0,29300,
0,0,20400,0,29600,
0,0,20100,0,29900,
0,0,20100,0,29900,
0,0,20400,0,29600,
0,0,21600,0,28400,
0,0,21300,0,28700,
0,0,21000,0,29000,
0,0,19200,0,30800,
0,0,19500,0,30500,
0,0,20100,0,29900,
0,0,20700,0,29300,
0,0,21300,0,28700,
0,0,21000,0,29000,
0,0,21300,0,28700,
0,0,21000,0,29000,
0,0,20700,0,29300,
0,0,20400,0,29600,
0,0,20100,0,29900,
0,0,20400,0,29600,
0,0,20100,0,29900,
0,0,22500,0,27500,
0,0,22200,0,27800,
0,0,21900,0,28100,
0,0,22200,0,27800,
0,0,21900,0,28100,
0,0,21000,0,29000,
0,0,20700,0,29300,
0,0,21000,0,29000,
0,0,19800,0,30200,
0,0,19500,0,30500,
0,0,20100,0,29900,
0,0,19800,0,30200,
0,0,21900,0,28100,
0,0,22200,0,27800,
0,0,21900,0,28100,
0,0,21600,0,28400,
0,0,21300,0,28700,
0,0,21000,0,29000,
0,0,21300,0,28700,
0,0,21900,0,28100,
0,0,21600,0,28400,
0,0,22200,0,27800,
0,0,21900,0,28100,
0,0,22200,0,27800,
0,0,21900,0,28100,
0,0,21600,0,28400,
0,0,21300,0,28700,
0,0,20700,0,29300,
0,0,21000,0,29000,
0,0,20700,0,29300,
0,0,20400,0,29600,
0,0,20100,0,29900,
0,0,19800,0,30200,
0,0,20100,0,29900,
0,0,19800,0,30200,
0,0,20700,0,29300,
0,0,22800,0,27200,
0,0,22500,0,27500,
0,0,23400,0,26600,
0,0,23100,0,26900,
0,0,22800,0,27200,
0,0,22500,0,27500,
0,0,22200,0,27800,
0,0,21600,0,28400,
0,0,21300,0,28700,
0,0,21000,0,29000,
0,0,20700,0,29300,
0,0,20400,0,29600,
0,0,20700,0,29300,
0,0,20400,0,29600,
0,0,21300,0,28700,
0,0,21000,0,29000,
0,0,20700,0,29300,
0,0,21000,0,29000,
0,0,21600,0,28400,
0,0,21300,0,28700,
0,0,21000,0,29000,
0,0,21900,0,28100,
0,0,22200,0,27800,
0,0,21900,0,28100,
0,0,21600,0,28400,
0,0,21300,0,28700,
0,0,21000,0,29000,
0,0,17400,0,32600,
0,0,17100,0,32900,
0,0,16800,0,33200,
0,0,16500,0,33500,
0,0,16200,0,33800,
0,0,16500,0,33500,
0,0,16200,0,33800,
0,0,16800,0,33200,
0,0,18000,0,32000,
0,0,17700,0,32300,
0,0,18000,0,32000,
0,0,17700,0,32300,
0,0,17400,0,32600,
0,0,17100,0,32900,
0,0,14100,0,35900,
0,0,14400,0,35600,
0,0,14100,0,35900,
0,0,13800,0,36200,
0,0,13500,0,36500,
0,0,13200,0,36800,
0,0,10800,0,39200,
0,0,10500,0,39500,
0,0,10200,0,39800,
0,0,9900,0,40100,
0,0,9600,0,40400,
0,0,12300,0,37700,
0,0,12000,0,38000,
0,0,12600,0,37400,
0,0,12300,0,37700,
0,0,12000,0,38000,
0,0,12300,0,37700,
0,0,11100,0,38900,
0,0,10800,0,39200,
0,0,10500,0,39500,
0,0,10200,0,39800,
