CALL_MAN,SIMPLE_RANGE_EXP_IMP,SIMPLE_RANGE_EXP_IMP,EXPECTATION,EXPECTATION
10000,10000,10000,10000,10000
10600,9400,10000,10000,10000
12400,9100,8500,10000,10000
10900,9100,7000,13000,10000
12400,9100,7000,12100,9400
10900,9100,7000,12100,10900
11500,8500,7000,12100,10900
10600,7600,8800,12100,10900
11500,7600,8500,11500,10900
10000,6400,7000,17200,9400
10600,6400,7000,17200,8800
11800,5200,7000,17200,8800
13900,3700,6400,17200,8800
12400,3700,8500,16600,8800
10900,2200,8500,15700,12700
11200,2200,8500,15700,12400
10300,3100,8500,15700,12400
8800,2800,10300,15700,12400
8500,4300,10000,14800,12400
7000,4300,10000,16900,11800
7300,4300,10000,16900,11500
7900,3700,10000,16900,11500
6400,5800,9400,16900,11500
4900,5800,7900,19900,11500
6400,5800,7900,19300,10600
6700,5800,7900,19300,10300
7300,5200,7900,19300,10300
7600,3700,9100,19300,10300
6100,3700,11800,18100,10300
4600,3700,11800,16600,13300
4900,3700,11800,16600,13000
3400,5200,11800,16600,13000
1900,7300,11200,16600,13000
4300,7300,10000,15400,13000
3100,7300,8800,14500,16300
4300,7300,8800,14500,15100
4900,6700,8800,14500,15100
3400,8800,8200,14500,15100
2200,7600,11800,13300,15100
4300,7600,11800,12400,13900
4600,7600,11800,12400,13600
5200,7000,11800,12400,13600
4000,6700,13300,12400,13600
3100,6700,13000,13600,13600
4000,6700,13000,13300,13000
4300,6700,13000,13300,12700
5200,5800,13000,13300,12700
4300,4300,15400,13300,12700
2800,4300,13900,16300,12700
3700,4300,13900,16000,12100
4000,4300,13900,16000,11800
4600,3700,13900,16000,11800
3100,4900,14200,16000,11800
5500,4900,12700,15100,11800
4300,4900,12700,14800,13300
4600,4900,12700,14800,13000
6100,3400,12700,14800,13000
4600,5500,12100,14800,13000
7300,5500,10600,13600,13000
5800,5500,10600,16300,11800
4300,7300,10600,16300,11500
4900,6700,10600,16300,11500
5200,5200,11800,16300,11500
3700,5200,10300,19300,11500
5500,5200,10300,18100,10900
5800,5200,10300,18100,10600
6400,4600,10300,18100,10600
6100,3100,12100,18100,10600
8800,3100,10600,16900,10600
9700,3100,10600,16600,10000
10000,3100,10600,16600,9700
8500,4600,10600,16600,9700
9700,4900,9100,16600,9700
12700,4900,7600,15100,9700
12400,6400,7600,14500,9100
12700,6400,7600,14500,8800
15400,5200,7600,13000,8800
17800,3700,6700,13000,8800
16300,3700,5200,16000,8800
17500,3700,5200,15400,8200
17800,3700,5200,15400,7900
19300,2200,5200,15400,7900
18100,1300,7300,15400,7900
16600,1300,5800,18400,7900
16000,1300,5800,18100,8800
16300,1300,5800,18100,8500
16900,700,5800,18100,8500
15600,0,7800,18100,8500
18600,0,6300,16600,8500
17100,0,6300,15100,11500
15600,0,6300,15100,13000
14100,0,7800,15100,13000
13500,0,7800,16300,12400
12000,0,9000,16600,12400
13200,0,9000,16300,11500
13500,0,9000,16300,11200
14100,0,8400,16300,11200
14100,0,8400,16300,11200
12600,0,6900,19300,11200
15000,0,6900,18100,10000
15300,0,6900,18100,9700
13800,0,6300,18100,11800
13800,0,6300,18100,11800
12300,0,7500,18400,11800
10800,0,7500,17800,13900
11100,0,7500,17800,13600
12600,0,6000,17800,13600
12600,0,6000,17800,13600
11100,0,7800,17500,13600
12600,0,7800,17200,12400
11100,0,7800,17200,13900
11700,0,7200,17200,13900
11100,0,7200,17800,13900
13200,0,5700,17200,13900
11700,0,5700,15700,16900
12000,0,5700,15700,16600
12600,0,5100,15700,16600
12900,0,5100,15700,16300
15900,0,3600,14200,16300
14400,0,5700,13300,16600
14700,0,5700,13300,16300
13200,0,7200,13300,16300
12300,0,7200,13300,17200
13200,0,6900,12700,17200
11700,0,6900,15700,15700
10200,0,6900,15700,17200
10800,0,6300,15700,17200
10800,0,6300,15700,17200
12900,0,4800,15100,17200
12300,0,7200,13900,16600
12900,0,7200,13900,16000
14100,0,6000,13900,16000
14100,0,6000,13900,16000
16800,0,4500,12700,16000
18300,0,4500,12400,14800
18900,0,4500,12400,14200
19500,0,3900,12400,14200
19500,0,3900,12400,14200
18000,0,6600,11200,14200
17400,0,6600,10900,15100
15900,0,6600,10900,16600
16500,0,6000,10900,16600
16500,0,6000,10900,16600
15300,0,8400,9700,16600
13800,0,8400,12400,15400
14100,0,8400,12400,15100
14700,0,7800,12400,15100
14400,0,7800,12400,15400
13800,0,7500,13300,15400
15900,0,7500,12700,13900
17400,0,7500,12700,12400
15900,0,9000,12700,12400
15900,0,9000,12700,12400
18900,0,7500,11200,12400
18900,0,8700,10600,11800
19200,0,8700,10600,11500
