CALL_MAN,EXACT_RANGE,EXACT_RANGE,EXPECTATION,EXPECTATION
10000,10000,10000,10000,10000
10600,9400,10000,10000,10000
9100,9100,9400,10000,12400
10900,9100,9100,8500,12400
9400,9100,9100,7000,15400
9700,9100,9100,7000,15100
10300,8500,9100,7000,15100
9700,8200,10000,7000,15100
8200,8200,9700,8800,15100
10300,8200,9700,7300,14500
10600,8200,9700,7300,14200
11200,7600,9700,7300,14200
10600,7300,10600,7300,14200
12100,7300,10300,6100,14200
10600,7300,10300,8200,13600
9100,7300,10300,8200,15100
9700,6700,10300,8200,15100
9100,6400,11200,8200,15100
10300,6400,10900,7300,15100
11800,6400,10900,7000,13900
13300,6400,10900,7000,12400
13900,5800,10900,7000,12400
14050,5500,11050,7000,12400
15550,5500,10750,5800,12400
17950,5500,10750,4600,11200
18250,5500,10750,4600,10900
18850,4900,10750,4600,10900
18250,4600,11650,4600,10900
19150,4600,11350,4000,10900
17650,4600,11350,3700,12700
18250,4600,11350,3700,12100
18850,4000,11350,3700,12100
19750,3700,10750,3700,12100
18850,3700,10450,4900,12100
20650,3700,10450,3700,11500
21250,3700,10450,3700,10900
21850,3100,10450,3700,10900
21250,2800,11350,3700,10900
19750,2800,11050,5500,10900
19150,2800,11050,5200,11800
19450,2800,11050,5200,11500
20050,2200,11050,5200,11500
18550,1900,10450,7600,11500
19450,1900,10150,7000,11500
20650,1900,10150,6400,10900
20950,1900,10150,6400,10600
21550,1300,10150,6400,10600
22450,1000,9550,6400,10600
23350,1000,9250,5800,10600
24850,1000,9250,4900,10000
25750,1000,9250,4900,9100
26350,400,9250,4900,9100
27250,100,8650,4900,9100
28150,100,8350,4300,9100
29350,100,8350,3700,8500
29650,100,8350,3700,8200
30250,100,7750,3700,8200
30250,100,7750,3700,8200
31150,100,7450,3100,8200
32650,100,7450,2500,7300
32950,100,7450,2500,7000
33550,100,6850,2500,7000
32950,100,6850,2500,7600
31450,100,6550,4300,7600
34450,100,6550,2800,6100
34750,100,6550,2800,5800
35350,100,5950,2800,5800
35350,100,5950,2800,5800
33850,100,5650,4600,5800
32350,100,5650,4000,7900
32650,100,5650,4000,7600
33250,100,5050,4000,7600
33250,100,5050,4000,7600
31750,100,4750,5800,7600
30250,100,4750,4900,10000
30550,100,4750,4900,9700
31150,100,4150,4900,9700
31150,100,4150,4900,9700
32650,100,3850,3700,9700
35050,100,3850,2500,8500
35350,100,3850,2500,8200
35950,100,3250,2500,8200
35950,100,3250,2500,8200
35350,100,2950,3400,8200
33850,100,2950,1900,11200
34150,100,2950,1900,10900
34750,100,2350,1900,10900
34750,100,2350,1900,10900
33250,100,2050,3700,10900
35050,100,2050,3400,9400
35350,100,2050,3400,9100
35950,100,1450,3400,9100
35950,100,1450,3400,9100
35350,100,1150,4300,9100
37150,100,1150,3100,8500
37450,100,1150,3100,8200
38050,100,550,3100,8200
38050,100,550,3100,8200
36550,100,250,4900,8200
35050,100,250,4000,10600
35350,100,250,4000,10300
35950,100,250,3400,10300
35350,100,250,4000,10300
35050,100,250,4000,10600
37150,100,250,2800,9700
37450,100,250,2800,9400
38050,100,250,2200,9400
37450,100,250,2200,10000
37150,100,250,2200,10300
39250,100,250,700,9700
39550,100,250,700,9400
38850,100,250,1400,9400
37950,100,250,800,10900
37950,100,250,800,10900
40050,100,250,200,9400
40350,100,250,200,9100
40950,100,250,200,8500
40650,100,250,200,8800
40650,100,250,200,8800
40950,100,250,200,8500
41250,100,250,200,8200
39750,100,250,200,9700
39750,100,250,200,9700
39750,100,250,200,9700
39750,100,250,200,9700
40050,100,250,200,9400
40950,100,250,200,8500
40950,100,250,200,8500
40950,100,250,200,8500
40950,100,250,200,8500
41250,100,250,200,8200
41850,100,250,200,7600
41850,100,250,200,7600
41850,100,250,200,7600
41850,100,250,200,7600
42150,100,250,200,7300
40650,100,250,200,8800
41550,100,250,200,7900
41550,100,250,200,7900
41550,100,250,200,7900
42150,100,250,200,7300
42750,100,250,200,6700
42150,100,250,200,7300
42150,100,250,200,7300
41250,100,250,200,8200
41550,100,250,200,7900
42150,100,250,200,7300
42150,100,250,200,7300
41850,100,250,200,7600
41850,100,250,200,7600
40350,100,250,200,9100
40950,100,250,200,8500
40950,100,250,200,8500
40950,100,250,200,8500
40350,100,250,200,9100
40650,100,250,200,8800
41250,100,250,200,8200
40650,100,250,200,8800
40350,100,250,200,9100
40350,100,250,200,9100
40650,100,250,200,8800
41250,100,250,200,8200
41250,100,250,200,8200
41250,100,250,200,8200
41250,100,250,200,8200
41550,100,250,200,7900
40050,100,250,200,9400
40950,100,250,200,8500
40350,100,250,200,9100
