SIMPLE_RANGE,EXACT_RANGE,EXACT_RANGE,EXPECTATION,EXPECTATION
10000,10000,10000,10000,10000
9700,10300,10000,10000,10000
9700,10000,10300,10000,10000
9700,10000,10000,10300,10000
9700,10000,10000,10000,10300
9100,10000,10000,12100,8800
8800,10300,10000,12100,8800
8800,10000,10300,12100,8800
8800,10000,10000,12400,8800
8800,10000,10000,12100,9100
9100,10000,10000,12100,8800
8800,10300,10000,12100,8800
8800,10000,10300,12100,8800
8200,10000,10000,13000,8800
8200,10000,10000,12700,9100
8500,10000,10000,12700,8800
8200,10300,10000,12700,8800
8200,10000,10300,12700,8800
8200,10000,10000,13000,8800
7600,10000,10000,12700,9700
7000,10000,10000,12700,10300
6700,10300,10000,12700,10300
6700,10000,10300,12700,10300
6700,10000,10000,13000,10300
6700,10000,10000,12700,10600
7000,10000,10000,12700,10300
6700,10300,10000,12700,10300
6700,10000,10300,12700,10300
6100,10000,10000,13600,10300
6100,10000,10000,13300,10600
6400,10000,10000,13300,10300
6100,10300,10000,13300,10300
6100,10000,10300,13300,10300
6100,10000,10000,13600,10300
6100,10000,10000,13300,10600
6400,10000,10000,13300,10300
6100,10300,10000,13300,10300
6100,10000,10300,13300,10300
5500,10000,10000,14200,10300
10300,10000,10000,11800,7900
10600,10000,10000,11800,7600
10300,10300,10000,11800,7600
10300,10000,10300,11800,7600
10300,10000,10000,12100,7600
9700,10000,10000,11800,8500
9100,10000,10000,11800,9100
8800,10300,10000,11800,9100
8800,10000,9400,12700,9100
8800,10000,9100,13000,9100
8200,10000,9100,14200,8500
8500,10000,9100,14200,8200
8200,10300,9100,14200,8200
8200,10000,9400,14200,8200
8200,10000,9100,14500,8200
7600,10000,9100,16300,7000
7900,10000,9100,16300,6700
7600,10300,9100,16300,6700
7600,10000,9400,16300,6700
7000,10000,9100,17200,6700
7000,10000,9100,16900,7000
7300,10000,9100,16900,6700
7000,10300,9100,16900,6700
7000,10000,9400,16900,6700
7900,10000,9100,16300,6700
7300,10000,9100,14800,8800
7900,10000,9100,14800,8200
7600,10300,9100,14800,8200
7600,10000,9400,14800,8200
7600,10000,9100,15100,8200
7000,10000,9100,14800,9100
7300,10000,9100,14800,8800
7000,10300,9100,14800,8800
7000,10000,9400,14800,8800
7000,10000,9100,15100,8800
7000,10000,9100,14800,9100
7300,10000,9100,14800,8800
7000,10300,9100,14800,8800
7000,10000,9400,14800,8800
7000,10000,9100,15100,8800
6400,10000,9100,16600,7900
5800,10000,9100,16600,8500
5500,10300,9100,16600,8500
5500,10000,9400,16600,8500
6400,10000,9100,16000,8500
6400,10000,9100,15700,8800
6700,10000,9100,15700,8500
6400,10300,9100,15700,8500
5800,10000,10000,15700,8500
5800,10000,9700,16000,8500
5200,10000,9700,17500,7600
4600,10000,9700,17500,8200
4300,10300,9700,17500,8200
4300,10000,10000,17500,8200
4300,10000,9700,17800,8200
4300,10000,9700,17500,8500
4600,10000,9700,17500,8200
4300,10300,9700,17500,8200
4300,10000,10000,17500,8200
4300,10000,9700,17800,8200
3700,10000,9700,19900,6700
4000,10000,9700,19900,6400
3700,10300,9700,19900,6400
3700,10000,10000,19900,6400
3700,10000,9700,20200,6400
3100,10000,9700,21400,5800
2500,10000,9700,21400,6400
2200,10300,9700,21400,6400
2200,10000,10000,21400,6400
2200,10000,9700,21700,6400
2200,10000,9700,21400,6700
2500,10000,9700,21400,6400
2200,10300,9700,21400,6400
2200,10000,10000,21400,6400
2200,10000,9700,21700,6400
2200,10000,9700,21400,6700
2500,10000,9700,21400,6400
2200,10300,9700,21400,6400
2200,10000,10000,21400,6400
1600,10000,9700,22300,6400
1000,10000,9700,23500,5800
1300,10000,9700,23500,5500
1000,10300,9700,23500,5500
1000,10000,10000,23500,5500
400,10000,9700,24400,5500
1400,10000,9700,24000,4900
1700,10000,9700,24000,4600
1400,10300,9700,24000,4600
1400,10000,10000,24000,4600
1400,10000,9700,24300,4600
800,10000,9700,25500,4000
1100,10000,9700,25500,3700
800,10300,9700,25500,3700
800,10000,10000,25500,3700
200,10000,9700,26400,3700
200,10000,9700,26100,4000
200,10300,9700,26100,3700
200,10300,9700,26100,3700
200,10000,10000,26100,3700
200,10000,9700,26400,3700
200,10000,9700,26100,4000
200,10300,9700,26100,3700
200,10300,9700,26100,3700
200,10000,10000,26100,3700
200,10000,9700,25500,4600
200,10000,9700,25200,4900
200,10300,9700,25200,4600
200,10300,9700,25200,4600
200,10000,10000,25200,4600
200,10000,9700,25500,4600
200,10000,9700,25200,4900
200,10300,9700,25200,4600
200,10300,9700,25200,4600
200,10000,10000,25200,4600
200,10000,9700,25500,4600
200,10000,9700,25200,4900
200,9400,9700,23700,7000
200,9400,9700,23700,7000
200,9100,10000,23700,7000
200,9100,9700,24000,7000
200,9100,9700,23700,7300
200,8500,9700,23700,7900
200,8500,9700,23700,7900
200,8200,10000,23700,7900
200,8200,9700,24000,7900
200,8200,9700,23700,8200
200,8500,9700,23700,7900
200,8500,9700,23700,7900
200,8200,10000,23700,7900
200,8200,9700,24000,7900
200,8200,9700,25200,6700
200,7600,9700,25200,7300
200,7600,9700,25200,7300
200,7300,10000,25200,7300
200,7300,9700,25500,7300
200,7300,9700,24900,7900
200,7600,9700,24900,7600
200,7600,9700,24900,7600
200,7300,10000,24900,7600
200,7300,9700,25200,7600
200,7300,9700,24900,7900
200,7600,9700,24900,7600
200,7600,9700,24900,7600
200,7300,10000,24900,7600
200,7300,9700,25200,7600
200,7300,9700,24900,7900
200,7600,9700,24900,7600
200,7600,9700,24900,7600
200,7300,10000,24900,7600
200,7300,9700,25200,7600
200,7300,9700,24900,7900
200,6700,9700,26100,7300
200,6700,9700,26100,7300
200,6400,10000,26100,7300
200,6400,9700,26400,7300
200,6400,9700,26100,7600
200,6700,9700,26100,7300
200,6700,9700,26100,7300
200,6400,10000,26100,7300
200,6400,9700,26400,7300
200,6400,9700,26100,7600
200,6700,9700,26100,7300
200,6700,9700,26100,7300
200,6400,10000,26100,7300
200,6400,9700,26400,7300
200,6400,9700,26100,7600
200,5800,9700,26100,8200
200,5800,9700,26100,8200
200,5500,10000,26100,8200
200,5500,9700,26400,8200
200,5500,9700,26100,8500
200,5800,9700,26100,8200
200,5800,9700,26100,8200
200,5500,10000,26100,8200
200,5500,9700,26400,8200
200,5500,9700,25800,8800
200,5800,9700,25800,8500
200,5800,9700,25800,8500
200,5500,10000,25800,8500
200,5500,9700,26100,8500
200,5500,9700,25800,8800
200,5800,9700,25800,8500
200,5800,9700,25800,8500
200,5500,10000,25800,8500
200,5500,9700,26100,8500
200,5500,9700,26100,8500
200,5800,9700,26100,8200
200,5800,9700,26100,8200
200,5500,10000,26100,8200
200,5500,9700,26400,8200
200,5500,9700,26100,8500
200,5800,9700,26100,8200
200,5800,9700,26100,8200
200,5500,10000,26100,8200
200,5500,9700,26400,8200
200,5500,9700,26100,8500
200,5800,9700,26100,8200
200,5800,9700,26100,8200
200,5500,10000,26100,8200
200,5500,9700,26400,8200
200,5500,9700,26100,8500
200,5800,9700,26100,8200
200,5800,9700,26100,8200
200,5500,10000,26100,8200
200,5500,9700,26400,8200
200,5500,9700,26100,8500
200,5800,9700,26100,8200
200,5800,9700,26100,8200
200,5500,10000,26100,8200
200,5500,9700,26400,8200
200,5500,9700,26100,8500
200,5800,9700,26100,8200
200,5800,9700,26100,8200
200,5500,10000,26100,8200
200,5500,9700,26400,8200
200,5500,9700,27000,7600
200,5800,9700,27000,7300
200,5800,9700,27000,7300
200,5500,10000,27000,7300
200,5500,9700,27300,7300
200,5500,9700,27000,7600
200,5800,9700,27000,7300
200,5800,9700,27000,7300
200,5500,10000,27000,7300
200,5500,9700,27300,7300
200,5500,9700,28500,6100
200,4900,9700,28500,6700
200,4900,9700,28500,6700
200,4600,10000,28500,6700
200,4600,9700,28800,6700
200,4600,9700,28200,7300
200,4000,9700,28200,7900
200,4000,9700,28200,7900
200,3700,10000,28200,7900
200,3700,9700,28500,7900
200,3700,9700,28200,8200
200,4000,9700,28200,7900
200,4000,9700,28200,7900
200,3700,10000,28200,7900
200,3700,9700,28500,7900
200,3700,9700,28200,8200
200,4000,9700,28200,7900
200,4000,9700,28200,7900
200,3700,10000,28200,7900
200,3700,9700,28500,7900
200,3700,9700,28200,8200
200,4000,9700,28200,7900
200,4000,9700,28200,7900
200,3700,10000,28200,7900
200,3700,9700,28500,7900
200,3700,9700,28200,8200
200,4000,9700,28200,7900
200,4000,9700,28200,7900
200,3700,10000,28200,7900
200,3700,9700,28500,7900
200,3700,9700,28200,8200
200,4000,9700,28200,7900
200,4000,9700,28200,7900
200,3700,10000,28200,7900
200,3700,9700,28500,7900
200,3700,9700,27900,8500
200,4000,9700,27900,8200
200,4000,9700,27900,8200
200,3700,10000,27900,8200
200,3700,9700,28200,8200
200,3700,9700,28800,7600
200,3100,9700,28800,8200
200,3100,9700,28800,8200
200,2800,10000,28800,8200
200,2800,9700,29100,8200
200,2800,9700,28800,8500
200,3100,9700,28800,8200
200,3100,9700,28800,8200
200,2800,10000,28800,8200
200,2800,9700,29100,8200
200,2800,9700,28800,8500
200,3100,9700,28800,8200
200,3100,9700,28800,8200
200,2800,10000,28800,8200
200,2800,9700,29100,8200
200,2800,9700,30600,6700
200,3100,9700,30600,6400
200,3100,9700,30600,6400
200,2800,10000,30600,6400
200,2800,9700,30900,6400
200,2800,9700,30600,6700
200,2200,9700,30600,7300
200,2200,9700,30600,7300
200,1900,10000,30600,7300
200,1900,9700,30900,7300
200,1900,9700,30600,7600
200,2500,9700,30600,7000
200,2500,9700,30600,7000
200,2200,10000,30600,7000
200,2200,9700,30900,7000
200,2200,9700,30600,7300
200,2500,9700,30600,7000
200,2500,9700,30600,7000
200,2200,10000,30600,7000
200,2200,9700,30900,7000
200,2200,9700,30600,7300
200,2500,9700,30600,7000
200,2500,9700,30600,7000
200,2200,10000,30600,7000
200,2200,9700,30900,7000
200,2200,9700,30600,7300
200,1600,9700,30600,7900
200,1600,9700,30600,7900
200,1300,10000,30600,7900
200,1300,9700,30900,7900
200,1300,9700,31500,7300
200,1600,9700,31500,7000
200,1600,9700,31500,7000
200,1300,10000,31500,7000
200,1300,9700,31800,7000
200,1300,9700,31500,7300
200,1600,9700,31500,7000
200,1600,9700,31500,7000
200,1300,10000,31500,7000
200,1300,9700,31800,7000
200,1300,9700,31500,7300
200,700,9700,31500,7900
200,700,9700,31500,7900
200,400,10000,31500,7900
200,400,9700,31800,7900
200,400,9700,31500,8200
200,400,10000,31500,7900
200,400,10000,31500,7900
200,100,10300,31500,7900
200,100,10000,31800,7900
200,100,10000,31500,8200
200,100,10300,31500,7900
200,100,10300,31500,7900
200,100,10300,31500,7900
200,100,10000,31800,7900
200,100,10000,31500,8200
200,100,10300,31500,7900
200,100,10300,31500,7900
200,100,10300,31500,7900
200,100,10000,31800,7900
200,100,10000,31500,8200
200,100,10300,31500,7900
200,100,10300,31500,7900
200,100,10300,31500,7900
200,100,10000,31800,7900
200,100,10000,32400,7300
200,100,10300,32400,7000
200,100,10300,32400,7000
200,100,10300,32400,7000
200,100,10000,32700,7000
200,100,10000,32400,7300
200,100,10300,32400,7000
200,100,10300,32400,7000
200,100,10300,32400,7000
200,100,10000,32700,7000
200,100,10000,32400,7300
200,100,10300,32400,7000
200,100,10300,32400,7000
200,100,10300,32400,7000
200,100,10000,32700,7000
200,100,10000,32400,7300
200,100,9400,32400,7900
200,100,9400,32400,7900
200,100,9400,32400,7900
200,100,9100,32700,7900
200,100,9100,32400,8200
200,100,9400,32400,7900
200,100,9400,32400,7900
200,100,9400,32400,7900
200,100,9100,32700,7900
200,100,9100,33300,7300
200,100,9400,33300,7000
200,100,9400,33300,7000
200,100,9400,33300,7000
200,100,9100,33600,7000
200,100,9100,33300,7300
200,100,9400,33300,7000
200,100,9400,33300,7000
200,100,9400,33300,7000
200,100,9100,33600,7000
200,100,9100,33300,7300
200,100,9400,33300,7000
200,100,9400,33300,7000
200,100,9400,33300,7000
200,100,9100,33600,7000
200,100,9100,33300,7300
200,100,9400,33300,7000
200,100,9400,33300,7000
200,100,9400,33300,7000
200,100,9100,33600,7000
200,100,9100,33300,7300
200,100,9400,33300,7000
200,100,9400,33300,7000
200,100,9400,33300,7000
200,100,9100,33600,7000
200,100,9100,34200,6400
200,100,8500,34200,7000
200,100,8500,34200,7000
200,100,8500,34200,7000
200,100,8200,34500,7000
200,100,8200,34200,7300
