EXPECTATION,EXPECTATION,SIMPLE_RANGE_EXP_IMP,EXACT_RANGE,EXACT_RANGE
10000,10000,10000,10000,10000
9700,10300,10000,10000,10000
9700,11500,8800,10000,10000
9700,11500,8500,10300,10000
9700,11500,8500,10000,10300
10000,11500,8500,10000,10000
9700,11800,8500,10000,10000
9700,11500,8800,10000,10000
9700,11500,8500,10300,10000
9700,11500,8500,10000,10300
10000,11500,8500,10000,10000
9700,11800,8500,10000,10000
9700,11500,8800,10000,10000
9700,11500,8500,10300,10000
9700,11500,8500,10000,10300
10000,11500,8500,10000,10000
9700,11800,8500,10000,10000
9700,11500,8800,10000,10000
9700,11500,8500,10300,10000
9700,11500,8500,10000,10300
10000,11500,8500,10000,10000
9700,11800,8500,10000,10000
9700,11500,8800,10000,10000
9700,11500,8500,10300,10000
9700,11500,8500,10000,10300
10000,11500,8500,10000,10000
9700,11800,8500,10000,10000
9700,11500,8800,10000,10000
9700,11500,8500,10300,10000
9700,11500,8500,10000,10300
10000,11500,8500,10000,10000
10600,10900,8500,10000,10000
10600,10600,8800,10000,10000
10600,10600,8500,10300,10000
10600,10600,8500,10000,10300
10900,10600,8500,10000,10000
11800,9700,8500,10000,10000
11800,9400,8800,10000,10000
11800,9400,8500,10300,10000
11800,9400,8500,10000,10300
12100,9400,8500,10000,10000
11800,9700,8500,10000,10000
11800,8500,9700,10000,10000
11800,8500,10300,9400,10000
11800,8500,10300,9100,10300
12100,8500,10300,9100,10000
11800,8800,10300,9100,10000
11800,10000,9100,9100,10000
11800,10000,8800,9400,10000
11800,10000,8800,9100,10300
12100,10000,8800,9100,10000
11800,10300,8800,9100,10000
11800,10900,8200,9100,10000
11800,10900,7900,9400,10000
11800,10900,7900,9100,10300
12100,10900,7900,9100,10000
12700,10300,7900,9100,10000
12700,9700,8500,9100,10000
12700,9700,8200,9400,10000
12700,9700,8200,9100,10300
13000,9700,8200,9100,10000
12700,10000,8200,9100,10000
12700,9700,8500,9100,10000
12700,9700,9100,8500,10000
12700,9700,9100,8200,10300
13000,9700,9100,8200,10000
13600,9100,9100,8200,10000
13600,8800,9400,8200,10000
13600,8800,9100,8500,10000
13600,8800,9100,8200,10300
13900,8800,9100,8200,10000
13600,9100,9100,8200,10000
13600,8800,9400,8200,10000
13600,8800,9100,8500,10000
13600,8800,9100,8200,10300
13900,8800,9100,8200,10000
13600,9100,9100,8200,10000
13600,8800,9400,8200,10000
13600,8800,10000,7600,10000
13600,8800,10000,7300,10300
13900,8800,10000,7300,10000
13600,9100,10000,7300,10000
16300,7900,8500,7300,10000
16300,7900,8200,7600,10000
16300,7900,8200,7300,10300
16600,7900,8200,7300,10000
16300,8200,8200,7300,10000
16300,7900,8500,7300,10000
16300,7900,8200,7600,10000
16300,7900,8200,7300,10300
16600,7900,8200,7300,10000
16300,8200,8200,7300,10000
16300,7900,8500,7300,10000
16300,7900,9100,6700,10000
16300,7900,9100,6400,10300
16600,7900,9100,6400,10000
16300,8200,9100,6400,10000
16300,9700,7600,6400,10000
16300,9700,7300,6700,10000
16300,9700,8200,6400,9400
16600,9700,8200,6400,9100
16300,10000,8200,6400,9100
16300,9700,8500,6400,9100
16300,9700,9100,5800,9100
16300,9700,9100,5500,9400
16600,9700,9100,5500,9100
16300,10000,9100,5500,9100
16300,9700,9400,5500,9100
16300,9700,10000,4900,9100
16300,9700,10000,4600,9400
16600,9700,10000,4600,9100
16300,10000,10000,4600,9100
16300,9100,10900,4600,9100
16300,9100,10600,4900,9100
16300,9100,10600,4600,9400
16600,9100,10600,4600,9100
17500,8200,10600,4600,9100
17500,7900,10900,4600,9100
17500,7900,10600,4900,9100
17500,7900,10600,4600,9400
17800,7900,10600,4600,9100
16900,8800,10600,4600,9100
16900,8500,10900,4600,9100
16900,8500,10600,4900,9100
16900,8500,10600,4600,9400
17200,8500,10600,4600,9100
16900,8800,10600,4600,9100
16900,8200,11200,4600,9100
16900,8200,10900,4900,9100
16900,8200,11800,4600,8500
17200,8200,11800,4600,8200
16300,9100,11800,4600,8200
16300,8800,12100,4600,8200
16300,8800,12700,4000,8200
16300,8800,12700,3700,8500
16600,8800,12700,3700,8200
16300,9100,12700,3700,8200
16300,8500,13300,3700,8200
16300,8500,13000,4000,8200
16300,8500,13000,3700,8500
16600,8500,13000,3700,8200
16300,8800,13000,3700,8200
16300,8500,13300,3700,8200
16300,8500,13000,4000,8200
16300,8500,13000,3700,8500
16600,8500,13000,3700,8200
16300,8800,13000,3700,8200
16300,8500,13300,3700,8200
16300,8500,13900,3100,8200
16300,8500,13900,2800,8500
16600,8500,13900,2800,8200
16300,8800,13900,2800,8200
16300,8500,14200,2800,8200
16300,8500,13900,3100,8200
16300,8500,13900,2800,8500
16600,8500,13900,2800,8200
16300,8800,13900,2800,8200
16300,8200,14500,2800,8200
16300,8200,14200,3100,8200
16300,8200,14200,2800,8500
16600,8200,14200,2800,8200
18100,6700,14200,2800,8200
18100,6400,14500,2800,8200
18100,6400,14200,3100,8200
18100,6400,14200,2800,8500
18400,6400,14200,2800,8200
18100,6700,14200,2800,8200
18100,6400,14500,2800,8200
18100,6400,14200,3100,8200
18100,6400,14200,2800,8500
18400,6400,14200,2800,8200
18100,6700,14200,2800,8200
18100,6400,14500,2800,8200
18100,6400,15100,2200,8200
18100,6400,15100,1900,8500
18400,6400,15100,1900,8200
18100,6700,15100,1900,8200
18100,6400,15400,1900,8200
18100,6400,15100,2200,8200
18100,6400,15100,1900,8500
18400,6400,15100,1900,8200
19300,5500,15100,1900,8200
19300,5200,15400,1900,8200
19300,5200,15100,2200,8200
19300,5200,15100,1900,8500
19600,5200,15100,1900,8200
19300,5500,15100,1900,8200
19300,5200,15400,1900,8200
19300,5200,15100,2200,8200
19300,5200,15100,1900,8500
19600,5200,15100,1900,8200
19300,5500,15100,1900,8200
19300,5200,15400,1900,8200
19300,5200,16000,1300,8200
19300,5200,16000,1000,8500
19600,5200,16000,1000,8200
19300,5500,16000,1000,8200
19300,5200,16300,1000,8200
19300,5200,16000,1300,8200
19300,5200,16000,1000,8500
19600,5200,16000,1000,8200
19300,5500,16000,1000,8200
19300,4000,17500,1000,8200
19300,4000,18100,400,8200
19300,4000,18100,100,8500
19600,4000,18100,100,8200
19300,4300,18100,100,8200
19300,4000,18400,100,8200
19300,4000,18100,100,8500
19300,4000,18100,100,8500
18700,4000,19000,100,8200
18400,4300,19000,100,8200
18400,4000,19300,100,8200
18400,4000,19900,100,7600
18400,4000,19900,100,7600
18700,4000,19900,100,7300
18400,4300,19900,100,7300
18400,4900,19300,100,7300
18400,4900,19000,100,7600
18400,4900,19000,100,7600
18700,4900,19000,100,7300
18400,5200,19000,100,7300
18400,4600,19600,100,7300
18400,4600,19300,100,7600
18400,4600,19300,100,7600
18700,4600,19300,100,7300
18400,4900,19300,100,7300
16900,4600,21100,100,7300
16900,4600,20800,100,7600
16900,4600,20800,100,7600
17200,4600,20800,100,7300
17800,4000,20800,100,7300
17800,3700,21100,100,7300
17800,3700,20800,100,7600
17800,3700,20800,100,7600
18100,3700,20800,100,7300
18700,3100,20800,100,7300
18700,2800,21100,100,7300
18700,2800,20800,100,7600
18700,2800,20800,100,7600
19000,2800,20800,100,7300
19600,2200,20800,100,7300
19600,1900,21100,100,7300
19600,1900,20800,100,7600
19600,1900,20800,100,7600
19900,1900,20800,100,7300
19600,2200,20800,100,7300
19600,1900,21100,100,7300
19600,1900,20800,100,7600
19600,1900,20800,100,7600
19900,1900,20800,100,7300
19600,2200,20800,100,7300
19600,1900,21100,100,7300
19600,1900,20800,100,7600
19600,1900,20800,100,7600
19900,1900,20800,100,7300
20500,1300,20800,100,7300
20500,1000,21100,100,7300
20500,1000,21700,100,6700
20500,1000,21700,100,6700
20800,1000,21700,100,6400
20500,1300,21700,100,6400
20500,1000,22000,100,6400
20500,1000,21700,100,6700
20500,1000,21700,100,6700
20800,1000,21700,100,6400
20500,1300,21700,100,6400
20500,1000,22000,100,6400
20500,1000,21700,100,6700
20500,1000,21700,100,6700
20800,1000,21700,100,6400
20500,1300,21700,100,6400
20500,1000,22000,100,6400
20500,1000,22600,100,5800
20500,1000,22600,100,5800
20800,1000,22600,100,5500
21400,400,22600,100,5500
21400,800,22200,100,5500
21400,800,21900,100,5800
21400,800,21900,100,5800
21700,800,21900,100,5500
22300,200,21900,100,5500
22300,200,21900,100,5500
22300,200,22500,100,4900
22300,200,22500,100,4900
21400,200,23700,100,4600
21100,200,24000,100,4600
21100,200,24000,100,4600
21100,200,23700,100,4900
21100,200,23700,100,4900
21400,200,23700,100,4600
21100,200,24000,100,4600
21100,200,24000,100,4600
21100,200,23700,100,4900
21100,200,23700,100,4900
21400,200,23700,100,4600
20800,200,24300,100,4600
20800,200,24300,100,4600
20800,200,24000,100,4900
20800,200,24000,100,4900
21100,200,24000,100,4600
20800,200,24300,100,4600
20800,200,24300,100,4600
20800,200,24900,100,4000
20800,200,24900,100,4000
21100,200,24900,100,3700
21700,200,24300,100,3700
21700,200,24300,100,3700
21700,200,24000,100,4000
21700,200,24000,100,4000
22000,200,24000,100,3700
21700,200,24300,100,3700
21700,200,24300,100,3700
21700,200,24000,100,4000
21700,200,24000,100,4000
22000,200,24000,100,3700
21700,200,24300,100,3700
21700,200,24300,100,3700
21700,200,24000,100,4000
21700,200,24000,100,4000
22000,200,24000,100,3700
22900,200,23100,100,3700
22900,200,23100,100,3700
22900,200,22800,100,4000
22900,200,22800,100,4000
23200,200,22800,100,3700
22900,200,23100,100,3700
22900,200,23100,100,3700
22900,200,22800,100,4000
22900,200,22800,100,4000
22300,200,23700,100,3700
22000,200,24000,100,3700
22000,200,24000,100,3700
22000,200,24600,100,3100
22000,200,24600,100,3100
22300,200,24600,100,2800
22900,200,24000,100,2800
22900,200,24000,100,2800
22900,200,23700,100,3100
22900,200,23700,100,3100
23200,200,23700,100,2800
24100,200,22800,100,2800
24100,200,22800,100,2800
24100,200,23400,100,2200
24100,200,23400,100,2200
24400,200,23400,100,1900
23500,200,24300,100,1900
23500,200,24300,100,1900
23500,200,24900,100,1300
23500,200,24900,100,1300
23800,200,24900,100,1000
23500,200,25200,100,1000
23500,200,25200,100,1000
23500,200,24900,100,1300
23500,200,24900,100,1300
23800,200,24900,100,1000
23500,200,25200,100,1000
23500,200,25200,100,1000
23500,200,25800,100,400
23500,200,25800,100,400
23800,200,25800,100,100
23500,200,26100,100,100
23500,200,26100,100,100
25000,200,24600,100,100
25000,200,24600,100,100
25000,200,24600,100,100
24700,200,24900,100,100
24700,200,24900,100,100
25000,200,24600,100,100
25000,200,24600,100,100
25000,200,24600,100,100
24700,200,24900,100,100
24700,200,24900,100,100
25000,200,24600,100,100
25000,200,24600,100,100
25000,200,24600,100,100
24700,200,24900,100,100
24700,200,24900,100,100
25000,200,24600,100,100
25000,200,24600,100,100
25000,200,24600,100,100
24700,200,24900,100,100
24700,200,24900,100,100
24100,200,25500,100,100
24100,200,25500,100,100
24100,200,25500,100,100
23800,200,25800,100,100
23800,200,25800,100,100
24100,200,25500,100,100
24100,200,25500,100,100
24100,200,25500,100,100
24700,200,24900,100,100
24700,200,24900,100,100
26200,200,23400,100,100
26200,200,23400,100,100
26200,200,23400,100,100
25900,200,23700,100,100
25900,200,23700,100,100
26200,200,23400,100,100
26200,200,23400,100,100
26200,200,23400,100,100
25900,200,23700,100,100
25900,200,23700,100,100
26200,200,23400,100,100
26200,200,23400,100,100
26200,200,23400,100,100
25900,200,23700,100,100
25900,200,23700,100,100
26200,200,23400,100,100
26200,200,23400,100,100
26200,200,23400,100,100
27400,200,22200,100,100
27400,200,22200,100,100
28900,200,20700,100,100
28900,200,20700,100,100
28900,200,20700,100,100
28600,200,21000,100,100
28600,200,21000,100,100
28000,200,21600,100,100
28000,200,21600,100,100
28000,200,21600,100,100
27700,200,21900,100,100
27700,200,21900,100,100
28000,200,21600,100,100
28000,200,21600,100,100
28000,200,21600,100,100
27700,200,21900,100,100
27700,200,21900,100,100
28000,200,21600,100,100
28000,200,21600,100,100
28000,200,21600,100,100
28600,200,21000,100,100
28600,200,21000,100,100
28900,200,20700,100,100
28900,200,20700,100,100
28900,200,20700,100,100
28600,200,21000,100,100
28600,200,21000,100,100
28900,200,20700,100,100
28900,200,20700,100,100
28900,200,20700,100,100
28600,200,21000,100,100
28600,200,21000,100,100
28900,200,20700,100,100
28900,200,20700,100,100
28900,200,20700,100,100
28300,200,21300,100,100
