EXPECTATION,EXPECTATION,SIMPLE_RANGE_EXP_IMP,EXACT_RANGE_EXP,EXACT_RANGE_EXP
10000,10000,10000,10000,10000
9700,10300,10000,10000,10000
9700,10000,10300,10000,10000
9700,10000,10000,10300,10000
9700,10000,10000,10000,10300
10000,10000,10000,10000,10000
9700,10300,10000,10000,10000
9700,10000,10300,10000,10000
9700,10000,10000,9400,10900
12400,9100,10000,8500,10000
12700,9100,10000,8500,9700
12400,9400,10000,8500,9700
12400,10900,8500,8500,9700
12400,10900,9100,7900,9700
12400,10900,9100,7600,10000
12700,10900,9100,7600,9700
14200,9400,9100,7600,9700
14200,9100,9400,7600,9700
14200,9100,7900,9100,9700
14200,9100,7900,8800,10000
14500,9100,7900,8800,9700
16000,7600,7900,8800,9700
16000,7300,8200,8800,9700
16000,7300,6700,10300,9700
16000,7300,6700,10000,10000
17200,7300,5800,10000,9700
16900,7600,5800,10000,9700
16900,7300,6100,10000,9700
16900,7300,6700,9400,9700
16900,7300,6700,9100,10000
16300,7300,6700,9100,10600
16000,7600,6700,9100,10600
16000,8500,5800,9100,10600
16000,8500,5500,9400,10600
16000,8500,5500,10000,10000
16300,8500,5500,10000,9700
16000,8800,5500,10000,9700
16000,8500,5800,10000,9700
16000,8500,6400,9400,9700
16000,8500,6400,9100,10000
16300,8500,6400,9100,9700
16000,8800,6400,9100,9700
16000,8500,6700,9100,9700
16000,8500,6400,9400,9700
16000,8500,6400,9100,10000
16900,8500,6400,9100,9100
16600,8800,6400,9100,9100
16600,8500,6700,9100,9100
16600,8500,6400,9400,9100
16600,8500,6400,9100,9400
16900,8500,6400,9100,9100
16600,8800,6400,9100,9100
16600,8500,6700,9100,9100
16600,8500,6400,9400,9100
16600,8500,6400,9100,9400
15700,8500,6400,10900,8500
15400,8800,6400,10900,8500
15400,8500,6700,10900,8500
15400,8500,6400,11200,8500
15400,8500,6400,10900,8800
15700,8500,6400,10900,8500
15400,8800,6400,10900,8500
15400,7600,5800,10900,10300
15400,7600,7000,9700,10300
15400,7600,7000,9100,10900
15700,7600,7000,9100,10600
15400,7900,7000,9100,10600
15400,7600,7300,9100,10600
15400,7600,7000,9400,10600
15400,7600,7000,9100,10900
14200,7600,7000,9100,12100
13600,8200,7000,9100,12100
13600,7900,7300,9100,12100
13600,7900,7000,9400,12100
13600,7900,7000,9100,12400
13900,7900,7000,9100,12100
14500,7300,7000,9100,12100
14500,7000,7300,9100,12100
14500,7000,5800,10600,12100
14500,7000,5800,10300,12400
13900,7000,7000,10300,11800
13600,7300,7000,10300,11800
13600,6100,8200,10300,11800
13600,6100,7900,10600,11800
13600,6100,7900,10300,12100
13900,6100,7900,10300,11800
13600,6400,7900,10300,11800
13600,6100,8200,10300,11800
13600,6100,7900,10600,11800
13600,6100,7900,10300,12100
13900,6100,7900,10300,11800
13600,6400,7900,10300,11800
13600,6100,8200,10300,11800
13600,6100,7900,10600,11800
13600,6100,7900,10300,12100
13900,6100,7900,10300,11800
14500,5500,7900,10300,11800
14500,5200,8200,10300,11800
14500,5200,7900,10600,11800
14500,5200,7900,10300,12100
14800,5200,7900,10300,11800
14500,5500,7900,10300,11800
14500,5200,8200,10300,11800
14500,5200,7900,10600,11800
14500,5200,7900,10300,12100
13300,5200,7900,10300,13300
13000,5500,7900,10300,13300
13000,4900,8500,10300,13300
13000,4900,8200,10600,13300
13000,4900,8200,10300,13600
13300,4900,8200,10300,13300
13000,5200,8200,10300,13300
13000,4900,8500,10300,13300
15100,4900,7000,9700,13300
15100,4900,7000,9400,13600
13600,4900,7000,9400,15100
13300,5200,7000,9400,15100
13300,5800,6400,9400,15100
13300,5800,7000,8800,15100
13300,5800,7000,8500,15400
11800,9100,7000,7300,14800
12400,8500,7000,7300,14800
12400,8200,7300,7300,14800
12400,8200,5800,8800,14800
12400,8200,5800,8500,15100
11800,8200,5800,8500,15700
11500,8500,5800,8500,15700
11500,7900,6400,8500,15700
11500,7900,6100,8800,15700
11500,7900,6100,9400,15100
11800,7900,6100,9400,14800
11500,8200,6100,9400,14800
11500,7900,6400,9400,14800
11500,7900,6100,9700,14800
11500,7900,6100,9400,15100
11800,7900,6100,9400,14800
11500,8200,6100,9400,14800
11500,7900,6400,9400,14800
11500,7900,6100,9700,14800
11500,7900,6100,9400,15100
11800,7900,6100,9400,14800
11500,9400,6100,9400,13600
11500,8800,6700,9400,13600
11500,8800,6400,9700,13600
11500,8800,6400,9400,13900
11800,8800,6400,9400,13600
11500,9100,6400,9400,13600
11500,8200,4900,9400,16000
11500,8200,4600,9700,16000
11500,8200,4600,9400,16300
11800,8200,4600,9400,16000
11500,8500,4600,9400,16000
11500,8200,4900,9400,16000
11500,8200,4600,9700,16000
11500,8200,4600,9400,16300
13000,8200,4600,9400,14800
12700,8500,4600,9400,14800
12700,8200,4900,9400,14800
12700,8200,4600,9700,14800
12700,8200,4600,9400,15100
13000,8200,4600,9400,14800
16000,6700,3100,9400,14800
16000,6400,3400,9400,14800
16000,6400,4900,7900,14800
16000,6400,4900,7600,15100
16300,6400,4900,7600,14800
16000,6700,4900,7600,14800
16000,6400,5200,7600,14800
16000,6400,4900,7900,14800
16000,6400,4900,7600,15100
16300,6400,4900,7600,14800
16000,6700,4900,7600,14800
16000,6400,5200,7600,14800
16000,6400,4900,7900,14800
16000,6400,4900,7600,15100
16600,6400,4900,7600,14500
17200,5800,4900,7600,14500
17200,5500,5200,7600,14500
17200,5500,4900,7900,14500
17200,5500,4900,7600,14800
16600,5500,4900,7600,15400
16300,5800,4900,7600,15400
16300,7000,3700,7600,15400
16300,7000,3400,7900,15400
16300,7000,3400,7600,15700
16900,7000,3400,7600,15100
16600,7300,3400,7600,15100
16600,7000,3700,7600,15100
16600,7000,3400,7900,15100
16600,7000,3400,7600,15400
15700,7000,3400,6700,17200
15100,7600,3400,6700,17200
15100,7300,3700,6700,17200
15100,7300,3400,7000,17200
15100,7300,3400,6700,17500
15400,7300,3400,6700,17200
15100,7600,3400,6700,17200
15100,6700,5800,6700,15700
15100,6700,6400,6100,15700
15100,6700,6400,5800,16000
14500,6700,6400,5800,16600
15100,6100,6400,5800,16600
15100,5800,6700,5800,16600
15100,5800,7300,5200,16600
15100,6700,7300,4900,16000
15400,6700,7300,4900,15700
15100,7000,7300,4900,15700
15100,6700,7600,4900,15700
15100,6700,8500,4000,15700
15100,6700,8500,3700,16000
15400,6700,8500,3700,15700
15100,7000,8500,3700,15700
15100,6700,8800,3700,15700
13900,6700,10600,3100,15700
13900,6700,10600,2800,16000
14200,6700,10600,2800,15700
13900,7000,10600,2800,15700
13900,7900,9700,2800,15700
13900,7900,9400,3100,15700
13900,7900,9400,2800,16000
14200,7900,9400,2800,15700
13900,8200,9400,2800,15700
13900,7900,9700,2800,15700
13000,7900,12100,1300,15700
13000,7900,12100,1000,16000
11500,6400,12100,1000,19000
11200,6700,12100,1000,19000
11200,6400,12400,1000,19000
11200,6400,12100,1300,19000
11200,6400,12100,1900,18400
11500,6400,12100,1900,18100
11200,6700,12100,1900,18100
11200,6400,12400,1900,18100
11200,6400,10900,3400,18100
11200,6400,10900,3100,18400
11500,6400,10900,3100,18100
11200,6700,10900,3100,18100
11200,6400,11200,3100,18100
11200,6400,11800,2500,18100
11200,6400,11800,2200,18400
11500,6400,11800,2200,18100
11200,6700,11800,2200,18100
11200,7300,11200,2200,18100
11200,7300,10900,2500,18100
11200,7300,10900,2200,18400
11500,7300,10900,2200,18100
11200,7600,10900,2200,18100
11200,8200,10300,2200,18100
11200,8200,10000,2500,18100
11200,8200,10000,2200,18400
11800,8200,10000,2200,17800
11500,8500,10000,2200,17800
11500,7600,10900,2200,17800
11500,7600,10600,2500,17800
11500,7600,10600,2200,18100
11800,7600,10600,2200,17800
11500,7900,10600,2200,17800
11500,7300,11200,2200,17800
11500,7300,10900,2500,17800
11500,7300,10900,1900,18400
11800,7300,10900,1900,18100
11500,7600,10900,1900,18100
11500,7300,11200,1900,18100
11500,7300,10900,2200,18100
11500,7300,10300,1900,19000
11800,7300,10300,1900,18700
11500,7600,10300,1900,18700
11500,7300,10600,1900,18700
11500,7300,9100,3400,18700
11500,7300,9100,4000,18100
11800,7300,9100,4000,17800
11500,7600,9100,4000,17800
11500,7300,9400,4000,17800
11500,7300,7900,5500,17800
11500,7300,7900,5200,18100
11800,7300,7900,5200,17800
11500,7600,7900,5200,17800
11500,7300,8200,5200,17800
11500,7300,7900,5500,17800
11500,7300,7900,5200,18100
11800,7300,7900,5200,17800
11500,7600,7900,5200,17800
11500,7000,8500,5200,17800
11500,7000,8200,5500,17800
11500,7000,8200,6100,17200
11800,7000,8200,6100,16900
10300,8500,8200,6100,16900
10300,8200,8500,6100,16900
10300,8200,8200,6400,16900
10300,8200,8200,6100,17200
10600,8200,8200,6100,16900
10300,8500,8200,6100,16900
10300,8200,8500,6100,16900
13000,8200,7000,4900,16900
13000,8200,7000,4600,17200
13300,8200,7000,4600,16900
13000,8500,7000,4600,16900
13000,8200,7300,4600,16900
13000,8200,7000,4900,16900
13000,8200,7000,4600,17200
13300,8200,7000,4600,16900
13000,8500,7000,4600,16900
13000,8200,7300,4600,16900
13000,8200,7000,4900,16900
13000,8200,7000,4600,17200
12100,8200,7000,4600,18100
13000,7300,7000,4600,18100
13000,7900,6400,4600,18100
13000,7900,6100,4900,18100
13000,10000,6100,3700,17200
14500,10000,6100,3700,15700
14200,10300,6100,3700,15700
14200,10000,6400,3700,15700
14200,10000,6100,4000,15700
14200,10000,6100,4600,15100
15100,10000,6100,4600,14200
16600,8500,6100,4600,14200
16600,7900,6700,4600,14200
16600,7900,6400,4900,14200
16600,7900,6400,4600,14500
16900,7900,6400,4600,14200
16300,8500,6400,4600,14200
16300,8200,6700,4600,14200
16300,8200,5200,6100,14200
16300,8200,5200,5800,14500
16600,8200,5200,5800,14200
16300,8500,5200,5800,14200
16300,8200,5500,5800,14200
16300,8200,5200,6100,14200
16300,8200,5200,5800,14500
16600,8200,5200,5800,14200
16300,8500,5200,5800,14200
16300,8200,5500,5800,14200
16300,8200,5200,6100,14200
16300,8200,5200,5800,14500
16600,8200,5200,5800,14200
16300,8500,5200,5800,14200
16300,8200,5500,5800,14200
16300,8200,5200,6100,14200
16300,8200,5200,6700,13600
14800,13300,4000,5200,12700
14200,15400,2500,5200,12700
14200,15100,2800,5200,12700
14200,15100,2500,5500,12700
14200,15100,2500,5200,13000
14500,15100,2500,5200,12700
13000,14500,2500,5200,14800
13000,14200,2800,5200,14800
13000,14200,3400,4600,14800
13000,14200,3400,4300,15100
13900,14200,3400,4300,14200
14500,13600,3400,4300,14200
14500,13300,3700,4300,14200
14500,13300,3400,4600,14200
15400,13300,3400,4300,13600
15700,13300,3400,4300,13300
17200,11800,3400,4300,13300
17200,11500,3700,4300,13300
17200,11500,3400,4600,13300
17200,11500,3400,4300,13600
17500,11500,3400,4300,13300
17200,11800,3400,4300,13300
17200,11500,3700,4300,13300
17200,11500,2200,5800,13300
17200,11500,2200,5500,13600
17500,11500,2200,5500,13300
18100,10900,2200,5500,13300
18100,11500,1600,5500,13300
18100,11500,3100,4000,13300
18100,11500,3100,4600,12700
18400,11500,3100,4600,12400
16900,13000,3100,4600,12400
16900,12700,3400,4600,12400
16900,12700,3100,4900,12400
16900,12700,3100,4600,12700
17200,12700,3100,4600,12400
17800,12100,3100,4600,12400
17800,11800,3400,4600,12400
17800,11800,4300,3700,12400
17800,11800,4300,3400,12700
18100,11800,4300,3400,12400
17800,12100,4300,3400,12400
17800,11800,4600,3400,12400
16300,11800,7000,2200,12700
16300,11800,7000,2800,12100
16600,11800,7000,2800,11800
16300,12100,7000,2800,11800
16300,11800,7300,2800,11800
16300,11800,7000,3100,11800
16300,11800,7000,2500,12400
16600,11800,7000,2500,12100
15400,13000,7000,2500,12100
15400,11800,8200,2500,12100
15400,11800,7900,2800,12100
15400,11800,7900,2500,12400
15700,11800,7900,2500,12100
15400,12100,7900,2500,12100
15400,11800,8200,2500,12100
15400,11800,7900,2800,12100
15400,11800,7900,2500,12400
15700,11800,7900,2500,12100
15100,12400,7900,2500,12100
15100,12100,8200,2500,12100
15100,12100,7900,2800,12100
15100,12100,7900,2500,12400
15400,12100,7900,2500,12100
15100,12400,7900,2500,12100
15100,12100,8200,2500,12100
15100,12100,7900,2800,12100
15100,12100,7900,2500,12400
15700,12100,7900,2500,11800
14800,13000,7900,2500,11800
14800,12700,8200,2500,11800
