EXACT_RANGE,EXACT_RANGE,SIMPLE_RANGE_EXP_IMP,EXACT_RANGE_EXP,EXACT_RANGE_EXP
10000,10000,10000,10000,10000
9700,10300,10000,10000,10000
9700,10000,10300,10000,10000
9700,10000,11200,9100,10000
9700,10000,11200,8500,10600
10300,10000,11200,8500,10000
10000,10900,11200,8500,9400
10000,10600,11500,8500,9400
10000,10600,12700,7300,9400
10000,10600,12700,7900,8800
9400,10600,12700,7300,10000
9100,10900,12700,7300,10000
9100,10600,13000,7300,10000
9100,10600,13600,6700,10000
9100,10600,13600,6100,10600
9700,10600,13600,6100,10000
9400,10900,13600,6100,10000
9400,10600,13900,6100,10000
9400,10600,15100,4900,10000
9400,10600,15100,5500,9400
8800,10600,15100,5500,10000
8500,10900,15100,5500,10000
8500,10600,15400,5500,10000
8500,10600,15700,5200,10000
8500,10600,15700,4600,10600
9100,10600,15700,4600,10000
8800,11500,15700,4600,9400
8800,11200,16600,4600,8800
8800,11200,15100,6100,8800
8800,11200,15100,5500,9400
8200,11200,15100,5500,10000
7900,11500,15100,5500,10000
7900,11200,15400,5500,10000
7900,11200,13900,7000,10000
7900,11200,13900,6400,10600
7300,11200,13900,6400,11200
7000,12100,13900,6400,10600
7000,11800,14200,6400,10600
7000,11800,13300,7300,10600
7000,11800,13300,7900,10000
7600,11800,13300,7900,9400
7300,11200,13300,7900,10300
7300,10900,13600,7900,10300
7300,10900,13600,7900,10300
7300,10900,13600,7300,10900
6700,10900,13600,7300,11500
6400,11200,13600,7300,11500
6400,10900,13900,7300,11500
6400,10900,14800,6400,11500
6400,10900,14800,5800,12100
5800,10900,14800,5800,12700
5500,11800,14800,5800,12100
5500,11500,15100,5800,12100
5500,11500,14200,6700,12100
5500,11500,14200,7300,11500
6100,11500,14200,7300,10900
5800,11800,14200,7300,10900
5800,11500,14500,7300,10900
5800,11500,15100,6700,10900
5800,11500,15100,7300,10300
5200,11500,15100,6700,11500
4900,11800,15100,6700,11500
4900,11500,15400,6700,11500
4900,11500,16000,6100,11500
4900,11500,16000,5500,12100
5500,11500,16000,5500,11500
5200,10900,16000,5500,12400
5200,10600,16300,5500,12400
5200,10600,16900,4900,12400
5200,10600,16900,4900,12400
4600,10600,16900,6100,11800
4300,10000,16900,6100,12700
4300,9700,17200,6100,12700
4300,9700,15700,7600,12700
4300,9700,15700,7000,13300
4900,9700,15700,7000,12700
4600,10000,15700,7000,12700
4600,9700,16000,7000,12700
4600,9700,14500,8500,12700
4600,9700,14500,9100,12100
5200,9700,14500,9100,11500
4900,9100,14500,9100,12400
4900,8800,14800,9100,12400
4900,8800,16300,7600,12400
4900,8800,16300,8200,11800
4300,8800,16300,7600,13000
4000,9100,16300,7600,13000
4000,8800,16600,7600,13000
4000,8800,17500,6700,13000
4000,8800,17500,7300,12400
4000,8800,17500,7300,12400
3700,9100,17500,7300,12400
3700,8800,17800,7300,12400
3700,8800,19000,6100,12400
3700,8800,19000,5500,13000
3100,8800,19000,5500,13600
2800,9100,19000,5500,13600
2800,8800,19300,5500,13600
2800,8800,20500,4300,13600
2800,8800,20500,4900,13000
2200,8800,21100,4900,13000
1900,9100,21100,4900,13000
1900,8800,21400,4900,13000
1900,8800,22600,3700,13000
1900,8800,22600,3100,13600
1900,8800,22600,3100,13600
1600,9700,22000,3100,13600
1600,9400,22300,3100,13600
1600,9400,22300,3100,13600
1600,9400,22300,2500,14200
1000,9400,22300,2500,14800
700,9700,22300,2500,14800
700,9400,22600,2500,14800
700,9400,23800,1300,14800
700,9400,22300,3900,13700
100,9400,22300,5100,13100
100,9400,22300,5100,13100
100,9100,22600,5100,13100
100,9100,21100,6600,13100
100,9100,21100,7200,12500
100,8500,21100,7200,13100
100,8500,21100,7200,13100
100,8200,21400,7200,13100
100,8200,22900,5700,13100
100,8200,22900,5100,13700
100,8800,22900,5100,13100
100,8800,22900,5100,13100
100,8500,23200,5100,13100
100,8500,23800,4500,13100
100,8500,23800,3900,13700
100,9700,23800,3300,13100
100,9700,23800,3300,13100
100,9400,24100,3300,13100
100,9400,22600,4800,13100
100,9400,22600,5400,12500
100,8800,22600,5400,13100
100,8800,22600,5400,13100
100,8500,22900,5400,13100
100,8500,21400,6900,13100
100,8500,22900,6300,12200
100,7900,22900,6300,12800
100,7900,22900,6300,12800
100,7600,22000,6300,14000
100,7600,23500,4800,14000
100,7600,23500,4200,14600
100,7000,23500,4200,15200
100,7000,23500,4200,15200
100,6700,23800,4200,15200
100,6700,22300,5700,15200
100,6700,24700,4500,14000
100,7900,24700,3900,13400
100,7900,24700,3900,13400
100,7600,23200,3900,15200
100,7600,24100,3000,15200
100,7600,24100,3600,14600
100,7000,24100,3600,15200
100,7000,24100,3600,15200
100,6700,24400,3600,15200
100,6700,25000,3000,15200
100,6700,25000,2400,15800
100,6100,25000,2400,16400
100,6100,25000,2400,16400
100,5800,23500,2400,18200
100,5800,22000,3900,18200
100,5800,22000,3300,18800
100,5200,22000,2700,20000
100,5200,22000,2700,20000
100,4900,20500,2700,21800
100,4900,21700,1500,21800
100,4900,21700,900,22400
100,4300,21700,900,23000
100,4300,21700,900,23000
100,4000,22000,900,23000
100,4000,23200,300,22400
100,4000,23200,600,22100
100,3400,23200,1800,21500
100,3400,23200,1800,21500
100,3100,23500,1800,21500
100,3100,22000,3300,21500
100,3100,23200,2700,20900
100,2500,23200,2700,21500
100,2500,23200,2700,21500
100,2200,25000,2700,20000
100,2200,23500,4200,20000
100,2200,23500,3600,20600
100,1600,23500,3600,21200
100,1600,23500,3600,21200
100,1300,22000,5400,21200
100,1300,20500,6900,21200
100,1300,20500,7500,20600
100,1900,20500,7500,20000
100,1900,20500,7500,20000
100,1600,20800,7500,20000
100,1600,19300,9000,20000
100,1600,17800,7800,22700
100,2200,17800,7800,22100
100,2200,17800,7800,22100
100,1900,16300,7800,23900
100,1900,17800,6300,23900
100,1900,17800,5700,24500
100,2500,17800,5700,23900
100,2500,17800,5700,23900
100,2200,18100,5700,23900
100,2200,16600,7200,23900
100,2200,16600,7200,23900
100,1600,16600,7200,24500
100,1600,16600,7200,24500
100,1300,16900,7200,24500
100,1300,15400,8700,24500
100,1300,13900,7500,27200
100,700,13900,8700,26600
100,700,13900,8700,26600
100,400,12400,8700,28400
100,400,12400,8700,28400
100,400,10900,7200,31400
100,400,9400,7200,32900
100,400,9400,7200,32900
100,100,9700,7200,32900
100,100,10300,6600,32900
100,100,10300,7200,32300
100,100,11800,7200,30800
100,100,11800,7200,30800
100,100,11800,7200,30800
100,100,10300,8700,30800
100,100,8800,11400,29600
100,100,7300,11400,31100
100,100,7300,11400,31100
100,100,7300,11400,31100
100,100,10300,9900,29600
100,100,8800,8400,32600
100,100,7300,8400,34100
100,100,7300,8400,34100
100,100,7300,8400,34100
100,100,6400,9300,34100
100,100,6400,9900,33500
100,100,4900,9900,35000
100,100,4900,9900,35000
100,100,4900,9900,35000
100,100,6400,8400,35000
100,100,6400,9000,34400
100,100,8500,7800,33500
100,100,8500,7800,33500
100,100,8500,7800,33500
100,100,7000,10500,32300
100,100,5500,13200,31100
100,100,4000,13200,32600
100,100,4000,13200,32600
100,100,4000,13200,32600
100,100,2500,14700,32600
100,100,2500,14100,33200
100,100,1000,14100,34700
100,100,1000,14100,34700
100,100,1000,14100,34700
100,100,100,13200,36500
100,100,100,13800,35900
100,100,100,13200,36500
100,100,100,13200,36500
100,100,100,13200,36500
100,100,100,13200,36500
100,100,100,13800,35900
100,100,100,14400,35300
100,100,100,14400,35300
100,100,100,14400,35300
100,100,100,14400,35300
100,100,100,13800,35900
100,100,100,13200,36500
100,100,100,13200,36500
100,100,100,13200,36500
100,100,100,13200,36500
100,100,100,13800,35900
100,100,100,13200,36500
100,100,100,13200,36500
100,100,100,13200,36500
100,100,100,13200,36500
100,100,100,13800,35900
100,100,100,14400,35300
100,100,100,14400,35300
100,100,100,14400,35300
100,100,100,14400,35300
100,100,100,14400,35300
100,100,100,15000,34700
100,100,100,15000,34700
100,100,100,15000,34700
100,100,100,15000,34700
100,100,100,15600,34100
100,100,100,15000,34700
100,100,100,15000,34700
100,100,100,15000,34700
100,100,100,15000,34700
100,100,100,15600,34100
100,100,100,15000,34700
100,100,100,15000,34700
100,100,100,15000,34700
100,100,100,15000,34700
100,100,100,15600,34100
100,100,100,16200,33500
100,100,100,16200,33500
100,100,100,16200,33500
100,100,100,16200,33500
100,100,100,16800,32900
100,100,100,17400,32300
100,100,100,17400,32300
100,100,100,17400,32300
100,100,100,17400,32300
100,100,100,18000,31700
100,100,100,18600,31100
100,100,100,18600,31100
100,100,100,18600,31100
100,100,100,18600,31100
100,100,100,19200,30500
100,100,100,19800,29900
100,100,100,19800,29900
100,100,100,19800,29900
100,100,100,19800,29900
100,100,100,20400,29300
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21600,28100
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,20400,29300
100,100,100,19800,29900
100,100,100,19800,29900
100,100,100,19800,29900
100,100,100,19800,29900
100,100,100,20400,29300
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,21000,28700
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,21000,28700
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,21000,28700
100,100,100,21600,28100
100,100,100,21600,28100
100,100,100,21600,28100
100,100,100,21600,28100
100,100,100,22200,27500
100,100,100,22800,26900
100,100,100,22800,26900
100,100,100,22800,26900
100,100,100,22800,26900
100,100,100,23400,26300
100,100,100,24000,25700
100,100,100,24000,25700
100,100,100,24000,25700
100,100,100,24000,25700
100,100,100,23400,26300
100,100,100,24000,25700
100,100,100,24000,25700
100,100,100,24000,25700
100,100,100,24000,25700
100,100,100,24000,25700
100,100,100,23400,26300
100,100,100,23400,26300
100,100,100,23400,26300
100,100,100,23400,26300
100,100,100,22800,26900
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,21600,28100
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,22800,26900
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,21600,28100
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21600,28100
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21600,28100
100,100,100,21600,28100
100,100,100,21600,28100
100,100,100,21600,28100
100,100,100,21600,28100
100,100,100,21000,28700
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,19800,29900
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,19800,29900
100,100,100,19200,30500
100,100,100,19200,30500
100,100,100,19200,30500
100,100,100,19200,30500
100,100,100,19800,29900
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,20400,29300
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21600,28100
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,22800,26900
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,22200,27500
100,100,100,21600,28100
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21600,28100
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21600,28100
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,21000,28700
100,100,100,20400,29300
100,100,100,19800,29900
100,100,100,19800,29900
100,100,100,19800,29900
100,100,100,19800,29900
100,100,100,20400,29300
100,100,100,19800,29900
100,100,100,19800,29900
100,100,100,19800,29900
100,100,100,19800,29900
100,100,100,19200,30500
100,100,100,18600,31100
100,100,100,18600,31100
100,100,100,18600,31100
100,100,100,18600,31100
