EXACT_RANGE_EXP,EXACT_RANGE_EXP_6,EXACT_RANGE,EXACT_RANGE_EXP,EXACT_RANGE_EXP_6,
10000,10000,10000,10000,10000,
10600,9400,10000,10000,10000,
11800,8800,9400,10000,10000,
11800,8800,9100,10300,10000,
11800,8800,9100,10900,9400,
12400,8800,9100,10900,8800,
11800,10000,9100,10900,8200,
11800,10600,8500,10900,8200,
11800,10600,8200,11200,8200,
11800,10600,8200,10600,8800,
11200,10600,8200,11800,8200,
10600,11200,8200,11800,8200,
10600,11200,8200,11800,8200,
10600,11350,7900,11950,8200,
10600,11350,7900,12550,7600,
11200,11350,7900,12550,7000,
11800,10750,7900,12550,7000,
11800,11350,7300,12550,7000,
11800,11350,7000,12850,7000,
11800,11350,7000,12250,7600,
12400,11350,7000,12250,7000,
13000,10750,7000,12250,7000,
13000,11350,6400,12250,7000,
13000,11350,6100,12550,7000,
13000,11350,6100,11950,7600,
13600,11350,6100,11950,7000,
14800,10750,6100,11950,6400,
14800,10150,5500,11950,7600,
14800,10150,5200,12250,7600,
14800,10150,5200,12850,7000,
14200,10150,5200,12250,8200,
13600,10750,5200,12250,8200,
13600,10750,5200,12250,8200,
13600,10750,4900,12550,8200,
13600,10750,4900,13150,7600,
13000,10750,4900,13150,8200,
12400,11350,4900,13150,8200,
12400,11950,4300,13150,8200,
12400,12850,4000,12550,8200,
12400,12850,4000,11950,8800,
11800,12850,4000,11950,9400,
11200,13450,4000,11950,9400,
12400,12850,3400,11950,9400,
11800,12850,3100,11350,10900,
11800,12850,3100,10750,11500,
11200,12850,3100,10750,12100,
11800,12250,3100,10750,12100,
11800,11650,3700,10750,12100,
11800,11650,3400,11050,12100,
11800,11650,3400,10450,12700,
11200,11650,3400,10450,13300,
10600,12250,3400,10450,13300,
10600,11650,4000,10450,13300,
10600,11650,3700,10750,13300,
10600,11650,3700,11350,12700,
10000,11650,3700,11350,13300,
10600,11050,3700,11350,13300,
10600,12250,3100,11350,12700,
10600,12250,2800,11650,12700,
10600,12250,2800,11050,13300,
11800,12250,2800,10450,12700,
11200,12850,2800,10450,12700,
12400,12250,2200,10450,12700,
12400,12250,1900,10750,12700,
12400,12250,1900,10150,13300,
11800,12250,1900,10150,13900,
11200,11650,1900,11350,13900,
10600,11050,3100,11350,13900,
10600,11050,2800,11650,13900,
10600,11050,2800,11050,14500,
11200,11050,2800,11050,13900,
10600,11650,2800,11050,13900,
10600,12250,2200,11050,13900,
11500,12250,1900,10450,13900,
11500,13450,1900,9850,13300,
10900,13450,1900,9850,13900,
10300,14650,1900,9850,13300,
10300,15250,1300,9850,13300,
10300,15250,1000,10150,13300,
10300,15250,1000,9550,13900,
10900,15250,1000,9550,13300,
11500,14650,1000,9550,13300,
11500,14050,1600,9550,13300,
11500,14050,1300,9850,13300,
11500,14050,1300,9250,13900,
10900,14050,1300,9250,14500,
10300,14650,1300,9250,14500,
10300,15250,700,9250,14500,
10300,14650,400,10150,14500,
10300,14650,400,9550,15100,
10900,14650,400,9550,14500,
12100,14050,400,9550,13900,
12100,14650,400,8950,13900,
12100,14650,100,9250,13900,
12100,14650,100,8650,14500,
12700,14650,100,8650,13900,
12100,14050,100,9850,13900,
12100,13450,100,10450,13900,
12100,13450,100,10450,13900,
12100,13450,100,11050,13300,
11500,13450,100,11050,13900,
12100,12850,100,11050,13900,
11500,12250,100,12250,13900,
11500,12250,100,12250,13900,
13300,11650,100,11650,13300,
13900,11650,100,11650,12700,
14500,11050,100,11650,12700,
15700,10450,100,11050,12700,
15700,10450,100,11050,12700,
15700,10450,100,11650,12100,
15100,10450,100,11050,13300,
16300,9850,100,11050,12700,
15700,11050,100,10450,12700,
15700,11050,100,10450,12700,
15700,11050,100,11050,12100,
16300,11050,100,11050,11500,
16900,10450,100,11050,11500,
16900,11050,100,10450,11500,
16900,11050,100,10450,11500,
16900,11050,100,9850,12100,
17500,11050,100,9850,11500,
18700,10450,100,9850,10900,
18100,9850,100,11050,10900,
18100,9850,100,11050,10900,
18100,9850,100,10450,11500,
17500,9850,100,10450,12100,
16900,10450,100,10450,12100,
16900,9850,100,11050,12100,
16900,9850,100,11050,12100,
16900,9850,100,11050,12100,
17500,9850,100,11050,11500,
16900,10450,100,11050,11500,
16300,9850,100,12250,11500,
16300,9850,100,12250,11500,
16300,9850,100,11650,12100,
16900,9850,100,11650,11500,
17500,9250,100,11650,11500,
17500,9850,100,11050,11500,
17500,9850,100,11050,11500,
17500,9850,100,11650,10900,
16900,9850,100,11650,11500,
17500,9250,100,11650,11500,
16900,10450,100,11050,11500,
16900,10450,100,11050,11500,
16300,10450,100,10450,12700,
