EXACT_RANGE_EXP,EXACT_RANGE_EXP_6,EXPECTATION,EXACT_RANGE_EXP,EXACT_RANGE_EXP_6,
10000,10000,10000,10000,10000,
9400,6400,10000,10000,14200,
3400,400,22000,10000,14200,
3400,400,23500,8500,14200,
3400,400,19000,4000,23200,
1000,400,19000,4000,25600,
0,400,13000,4000,32600,
0,0,9400,4000,36600,
0,0,6700,6700,36600,
0,0,6700,2500,40800,
0,0,8200,2500,39300,
0,0,5500,0,44500,
0,0,5500,0,44500,
0,0,7000,0,43000,
0,0,7000,0,43000,
0,0,7900,0,42100,
0,0,7900,0,42100,
0,0,8500,0,41500,
0,0,5200,0,44800,
0,0,5200,0,44800,
0,0,10400,0,39600,
0,0,10400,0,39600,
0,0,10400,0,39600,
0,0,11600,0,38400,
0,0,15200,0,34800,
0,0,8000,0,42000,
0,0,8000,0,42000,
0,0,8000,0,42000,
0,0,9500,0,40500,
0,0,9500,0,40500,
0,0,8300,0,41700,
0,0,8600,0,41400,
0,0,8600,0,41400,
0,0,5900,0,44100,
0,0,5900,0,44100,
0,0,4700,0,45300,
0,0,5600,0,44400,
0,0,2900,0,47100,
0,0,0,0,50000,
