EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,
30000,30000,30000,30000,30000,
30600,29400,30000,30000,30000,
30600,300,59100,30000,30000,
30600,300,58500,34800,25800,
30600,300,77700,25200,16200,
29700,300,77700,25200,17100,
29100,300,78300,25200,17100,
29100,0,78600,25200,17100,
23100,0,78000,31800,17100,
23100,0,90000,25800,11100,
21900,0,90000,28500,9600,
26400,0,85500,28500,9600,
26400,0,85500,26700,11400,
26400,0,86100,26100,11400,
26400,0,86100,26700,10800,
22200,0,86100,26700,15000,
21600,0,86700,26700,15000,
28800,0,79500,26700,15000,
28800,0,78900,27300,15000,
28800,0,78900,28800,13500,
28200,0,78900,28800,14100,
22200,0,84900,28800,14100,
24000,0,83100,28800,14100,
24000,0,75600,36300,14100,
24000,0,75600,36900,13500,
23400,0,75600,36900,14100,
24300,0,74700,36900,14100,
24300,0,74700,36900,14100,
24300,0,78900,32700,14100,
24300,0,81900,35700,8100,
19500,0,81900,35700,12900,
25500,0,75900,35700,12900,
25500,0,75900,30300,18300,
31500,0,72900,27300,18300,
31500,0,72900,31800,13800,
28500,0,72900,31800,16800,
22500,0,78900,31800,16800,
22500,0,78900,35700,12900,
22500,0,83100,31500,12900,
22500,0,83100,30900,13500,
16200,0,83100,30900,19800,
16800,0,82500,30900,19800,
24000,0,75300,30900,19800,
24000,0,74700,30300,21000,
24000,0,74700,35700,15600,
22800,0,74700,38400,14100,
23400,0,74100,38400,14100,
23400,0,74100,38400,14100,
23400,0,73500,39000,14100,
23400,0,73500,40500,12600,
21000,0,73500,43500,12000,
20400,0,74100,43500,12000,
20400,0,74100,43500,12000,
20400,0,67200,50400,12000,
20400,0,67200,56400,6000,
24600,0,67200,56400,1800,
24000,0,68400,56400,1200,
24000,0,66600,58200,1200,
24000,0,66000,58800,1200,
24000,0,66000,57600,2400,
21600,0,66000,57600,4800,
21000,0,66600,57600,4800,
21000,0,66600,57600,4800,
21000,0,60600,63600,4800,
21000,0,60600,64200,4200,
19500,0,60600,67200,2700,
9900,0,70200,67200,2700,
9900,0,70200,66900,3000,
9900,0,69300,67800,3000,
9900,0,69300,66900,3900,
8100,0,69300,66900,5700,
2100,0,75300,66900,5700,
2100,0,75300,66900,5700,
2100,0,75900,66300,5700,
2100,0,75900,67500,4500,
0,0,75900,67500,6600,
0,0,78600,67500,3900,
0,0,78600,67500,3900,
0,0,74100,72000,3900,
0,0,74100,71400,4500,
0,0,78300,71400,300,
0,0,78300,71400,300,
0,0,78300,71400,300,
0,0,75600,74100,300,
0,0,75000,74700,300,
0,0,75300,74700,0,
0,0,75300,74700,0,
0,0,75300,74700,0,
0,0,78900,71100,0,
0,0,74400,75600,0,
0,0,74400,75600,0,
0,0,81600,68400,0,
0,0,91500,58500,0,
0,0,90900,59100,0,
0,0,90000,60000,0,
0,0,90000,60000,0,
0,0,90000,60000,0,
0,0,90000,60000,0,
0,0,89400,60600,0,
0,0,88500,61500,0,
0,0,88500,61500,0,
0,0,88500,61500,0,
0,0,88500,61500,0,
0,0,87300,62700,0,
0,0,87900,62100,0,
0,0,82500,67500,0,
0,0,82500,67500,0,
0,0,74400,75600,0,
0,0,73800,76200,0,
0,0,79800,70200,0,
0,0,79800,70200,0,
0,0,79800,70200,0,
0,0,79800,70200,0,
0,0,73800,76200,0,
0,0,72600,77400,0,
0,0,72600,77400,0,
0,0,72600,77400,0,
0,0,72600,77400,0,
0,0,72000,78000,0,
0,0,78900,71100,0,
0,0,78900,71100,0,
0,0,78900,71100,0,
0,0,78900,71100,0,
0,0,79500,70500,0,
0,0,78900,71100,0,
0,0,78900,71100,0,
0,0,78900,71100,0,
0,0,78900,71100,0,
0,0,87600,62400,0,
0,0,84600,65400,0,
0,0,84600,65400,0,
0,0,84600,65400,0,
0,0,91800,58200,0,
0,0,92400,57600,0,
0,0,98400,51600,0,
0,0,98400,51600,0,
0,0,98400,51600,0,
0,0,89400,60600,0,
0,0,90000,60000,0,
0,0,85500,64500,0,
0,0,85500,64500,0,
0,0,85500,64500,0,
0,0,85500,64500,0,
0,0,91500,58500,0,
0,0,90900,59100,0,
0,0,90900,59100,0,
0,0,90900,59100,0,
0,0,90900,59100,0,
0,0,91500,58500,0,
0,0,84600,65400,0,
0,0,82800,67200,0,
0,0,82800,67200,0,
0,0,82800,67200,0,
0,0,76800,73200,0,
0,0,70800,79200,0,
0,0,72600,77400,0,
0,0,72600,77400,0,
0,0,72600,77400,0,
0,0,71700,78300,0,
0,0,71100,78900,0,
0,0,71100,78900,0,
0,0,71100,78900,0,
0,0,71100,78900,0,
0,0,70500,79500,0,
0,0,69000,81000,0,
0,0,65400,84600,0,
0,0,65400,84600,0,
0,0,65400,84600,0,
0,0,66000,84000,0,
0,0,66600,83400,0,
0,0,66600,83400,0,
0,0,66600,83400,0,
0,0,66900,83100,0,
0,0,71100,78900,0,
0,0,71700,78300,0,
0,0,76200,73800,0,
0,0,76200,73800,0,
0,0,76200,73800,0,
0,0,74700,75300,0,
0,0,72300,77700,0,
0,0,72300,77700,0,
0,0,72300,77700,0,
0,0,72300,77700,0,
0,0,71100,78900,0,
0,0,70500,79500,0,
0,0,70500,79500,0,
0,0,70500,79500,0,
0,0,70500,79500,0,
0,0,69000,81000,0,
0,0,68400,81600,0,
0,0,68400,81600,0,
0,0,68400,81600,0,
0,0,68400,81600,0,
0,0,62400,87600,0,
0,0,61800,88200,0,
0,0,61800,88200,0,
0,0,67200,82800,0,
0,0,75300,74700,0,
0,0,75900,74100,0,
0,0,76500,73500,0,
0,0,76500,73500,0,
0,0,76500,73500,0,
0,0,76500,73500,0,
0,0,75000,75000,0,
0,0,69000,81000,0,
0,0,69000,81000,0,
0,0,69000,81000,0,
0,0,69000,81000,0,
0,0,69600,80400,0,
0,0,68700,81300,0,
0,0,68700,81300,0,
0,0,68700,81300,0,
0,0,68700,81300,0,
0,0,67200,82800,0,
0,0,67800,82200,0,
0,0,66000,84000,0,
0,0,66000,84000,0,
0,0,66000,84000,0,
0,0,68100,81900,0,
0,0,67200,82800,0,
0,0,67200,82800,0,
0,0,67200,82800,0,
0,0,65400,84600,0,
0,0,71700,78300,0,
0,0,72300,77700,0,
0,0,68700,81300,0,
0,0,68700,81300,0,
0,0,71400,78600,0,
0,0,80100,69900,0,
0,0,78600,71400,0,
0,0,78600,71400,0,
0,0,82500,67500,0,
0,0,82500,67500,0,
0,0,84900,65100,0,
0,0,92700,57300,0,
0,0,92700,57300,0,
0,0,97200,52800,0,
0,0,97200,52800,0,
0,0,104100,45900,0,
0,0,98100,51900,0,
0,0,98100,51900,0,
0,0,98100,51900,0,
0,0,98100,51900,0,
0,0,98700,51300,0,
0,0,103800,46200,0,
0,0,103800,46200,0,
0,0,109200,40800,0,
0,0,109200,40800,0,
0,0,104700,45300,0,
0,0,103500,46500,0,
0,0,103500,46500,0,
0,0,103500,46500,0,
0,0,103500,46500,0,
0,0,102900,47100,0,
0,0,105900,44100,0,
0,0,100500,49500,0,
0,0,100500,49500,0,
0,0,100500,49500,0,
0,0,99600,50400,0,
0,0,96600,53400,0,
0,0,96900,53100,0,
0,0,96900,53100,0,
0,0,96900,53100,0,
0,0,96300,53700,0,
0,0,91800,58200,0,
0,0,91800,58200,0,
0,0,91800,58200,0,
0,0,86400,63600,0,
0,0,93300,56700,0,
0,0,93900,56100,0,
0,0,99300,50700,0,
0,0,99300,50700,0,
0,0,105600,44400,0,
0,0,108000,42000,0,
0,0,108600,41400,0,
0,0,108600,41400,0,
0,0,108600,41400,0,
0,0,112200,37800,0,
0,0,106200,43800,0,
0,0,108600,41400,0,
0,0,108600,41400,0,
0,0,108600,41400,0,
0,0,101400,48600,0,
0,0,100200,49800,0,
0,0,98700,51300,0,
0,0,95100,54900,0,
0,0,95100,54900,0,
0,0,95100,54900,0,
0,0,95700,54300,0,
0,0,95100,54900,0,
0,0,91500,58500,0,
0,0,98700,51300,0,
0,0,98700,51300,0,
0,0,106500,43500,0,
0,0,105600,44400,0,
0,0,109200,40800,0,
0,0,109200,40800,0,
0,0,109200,40800,0,
0,0,115200,34800,0,
0,0,119400,30600,0,
0,0,119400,30600,0,
0,0,112200,37800,0,
0,0,112200,37800,0,
0,0,119700,30300,0,
0,0,120300,29700,0,
0,0,120300,29700,0,
0,0,118500,31500,0,
0,0,118800,31200,0,
0,0,118200,31800,0,
0,0,118800,31200,0,
0,0,118800,31200,0,
0,0,120600,29400,0,
0,0,120600,29400,0,
0,0,121200,28800,0,
0,0,120600,29400,0,
0,0,128700,21300,0,
0,0,128700,21300,0,
0,0,126900,23100,0,
0,0,127500,22500,0,
0,0,135600,14400,0,
0,0,135600,14400,0,
0,0,135600,14400,0,
0,0,135600,14400,0,
0,0,134100,15900,0,
0,0,133500,16500,0,
0,0,133500,16500,0,
0,0,133500,16500,0,
0,0,136200,13800,0,
0,0,128700,21300,0,
0,0,132900,17100,0,
0,0,124800,25200,0,
0,0,124800,25200,0,
0,0,124800,25200,0,
0,0,122400,27600,0,
0,0,121800,28200,0,
0,0,120000,30000,0,
0,0,120000,30000,0,
0,0,120000,30000,0,
0,0,120600,29400,0,
0,0,120000,30000,0,
0,0,120000,30000,0,
0,0,121800,28200,0,
0,0,121800,28200,0,
0,0,121200,28800,0,
0,0,126000,24000,0,
0,0,126000,24000,0,
0,0,126000,24000,0,
0,0,126000,24000,0,
0,0,132000,18000,0,
0,0,142500,7500,0,
0,0,142500,7500,0,
0,0,140700,9300,0,
0,0,140700,9300,0,
0,0,133200,16800,0,
0,0,133800,16200,0,
0,0,134100,15900,0,
0,0,134100,15900,0,
0,0,134100,15900,0,
0,0,134700,15300,0,
0,0,134100,15900,0,
0,0,134100,15900,0,
0,0,134100,15900,0,
0,0,134100,15900,0,
0,0,134700,15300,0,
0,0,134100,15900,0,
0,0,126900,23100,0,
0,0,126900,23100,0,
0,0,135000,15000,0,
0,0,137400,12600,0,
0,0,136800,13200,0,
0,0,144900,5100,0,
0,0,144900,5100,0,
0,0,144900,5100,0,
0,0,143700,6300,0,
0,0,149700,300,0,
