EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,EXACT_RANGE_EXP_6,
30000,30000,30000,30000,30000,30000,
24000,36000,30000,30000,30000,30000,
24000,41400,24600,30000,30000,30000,
24000,41400,23400,31200,30000,30000,
24000,41400,23400,27000,34200,30000,
24000,41400,23400,27000,22800,41400,
24600,41400,23400,27000,22800,40800,
20400,45600,23400,27000,22800,40800,
19800,45000,24600,27000,22800,40800,
19800,45000,33300,18300,22800,40800,
19800,67800,33300,17700,600,40800,
19800,67800,33300,17700,0,41400,
22800,67800,33300,17700,0,38400,
19800,70800,33300,17700,0,38400,
12300,85800,25800,17700,0,38400,
12300,85800,25200,18300,0,38400,
12300,85800,25200,18900,0,37800,
10500,87600,25200,18900,0,37800,
11100,87600,25200,18900,0,37200,
12600,86100,25200,18900,0,37200,
12600,123900,24600,18900,0,0,
12600,123900,30600,12900,0,0,
12000,123900,30600,13500,0,0,
7500,129300,30600,12600,0,0,
7500,129300,30600,12600,0,0,
0,119700,47700,12600,0,0,
0,119100,43500,17400,0,0,
0,119100,49500,11400,0,0,
0,118500,49500,12000,0,0,
0,118800,49500,11700,0,0,
0,168300,300,11400,0,0,
0,168300,300,11400,0,0,
0,168300,300,11400,0,0,
0,168300,0,11700,0,0,
0,174300,0,5700,0,0,
0,174300,0,5700,0,0,
0,174300,0,5700,0,0,
0,174300,0,5700,0,0,
0,178500,0,1500,0,0,
0,180000,0,0,0,0,
