EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_2,EXACT_RANGE_EXP_6,
30000,30000,30000,30000,30000,30000,
24600,36000,30000,29400,30000,30000,
30600,35400,26400,27600,30000,30000,
30600,35400,26400,27600,30000,30000,
30600,35400,26400,22200,35400,30000,
30600,35400,26400,23400,34800,29400,
33000,35400,26400,23400,34800,27000,
35100,34800,26400,21900,34800,27000,
35100,61200,0,21900,34800,27000,
35100,62400,0,20700,34800,27000,
35100,62400,0,20100,35400,27000,
35100,62400,0,21300,34800,26400,
36300,62400,0,20700,34800,25800,
36900,61800,0,20700,34800,25800,
36900,57600,0,24900,34800,25800,
36900,57600,0,23700,36000,25800,
36900,57600,0,23100,36600,25800,
36900,57600,0,22500,36000,27000,
42900,57600,0,22500,36000,21000,
39300,61800,0,22500,36000,20400,
39300,54300,0,30000,36000,20400,
39300,47700,0,36600,36000,20400,
39300,47100,0,600,72600,20400,
39300,47100,0,1800,75000,16800,
33300,47100,0,1200,69000,29400,
31500,48900,0,1200,69000,29400,
32700,48300,0,600,69000,29400,
34500,48300,0,600,69000,27600,
34500,20700,0,0,42000,82800,
34500,15300,0,0,41400,88800,
35100,15300,0,0,41400,88200,
41100,9300,0,0,41400,88200,
37500,3900,0,0,50400,88200,
37500,5700,0,0,48600,88200,
37500,5700,0,0,48600,88200,
37500,5100,0,0,48000,89400,
38100,5100,0,0,48000,88800,
41400,1800,0,0,48000,88800,
41400,3600,0,0,46200,88800,
41100,3600,0,0,46200,89100,
36600,3600,0,0,46200,93600,
36600,3600,0,0,45600,94200,
41100,3600,0,0,45600,89700,
40500,4200,0,0,45600,89700,
40500,4800,0,0,45000,89700,
40500,4800,0,0,45000,89700,
42300,4800,0,0,45000,87900,
42300,4800,0,0,50700,82200,
41700,4800,0,0,50700,82800,
46200,300,0,0,50700,82800,
48300,0,0,0,48900,82800,
48300,0,0,0,48900,82800,
51000,0,0,0,48000,81000,
51000,0,0,0,52200,76800,
45900,0,0,0,52200,81900,
51300,0,0,0,46800,81900,
46500,0,0,0,51600,81900,
50100,0,0,0,48000,81900,
44700,0,0,0,53400,81900,
46200,0,0,0,52800,81000,
52200,0,0,0,52800,75000,
51600,0,0,0,52200,76200,
51600,0,0,0,51000,77400,
51600,0,0,0,51000,77400,
51600,0,0,0,51000,77400,
51600,0,0,0,102000,26400,
57600,0,0,0,102000,20400,
51600,0,0,0,108000,20400,
44400,0,0,0,108000,27600,
44100,0,0,0,108000,27900,
44100,0,0,0,108000,27900,
44100,0,0,0,107400,28500,
36300,0,0,0,107400,36300,
35700,0,0,0,108000,36300,
35700,0,0,0,95400,48900,
35700,0,0,0,95400,48900,
36900,0,0,0,94200,48900,
32700,0,0,0,99000,48300,
24000,0,0,0,99000,57000,
23400,0,0,0,99600,57000,
23400,0,0,0,99600,57000,
