CALL_MAN,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXPECTATION,
30000,30000,30000,30000,30000,30000,
27000,33000,30000,30000,30000,30000,
30900,29700,29400,30000,30000,30000,
33900,29700,27900,28500,30000,30000,
22500,29700,27300,17100,18600,64800,
21000,29700,27300,17100,17400,67500,
19500,29700,27300,17100,17400,69000,
13500,27000,27300,17100,26100,69000,
2100,50400,26700,17100,14700,69000,
4800,50400,25500,15600,14700,69000,
0,39000,25500,4200,42300,69000,
0,39000,25500,4200,42900,68400,
0,42000,25500,4200,42900,65400,
0,42000,25500,0,47100,65400,
0,41400,26100,0,47100,65400,
0,42600,25500,0,46500,65400,
0,42900,25500,0,46500,65100,
0,42900,25500,0,43500,68100,
0,41400,25500,0,43500,69600,
0,41400,25500,0,43500,69600,
0,47400,23400,0,43500,65700,
0,47400,23400,0,43500,65700,
0,59400,16800,0,43500,60300,
0,59400,16800,0,44700,59100,
0,53400,16800,0,44700,65100,
0,53400,16800,0,44700,65100,
0,55800,16200,0,42900,65100,
0,55800,13800,0,45300,65100,
0,55800,13800,0,45300,65100,
0,55800,13800,0,52800,57600,
0,54300,13800,0,52800,59100,
0,54300,35400,0,42000,48300,
0,56100,33600,0,42000,48300,
0,56100,33600,0,42000,48300,
0,56100,31800,0,43800,48300,
0,56100,31800,0,40800,51300,
0,57300,31800,0,40800,50100,
0,57300,31800,0,40800,50100,
0,60300,28800,0,40800,50100,
0,60300,19200,0,50400,50100,
0,60300,17400,0,52200,50100,
0,60300,17400,0,53400,48900,
0,54300,17400,0,53400,54900,
0,54300,17400,0,53400,54900,
0,59100,16800,0,53400,50700,
0,67500,10800,0,51000,50700,
0,67500,10800,0,51000,50700,
0,67500,10800,0,52200,49500,
0,61500,10800,0,46200,61500,
0,61500,10800,0,46200,61500,
0,55500,16800,0,46200,61500,
0,56700,16200,0,45600,61500,
0,56700,16200,0,45600,61500,
0,60900,16200,0,42000,60900,
0,62400,16200,0,42000,59400,
0,57600,16200,0,33600,72600,
0,48000,26400,0,33000,72600,
0,48000,25800,0,33600,72600,
0,45900,26100,0,33600,74400,
0,40500,26100,0,33000,80400,
0,46500,26100,0,33000,74400,
0,51300,21300,0,33000,74400,
0,50700,20700,0,34800,73800,
0,50700,20100,0,35400,73800,
0,50700,20100,0,35400,73800,
0,50700,8700,0,54600,66000,
0,49200,8700,0,54600,67500,
0,49200,8700,0,54600,67500,
0,48600,6300,0,58200,66900,
0,48600,10500,0,54000,66900,
0,52200,6900,0,54000,66900,
0,52200,6900,0,62100,58800,
0,50700,6900,0,62100,60300,
0,50700,6900,0,62100,60300,
0,51300,6300,0,62100,60300,
0,51300,10200,0,58200,60300,
0,51300,10200,0,58200,60300,
0,51300,10200,0,56700,61800,
0,52200,10200,0,56700,60900,
0,60000,10200,0,53700,56100,
0,66000,7200,0,53700,53100,
0,66000,13200,0,47700,53100,
0,66000,13200,0,47700,53100,
0,66000,1800,0,70500,41700,
0,64500,1800,0,70500,43200,
0,63300,3000,0,70500,43200,
0,62100,5700,0,70500,41700,
0,66000,5400,0,66900,41700,
0,66300,5400,0,66900,41400,
0,66300,6600,0,66300,40800,
0,67500,6600,0,66300,39600,
