EXPECTATION,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXPECTATION,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,
30000,30000,30000,30000,30000,30000,
25500,35400,30000,30000,30000,29100,
25500,24000,41400,30000,30000,29100,
25500,24000,38400,33000,30000,29100,
25500,24000,38400,34500,28500,29100,
25500,24000,38400,34500,15300,42300,
19500,24000,38400,34500,15300,48300,
21000,22500,38400,34500,15300,48300,
21000,29700,37800,34500,15300,41700,
21000,29700,47700,33900,15300,32400,
21000,29700,49500,33000,14400,32400,
21000,32100,49500,33000,13800,30600,
22500,32100,49500,33000,13800,29100,
24000,30600,49500,33000,13800,29100,
24000,30000,39900,33000,13200,39900,
24000,30000,33900,45000,7200,39900,
24000,30000,43500,44100,6300,32100,
24000,30000,38700,39300,20700,27300,
22500,33000,38700,39300,20700,25800,
24000,31500,38700,39300,20700,25800,
24000,22500,29700,39300,20700,43800,
24000,22500,32700,36300,20700,43800,
24000,22500,32700,34800,22200,43800,
24000,22500,32700,34800,22200,43800,
31200,19800,32700,34800,22200,39300,
30300,17400,32700,34800,22200,42600,
30300,25800,32100,34800,14400,42600,
30300,25800,35100,31800,14400,42600,
30300,25800,35100,30300,15900,42600,
30300,25800,35100,30300,15300,43200,
29100,25800,32100,30300,15300,47400,
23100,32400,32100,30300,15300,46800,
18900,37200,31500,30300,15300,46800,
18900,37200,39000,22800,15300,46800,
18900,37200,39000,18300,19800,46800,
18900,37200,39000,18300,23400,43200,
18300,37200,33000,18300,23400,49800,
17100,38400,33000,18300,23400,49800,
17100,32400,39000,18300,23400,49800,
17100,32400,38400,12300,23400,56400,
17100,21000,61800,900,22800,56400,
17100,21000,61800,900,22200,57000,
21600,21000,61800,900,22200,52500,
18600,18000,61800,900,29400,51300,
18600,26400,53400,900,29400,51300,
9000,16800,75900,0,29400,48900,
9000,16800,68100,0,37200,48900,
9000,16800,68100,0,37800,48300,
8100,16800,69600,0,37800,47700,
3600,21300,69600,0,37800,47700,
3600,30300,60600,0,37800,47700,
3600,30300,61200,0,37200,47700,
3600,26700,64800,0,37200,47700,
3600,26700,64800,0,31200,53700,
0,26700,64800,0,31200,57300,
0,26700,64800,0,31200,57300,
0,26100,65400,0,31200,57300,
0,26100,64800,0,31800,57300,
0,26100,64800,0,31800,57300,
0,26100,64800,0,30000,59100,
0,26700,64800,0,30000,58500,
0,26700,63000,0,31800,58500,
0,26100,67200,0,28200,58500,
0,38100,66600,0,16800,58500,
0,39900,66600,0,16800,56700,
0,39900,55200,0,5400,79500,
0,40500,55200,0,5400,78900,
0,40500,55200,0,9000,75300,
0,39900,54600,0,9000,76500,
0,39900,48600,0,15600,75900,
0,39900,48600,0,15600,75900,
0,39900,48600,0,15000,76500,
0,39300,48600,0,15000,77100,
0,39300,48600,0,15000,77100,
0,41100,46800,0,15000,77100,
0,41100,47400,0,14400,77100,
0,41100,47400,0,14400,77100,
0,41100,41400,0,21000,76500,
0,37500,41400,0,21000,80100,
0,37500,37800,0,24600,80100,
0,31800,43500,0,24600,80100,
0,34800,41100,0,24000,80100,
0,31200,41100,0,24000,83700,
0,31200,41100,0,12600,95100,
0,25200,35100,0,30600,89100,
0,30000,35100,0,25800,89100,
0,36600,29100,0,25800,88500,
0,36600,28500,0,26400,88500,
0,36600,28500,0,26400,88500,
0,36600,28500,0,27000,87900,
0,37800,28500,0,26400,87300,
0,37800,28500,0,26400,87300,
0,37200,27900,0,25800,89100,
0,37200,39300,0,14400,89100,
0,37200,39300,0,14400,89100,
0,37200,39300,0,19200,84300,
0,36600,39300,0,19200,84900,
0,36600,39300,0,19200,84900,
0,36000,36900,0,19200,87900,
0,33000,36300,0,22800,87900,
0,33000,36300,0,22800,87900,
0,32400,38100,0,22200,87300,
0,31800,39300,0,22200,86700,
0,35400,39300,0,22200,83100,
0,36000,38700,0,22200,83100,
0,36000,39900,0,21600,82500,
0,34200,39900,0,21600,84300,
0,34200,39900,0,21000,84900,
0,33600,39900,0,20400,86100,
0,33600,39900,0,20400,86100,
0,33000,41100,0,20400,85500,
0,33000,36900,0,25200,84900,
0,33000,36900,0,25200,84900,
0,33000,41700,0,24600,80700,
0,32400,41700,0,24600,81300,
0,32400,41700,0,24600,81300,
0,39000,35700,0,24000,81300,
0,39000,30300,0,29400,81300,
0,39000,37500,0,29400,74100,
0,39000,37500,0,36000,67500,
0,43200,37500,0,36000,63300,
0,39600,42900,0,34200,63300,
0,39000,36900,0,33600,70500,
0,39000,37500,0,33000,70500,
0,35400,41100,0,33000,70500,
0,35400,41100,0,38100,65400,
0,34800,33600,0,38100,73500,
0,34800,33600,0,38100,73500,
0,34200,34200,0,38100,73500,
0,34200,43800,0,28500,73500,
0,34200,43800,0,28500,73500,
0,34200,43800,0,29100,72900,
0,37200,43800,0,29100,69900,
0,55200,38400,0,16500,69900,
0,43800,37800,0,16500,81900,
0,43800,37200,0,15900,83100,
0,50400,30600,0,15900,83100,
0,49800,32400,0,15300,82500,
0,50400,32400,0,15300,81900,
0,50400,32400,0,15300,81900,
0,49800,31800,0,16500,81900,
0,60000,31200,0,6900,81900,
0,60000,31200,0,6900,81900,
0,60000,31200,0,0,88800,
0,63600,31200,0,0,85200,
0,63600,27600,0,0,88800,
0,75600,21600,0,0,82800,
0,75600,25800,0,0,78600,
0,79200,22200,0,0,78600,
0,79200,22200,0,0,78600,
0,79800,22200,0,0,78000,
0,79800,22200,0,0,78000,
0,73200,28800,0,0,78000,
0,73200,28200,0,0,78600,
0,73200,28200,0,0,78600,
0,75000,28200,0,0,76800,
0,75600,28200,0,0,76200,
0,75600,28200,0,0,76200,
0,75000,29400,0,0,75600,
0,76200,28800,0,0,75000,
0,76200,28800,0,0,75000,
0,76200,32400,0,0,71400,
0,70200,32400,0,0,77400,
0,70200,32400,0,0,77400,
0,77100,25500,0,0,77400,
0,77100,24900,0,0,78000,
0,77100,24900,0,0,78000,
0,77100,24900,0,0,78000,
0,77700,24900,0,0,77400,
0,77700,32100,0,0,70200,
0,77100,29700,0,0,73200,
0,77100,27300,0,0,75600,
0,84300,21900,0,0,73800,
0,84300,21900,0,0,73800,
0,72900,33900,0,0,73200,
0,72900,33900,0,0,73200,
0,72300,33300,0,0,74400,
0,72300,32700,0,0,75000,
0,72300,32700,0,0,75000,
0,72300,32700,0,0,75000,
0,71700,33900,0,0,74400,
0,71700,33900,0,0,74400,
0,73500,32100,0,0,74400,
0,73500,32700,0,0,73800,
0,75300,32700,0,0,72000,
0,75300,32700,0,0,72000,
0,80100,32700,0,0,67200,
0,72900,39900,0,0,67200,
0,72300,40500,0,0,67200,
0,72300,41100,0,0,66600,
0,72300,41100,0,0,66600,
0,72300,42900,0,0,64800,
0,71700,42900,0,0,65400,
0,71700,42900,0,0,65400,
0,75900,38700,0,0,65400,
0,79500,35700,0,0,64800,
0,79500,35700,0,0,64800,
0,74100,35700,0,0,70200,
0,72300,38100,0,0,69600,
0,65700,44700,0,0,69600,
0,74700,35700,0,0,69600,
0,74700,35100,0,0,70200,
0,74700,40500,0,0,64800,
0,74700,40500,0,0,64800,
0,86700,34500,0,0,58800,
0,85500,35700,0,0,58800,
0,96000,25200,0,0,58800,
0,96000,25800,0,0,58200,
0,96000,25800,0,0,58200,
0,96000,25800,0,0,58200,
0,95400,25800,0,0,58800,
0,88200,33000,0,0,58800,
0,87600,33600,0,0,58800,
0,78000,43800,0,0,58200,
0,78000,42000,0,0,60000,
0,78000,42000,0,0,60000,
0,77400,42000,0,0,60600,
0,77400,42000,0,0,60600,
0,70200,41400,0,0,68400,
0,70200,42000,0,0,67800,
0,61200,33000,0,0,85800,
0,61200,33000,0,0,85800,
0,65400,33000,0,0,81600,
0,65400,33000,0,0,81600,
0,71400,27000,0,0,81600,
0,71400,26400,0,0,82200,
0,80400,17400,0,0,82200,
0,80400,17400,0,0,82200,
0,79800,17400,0,0,82800,
0,79800,17400,0,0,82800,
0,101400,6600,0,0,72000,
0,101400,600,0,0,78000,
0,101400,0,0,0,78600,
0,101400,0,0,0,78600,
0,103200,0,0,0,76800,
0,103200,0,0,0,76800,
0,97200,0,0,0,82800,
0,97200,0,0,0,82800,
0,100800,0,0,0,79200,
0,104400,0,0,0,75600,
0,103800,0,0,0,76200,
0,103800,0,0,0,76200,
0,104400,0,0,0,75600,
0,104400,0,0,0,75600,
0,104400,0,0,0,75600,
0,104400,0,0,0,75600,
0,103800,0,0,0,76200,
0,103800,0,0,0,76200,
0,111300,0,0,0,68700,
0,111300,0,0,0,68700,
0,111300,0,0,0,68700,
0,107700,0,0,0,72300,
0,108300,0,0,0,71700,
0,115500,0,0,0,64500,
0,124800,0,0,0,55200,
0,124800,0,0,0,55200,
0,124800,0,0,0,55200,
0,124800,0,0,0,55200,
0,113400,0,0,0,66600,
0,113400,0,0,0,66600,
0,107400,0,0,0,72600,
0,107400,0,0,0,72600,
0,107400,0,0,0,72600,
0,107400,0,0,0,72600,
0,106800,0,0,0,73200,
0,106800,0,0,0,73200,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,117600,0,0,0,62400,
0,120000,0,0,0,60000,
0,119400,0,0,0,60600,
0,119400,0,0,0,60600,
0,119400,0,0,0,60600,
0,119400,0,0,0,60600,
0,108000,0,0,0,72000,
0,108000,0,0,0,72000,
0,107400,0,0,0,72600,
0,107400,0,0,0,72600,
0,107400,0,0,0,72600,
0,112800,0,0,0,67200,
0,117000,0,0,0,63000,
0,117000,0,0,0,63000,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,109200,0,0,0,70800,
0,108600,0,0,0,71400,
0,114600,0,0,0,65400,
0,114000,0,0,0,66000,
