EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,
90000,90000,90000,90000,90000,90000,
84000,96600,90000,90000,89400,90000,
84000,96000,90600,90000,89400,90000,
84000,96000,85200,89400,95400,90000,
84000,102000,85200,84000,94800,90000,
84000,102000,85200,84000,94200,90600,
83400,102000,85200,84000,94200,91200,
90600,94800,85200,84000,94200,91200,
90000,96600,84600,84000,93600,91200,
90000,96600,84000,83400,94800,91200,
90000,106800,84000,79200,88800,91200,
90000,106800,84000,79200,98100,81900,
90600,106800,84000,79200,98100,81300,
90000,107400,84000,79200,98100,81300,
82200,106800,76200,79200,98100,97500,
82200,106800,73800,81600,98100,97500,
82200,106800,73800,74400,105900,96900,
82200,106800,73800,93600,96300,87300,
80400,106800,73800,93600,98700,86700,
79800,106200,75000,93600,98700,86700,
79200,105600,74400,96000,98100,86700,
79200,105600,85200,95400,92100,82500,
79200,105600,85200,90000,102900,77100,
79200,105600,85200,90000,107100,72900,
79800,105600,85200,90000,107100,72300,
83700,97800,85200,93900,107100,72300,
83100,97200,73800,93900,102900,89100,
83100,97200,73200,88500,108900,89100,
83100,97200,73200,87900,109500,89100,
83100,97200,73200,87900,103500,95100,
82500,96600,72600,87900,103500,96900,
83700,96000,72000,87900,103500,96900,
83700,95400,72600,87900,103500,96900,
83700,95400,61200,87300,103500,108900,
79500,95400,61200,86700,108300,108900,
79500,95400,61200,86700,107700,109500,
90900,95400,61200,86700,107700,98100,
84900,101400,61200,86700,107700,98100,
84900,100800,60600,94500,101700,97500,
84900,100200,54600,107100,95700,97500,
84900,100200,54600,101700,101100,97500,
84900,100200,54600,101700,92700,105900,
73500,100200,54600,101700,81300,128700,
72900,105000,54600,97500,81300,128700,
72900,104400,55200,97500,81300,128700,
72900,104400,61800,91500,81300,128100,
72900,104400,61800,92100,80700,128100,
65100,104400,61800,92100,80100,136500,
64500,104400,61800,80700,79500,149100,
63900,105000,61800,80700,79500,149100,
65700,104400,61200,80700,78900,149100,
65700,104400,60600,80100,72900,156300,
65700,111600,54600,79500,72300,156300,
65700,111600,54600,79500,60900,167700,
63900,111000,54600,79500,63900,167100,
63300,106800,54600,79500,68700,167100,
63300,107400,54000,79500,68700,167100,
63300,107400,53400,80100,68700,167100,
63300,107400,53400,79500,69900,166500,
63300,107400,69600,68100,69300,162300,
60900,107400,72600,68100,69300,161700,
60300,118200,72600,68100,59100,161700,
68700,117600,64800,68100,59100,161700,
68700,117000,60600,73500,59100,161100,
68700,117000,60600,71100,63900,158700,
68700,117000,60600,71100,64500,158100,
66300,117000,60000,71100,68100,157500,
65700,116400,50400,61500,67500,178500,
65700,114600,49800,61500,67500,180900,
65700,103200,73200,60900,67500,169500,
65700,103200,72600,57900,71100,169500,
65700,103200,72600,57900,82500,158100,
63300,103200,76200,57900,81900,157500,
83100,102600,76200,48300,81900,147900,
83100,103200,75600,48300,81900,147900,
83100,95400,75000,46500,81900,158100,
83100,95400,75000,45900,82500,158100,
83100,95400,75000,46200,82800,157500,
77100,95400,75000,46200,82800,163500,
77700,94800,75000,46200,82800,163500,
77700,94200,72600,49200,82800,163500,
77700,94200,72000,49800,82800,163500,
77700,94200,72000,48000,84600,163500,
77700,94200,72000,48000,84000,164100,
77100,94200,72000,48000,79800,168900,
78300,93600,72000,48000,79200,168900,
78300,94200,71400,48000,79200,168900,
78300,101400,70800,47400,79200,162900,
78300,101400,70800,47400,79200,162900,
78300,97200,70800,47400,87600,158700,
74100,89400,90600,47400,87600,150900,
73500,85200,90600,52800,87600,150300,
78300,84600,86400,52800,87600,150300,
78300,84600,87000,52200,87600,150300,
78300,84600,87000,60000,79800,150300,
78300,84600,87000,60000,79200,150900,
75900,84600,90000,60000,79200,150300,
75300,85200,90000,60000,79200,150300,
75300,84600,85800,60000,84000,150300,
75300,84600,86400,59400,84000,150300,
75300,84600,86400,58800,84600,150300,
75300,84600,86400,58800,85200,149700,
73500,87600,86400,58800,84600,149100,
72900,85200,90600,58200,84600,148500,
72900,84600,88200,58200,84600,151500,
72900,84600,87600,68400,75000,151500,
72900,84000,87600,64200,79800,151500,
72900,84000,87600,64200,79200,152100,
72300,84000,97800,64200,79200,142500,
60900,76200,97800,64200,79200,161700,
60900,75600,97200,64200,80400,161700,
60900,75600,97800,63600,80400,161700,
60900,75600,97800,75000,69000,161700,
60900,75600,97200,75000,70200,161100,
62100,75600,97200,75000,69600,160500,
62700,75000,97200,75000,69600,160500,
62700,63600,120000,63600,69600,160500,
62700,63600,122400,61200,69600,160500,
62700,76200,122400,60600,58200,159900,
62700,76200,122400,60600,60600,157500,
58500,76200,127200,60600,60600,156900,
65700,74400,127200,60600,55200,156900,
65700,78600,123000,60600,55200,156900,
65700,78600,135000,60000,43800,156900,
65700,78600,135000,59400,44400,156900,
65700,78600,135000,59400,36600,164700,
66900,78000,135000,59400,36600,164100,
67500,77400,135000,59400,36600,164100,
67500,78000,134400,59400,36600,164100,
67500,78000,133800,58800,36600,165300,
67500,78000,133800,58200,36900,165600,
67500,78000,133800,58200,36300,166200,
65100,78000,136800,58200,36300,165600,
59100,77400,136800,58200,36300,172200,
59100,85200,136200,58200,29100,172200,
59100,85200,138600,55800,29100,172200,
59100,85200,138600,50400,34500,172200,
59100,84600,138600,50400,33900,173400,
58500,84600,151200,50400,29700,165600,
68700,84000,151200,50400,29700,156000,
72900,83400,150600,49800,27300,156000,
72900,83400,156000,49200,26700,151800,
72900,82800,156000,36600,33300,158400,
72900,82800,156000,36600,23700,168000,
71100,82800,156000,36600,26100,167400,
66900,88200,155400,36600,25500,167400,
66900,88800,154800,36600,25500,167400,
66900,88800,156600,36000,24900,166800,
66900,88800,145200,48000,24300,166800,
66900,91800,145200,48000,23700,164400,
62700,91800,150000,48000,23700,163800,
56700,85800,150000,48000,23700,175800,
56700,85200,150600,48000,23700,175800,
56700,85200,150000,47400,32700,168000,
56700,77400,149400,39600,48900,168000,
56700,77400,149400,39000,48300,169200,
47100,77400,149400,39000,48300,178800,
46500,75000,149400,39000,48300,181800,
46500,75600,148800,39000,48300,181800,
46500,81000,144000,38400,48300,181800,
