EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP,
90000,90000,90000,90000,90000,90000,
85800,94800,90000,90000,90000,89400,
102000,85200,89400,90000,90000,83400,
97800,85200,94200,89400,90000,83400,
97800,85200,94200,88800,90600,83400,
99000,85200,94200,88800,90000,82800,
99600,85200,94200,88800,90000,82200,
99000,85800,94200,88800,90000,82200,
99000,85200,93600,90000,90000,82200,
99000,84600,89400,94800,90000,82200,
99000,84600,89400,95400,89400,82200,
99000,84600,89400,95400,87000,84600,
99600,84600,89400,95400,87000,84000,
99000,84900,89400,95400,87000,84300,
99000,85500,88800,95400,87000,84300,
99000,85500,82800,101400,87000,84300,
99000,85500,82800,103800,84600,84300,
99000,85500,82800,105000,84000,83700,
98400,85500,82800,105000,76200,92100,
97800,86100,82800,105000,76200,92100,
97800,94800,74100,105000,76200,92100,
97800,94800,73500,105600,76200,92100,
97800,94800,72900,99600,82800,92100,
97800,94800,77700,99600,78600,91500,
97200,94800,77700,99600,78600,92100,
97800,94200,77700,99600,78600,92100,
97800,100800,77100,99600,78600,86100,
97800,112800,76500,88200,78600,86100,
97800,112800,76500,90300,76500,86100,
97800,112800,88500,90300,68700,81900,
102000,112800,88500,90300,68700,77700,
105900,105000,88500,90300,68700,81600,
105900,105600,87900,90300,68700,81600,
105900,105600,93900,84300,68700,81600,
105900,105600,93900,84900,68100,81600,
105900,105600,93900,84900,75600,74100,
94500,105600,93900,84900,98400,62700,
93900,114600,93900,84900,92400,60300,
93900,114000,94500,84900,92400,60300,
93900,114000,93900,85500,92400,60300,
93900,114000,93900,86100,91800,60300,
93900,114000,93900,86100,85800,66300,
93300,114000,93900,86100,85800,66900,
93900,113400,93900,86100,85800,66900,
93300,112800,107100,74700,85800,66300,
93300,112800,111300,70500,85800,66300,
93300,112800,111300,71100,85200,66300,
93300,112800,111300,71100,85800,65700,
99300,112800,111300,71100,85800,59700,
105900,106800,110700,71100,85800,59700,
105900,95400,122100,71100,85800,59700,
105900,95400,121500,71700,85800,59700,
105900,95400,121500,65700,92400,59100,
105900,95400,121500,65700,90000,61500,
98100,95400,121500,61500,102600,60900,
97500,96000,121500,61500,102600,60900,
97500,102600,120900,61500,102600,54900,
100500,102600,120300,59100,102600,54900,
100500,102600,120300,74700,94800,47100,
100500,102600,120300,74700,94200,47700,
99900,102600,120300,74700,94200,48300,
100500,102000,120300,74700,94200,48300,
100500,101400,120900,74700,94200,48300,
100500,103500,120600,72900,94200,48300,
100500,103500,120000,72300,91800,51900,
100500,103500,120000,72300,84000,59700,
102900,103500,120000,72300,84000,57300,
102300,102900,120000,72300,84000,58500,
101700,98700,125400,72300,84000,57900,
101700,98700,124800,72900,84000,57900,
101700,98700,124800,78900,78000,57900,
101700,98700,124800,78900,78600,57300,
101100,98700,124800,78300,80400,56700,
105300,94500,124800,78300,80400,56700,
105300,93900,125400,78300,80400,56700,
105300,93900,119400,84300,80400,56700,
105300,93900,119400,83700,79800,57900,
105300,93900,119400,83700,86700,51000,
101100,93900,124200,83700,86700,50400,
100500,106500,124200,77700,80700,50400,
100500,107100,123600,77700,80700,50400,
100500,107100,114300,87000,80700,50400,
100500,107100,114300,84600,83100,50400,
100500,107100,114300,84600,77100,56400,
111300,107100,114300,84000,76500,46800,
116100,106500,110100,84000,76500,46800,
116100,106500,110100,84000,76500,46800,
116100,107700,109500,83400,76500,46800,
116100,107700,110700,82800,75900,46800,
116100,107700,117300,82800,69900,46200,
122100,107700,117300,82800,69900,40200,
116100,114300,117300,82800,69900,39600,
116100,113700,117900,82800,69900,39600,
116100,113700,118500,82200,69900,39600,
116100,113700,118500,81600,70500,39600,
116100,113700,118500,82800,69900,39000,
116700,113700,118500,82800,69900,38400,
116100,114300,118500,82800,69900,38400,
116100,123000,109800,82800,69900,38400,
116100,126000,109200,80400,69900,38400,
116100,126000,109200,79800,70500,38400,
