EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_6_FLOP,
90000,90000,90000,90000,90000,90000,
89400,89400,91200,90000,90000,90000,
89400,95400,85200,90000,90000,90000,
96900,95400,78300,89400,90000,90000,
96900,95400,78300,90000,89400,90000,
96900,95400,78300,90000,85200,94200,
99300,95400,78300,90000,85200,91800,
99900,94800,78300,90000,85200,91800,
102900,94200,75900,90000,85200,91800,
102900,95400,75300,89400,85200,91800,
102900,95400,69300,83400,97800,91200,
102900,105600,69300,83400,88200,90600,
102300,99600,77700,82800,87600,90000,
90900,123600,77100,82800,87000,78600,
90900,123000,77700,82800,87000,78600,
103500,123000,69900,82200,87000,74400,
103500,123000,69300,83400,86400,74400,
103500,123000,69300,83400,96000,64800,
102900,123000,63300,83400,96000,71400,
102300,123600,63300,83400,96000,71400,
109800,116700,62700,83400,96000,71400,
109800,108900,72300,82800,95400,70800,
109800,108900,72300,78600,99600,70800,
109800,108900,72300,78600,100200,70200,
110400,108900,72300,78600,100200,69600,
116400,102900,72300,78600,100200,69600,
116400,95100,80100,78600,100200,69600,
116400,95100,79500,79200,100200,69600,
116400,95100,78900,76800,109200,63600,
116400,95100,71100,76800,117600,63000,
108600,108300,71100,76200,117000,58800,
100800,123900,63300,76200,117000,58800,
111000,114300,62700,76200,117000,58800,
111000,115500,62100,75600,117000,58800,
111000,115500,62100,67800,124800,58800,
111000,115500,62100,69000,124200,58200,
110400,116700,62100,69000,124200,57600,
116400,110700,62100,69000,124200,57600,
116400,132300,59700,69000,114600,48000,
116400,124500,68700,68400,114000,48000,
116400,124500,68700,67800,114600,48000,
116400,124500,68700,67800,122400,40200,
115800,124800,68700,67800,122400,40500,
115200,124200,68700,67800,122400,41700,
115200,123600,68100,47400,122400,63300,
115200,123600,62100,57600,118200,63300,
115200,123600,62100,63600,112200,63300,
115200,117600,62100,63600,126000,55500,
138000,117600,50700,63600,126000,44100,
160800,117000,50700,63600,103800,44100,
160200,109200,42900,63600,103800,60300,
160200,109200,45900,63000,103800,57900,
160200,108600,45900,64200,103200,57900,
160200,108600,45900,64200,112800,48300,
159600,108600,45900,64200,112200,49500,
159000,106200,45900,64200,112200,52500,
159000,111000,43500,64200,112200,50100,
159000,111000,44100,63600,112200,50100,
159000,111000,44100,61200,108000,56700,
159000,111000,44100,80400,98400,47100,
171900,111000,44100,80400,90600,42000,
171300,111600,44100,80400,90600,42000,
171300,112200,43500,80400,90600,42000,
171300,111600,42900,76200,96600,41400,
171300,111600,42900,88200,90600,35400,
171300,111600,42900,89400,90000,34800,
173100,111600,42300,89400,89400,34200,
172500,111000,42300,89400,89400,35400,
172500,110400,42900,89400,89400,35400,
172500,110400,36900,95400,89400,35400,
172500,110400,43500,89400,88800,35400,
172500,111600,43500,89400,88200,34800,
181200,111600,43500,89400,88200,26100,
181800,111000,43500,89400,88200,26100,
190200,105000,41100,89400,88200,26100,
190200,105000,38700,91800,88200,26100,
190200,108600,38700,91200,87600,23700,
190200,108600,38700,91200,95400,15900,
186000,108600,43500,91200,95400,15300,
186000,108600,43500,91200,95400,15300,
186000,108000,50100,91200,95400,9300,
178200,108000,58500,90600,95400,9300,
178200,107400,60300,90000,94800,9300,
178200,99600,60300,106200,87000,8700,
177600,99600,60300,106200,87000,9300,
175200,102600,60300,106200,87000,8700,
175200,110100,52800,106200,87000,8700,
167400,110100,61800,105600,87000,8100,
167400,110100,61800,106200,86400,8100,
167400,110100,61800,106200,88800,5700,
166800,117300,61800,106200,84600,3300,
169200,114900,61800,106200,84600,3300,
169200,112500,64200,106200,84600,3300,
169200,112500,64800,105600,84600,3300,
169200,112500,64800,117900,72300,3300,
169200,112500,64200,117900,73500,2700,
169800,112500,64200,117900,73500,2100,
169200,111900,65400,117900,73500,2100,
168600,107700,70200,117900,73500,2100,
168600,107700,69600,118500,73500,2100,
168600,107700,69600,108900,83100,2100,
168600,105600,69600,106800,82500,6900,
168000,105600,69600,106800,83700,6300,
167400,101400,69600,106800,88500,6300,
167400,100800,70200,106800,88500,6300,
167400,100800,77700,99300,88500,6300,
167400,100800,77700,96900,90900,6300,
167400,100800,77700,96300,84900,12900,
165000,100800,77700,96300,84900,15300,
164400,101400,77700,96300,84900,15300,
164400,93600,85500,96300,84900,15300,
164400,93600,84900,95700,84900,16500,
164400,93600,73500,84300,107700,16500,
164400,93600,73500,84300,101700,22500,
160200,99600,73500,83700,101100,21900,
154200,99000,72900,83700,101100,29100,
153600,89400,63300,83700,101100,48900,
153600,89400,65700,81300,101100,48900,
153600,94200,65700,78900,98700,48900,
153600,94200,65700,78900,102900,44700,
153000,94200,65700,74700,98700,53700,
152400,82800,65700,74700,98100,66300,
152400,83400,65100,74700,98100,66300,
152400,83400,64500,75300,98100,66300,
152400,83400,69300,74700,93900,66300,
152400,83400,69300,74700,99900,60300,
144600,83400,77700,74700,99900,59700,
152100,75900,77700,74700,99900,59700,
152100,77100,77100,74700,99900,59100,
152100,77100,83100,68700,99900,59100,
152100,77100,83100,77400,91200,59100,
