EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_2,
90000,90000,90000,90000,90000,90000,
77400,77400,90000,90000,90000,115200,
77400,90300,77100,90000,90000,115200,
77400,90300,77700,89400,90000,115200,
77400,90300,77700,83400,96000,115200,
77400,90300,77700,83400,102000,109200,
83400,90300,77700,83400,102000,103200,
77400,96300,77700,83400,102000,103200,
77400,84900,89100,83400,102000,103200,
77400,93900,88500,82800,94200,103200,
77400,96900,88500,82200,91800,103200,
77400,96900,88500,82200,91200,103800,
78000,96900,88500,82200,91200,103200,
78600,96300,88500,82200,91200,103200,
102000,84900,87900,82200,79800,103200,
102000,84900,107100,70800,72000,103200,
102000,84900,107100,70200,72600,103200,
102000,79500,107100,70200,78600,102600,
101400,79500,107100,70200,78600,103200,
100800,84300,107100,70200,78600,99000,
100800,95700,95700,70200,78600,99000,
100800,95700,96300,69600,78600,99000,
100800,98700,96300,69000,76200,99000,
100800,98700,96300,69000,85200,90000,
100200,98700,96300,69000,85200,90600,
94200,104700,96300,69000,85200,90600,
83400,104400,114600,69000,78000,90600,
83400,111000,108600,68400,78000,90600,
83400,111000,108600,69000,77400,90600,
73800,111000,108600,59400,97200,90000,
73200,103500,108600,59400,89700,105600,
73800,102900,108600,59400,89700,105600,
73800,93300,118200,59400,89700,105600,
73800,92700,119400,58800,89700,105600,
73800,92700,119400,58200,90300,105600,
73800,92700,118800,58200,91500,105000,
69600,92700,131400,58200,85500,102600,
63600,86700,131400,58200,97500,102600,
63600,90900,127200,58200,97500,102600,
63600,90900,126600,58800,97500,102600,
73800,90900,126600,49200,96900,102600,
73800,90300,126600,51000,96300,102000,
73200,90300,142800,51000,90300,92400,
67200,84300,142800,51000,102300,92400,
77400,74700,142200,51000,102300,92400,
77400,68700,138000,61200,102300,92400,
77400,68700,131100,68700,101700,92400,
77400,68700,132300,68700,101100,91800,
154800,68700,132300,68700,101100,14400,
154200,73200,136800,68700,93300,13800,
154200,73800,136200,68700,93300,13800,
154200,73800,135600,69300,93300,13800,
154200,73800,135000,68700,94500,13800,
154200,73800,135000,68700,93900,14400,
140100,89100,134400,68700,93900,13800,
128700,100500,134400,68700,93900,13800,
128100,94500,141000,68700,93900,13800,
128100,94500,141600,68100,93900,13800,
128100,94500,141600,68700,93300,13800,
128100,94500,148200,68700,87300,13200,
128700,94500,148200,68700,87300,12600,
129300,93900,148200,68700,87300,12600,
133200,93300,144900,68700,87300,12600,
133200,93300,144300,68100,88500,12600,
133200,93300,144300,67500,89100,12600,
133200,93300,144300,67500,87300,14400,
132600,85500,161100,67500,79500,13800,
138300,84900,161100,67500,79500,8700,
138300,85500,160500,67500,79500,8700,
138300,85500,186900,54300,66300,8700,
138300,85500,178500,68400,60600,8700,
138300,85500,178500,68400,55200,14100,
159900,75000,178500,68400,54600,3600,
148500,97800,178500,68400,43200,3600,
148500,95400,180900,68400,43200,3600,
148500,95400,180300,69000,43200,3600,
148500,94800,174300,63000,55800,3600,
148500,94800,173700,66600,55200,1200,
149100,94800,173700,66600,55200,600,
148500,95400,173700,66600,55200,600,
148500,94800,174300,66600,55200,600,
148500,94800,173700,63000,59400,600,
148500,94800,173700,63600,58800,600,
148500,94800,173700,73800,49200,0,
148500,94800,173700,73800,49200,0,
147900,96000,173700,73800,48600,0,
147900,95400,174300,73800,48600,0,
147900,94800,173700,75600,48000,0,
147900,94800,173700,71400,52200,0,
159300,94800,173700,71400,40800,0,
159300,94800,170700,72900,42300,0,
158700,94200,172500,72900,41700,0,
158700,102000,164700,72900,41700,0,
158700,102000,164100,73500,41700,0,
158700,102000,164100,80400,34800,0,
158100,102000,164100,80400,35400,0,
171600,96600,164100,80400,27300,0,
171000,96000,164100,81600,27300,0,
171000,95400,164700,81600,27300,0,
178200,95400,158700,81000,26700,0,
178200,95400,158700,76200,31500,0,
171600,95400,158700,76200,38100,0,
171600,106200,147900,76200,38100,0,
178500,99300,147900,76200,38100,0,
178500,99900,147300,76200,38100,0,
178500,99900,147900,75600,38100,0,
178500,99900,141900,82200,37500,0,
158700,99900,141900,102300,37200,0,
158700,98100,141900,102300,39000,0,
166200,91200,141300,102300,39000,0,
166200,91800,140700,102300,39000,0,
166200,91200,132900,118500,31200,0,
166200,118200,128700,107100,19800,0,
171000,118200,128700,102900,19200,0,
171000,118200,126900,104700,19200,0,
163200,126000,126900,104700,19200,0,
162600,125400,119100,104700,28200,0,
162600,125400,111300,120300,20400,0,
162600,125400,111300,118500,22200,0,
162000,125400,111300,110700,30600,0,
162000,125400,111300,110700,30600,0,
179700,107700,111300,110700,30600,0,
179700,101700,117300,110700,30600,0,
179700,101700,116700,111300,30600,0,
179700,101700,116700,105000,36900,0,
216000,101700,116700,69000,36600,0,
216000,110700,107700,69000,36600,0,
215400,110100,107700,69000,37800,0,
215400,105900,111900,69000,37800,0,
215400,105900,112500,68400,37800,0,
215400,105900,124500,62400,31800,0,
238800,105900,113100,61800,20400,0,
238800,105900,113100,61800,20400,0,
239400,105300,113100,61800,20400,0,
239400,116700,101700,61800,20400,0,
239400,125100,93900,61200,20400,0,
239400,125100,93900,60600,21000,0,
240000,125100,93900,60600,20400,0,
240000,125100,93900,60600,20400,0,
249900,124500,93900,53700,18000,0,
252000,124200,92100,53700,18000,0,
252000,124200,100800,45000,18000,0,
252000,127200,100800,44400,15600,0,
252600,127200,100800,44400,15000,0,
252600,132600,95400,44400,15000,0,
241200,144000,95400,44400,15000,0,
240600,132600,84000,44400,38400,0,
240600,125700,83400,52500,37800,0,
240600,125700,136500,0,37200,0,
236400,125700,136500,0,41400,0,
236400,125700,136500,0,41400,0,
242400,119700,136500,0,41400,0,
242400,113700,142500,0,41400,0,
242400,118500,141900,0,37200,0,
238800,118500,141900,0,40800,0,
238200,118500,141900,0,41400,0,
238200,118500,141900,0,41400,0,
238200,118500,141900,0,41400,0,
226800,107100,164700,0,41400,0,
226800,107100,164100,0,42000,0,
226800,107100,158700,0,47400,0,
233400,107100,165300,0,34200,0,
227100,105300,165300,0,42300,0,
234600,97800,165300,0,42300,0,
234000,94800,164700,0,46500,0,
234000,94800,164700,0,46500,0,
234000,94800,164700,0,46500,0,
228000,94800,164700,0,52500,0,
245100,94800,147600,0,52500,0,
246300,94200,147600,0,51900,0,
238500,93600,156000,0,51900,0,
238500,93600,155400,0,52500,0,
238500,104400,155400,0,41700,0,
239700,103800,155400,0,41100,0,
239700,107400,151800,0,41100,0,
240900,106800,151800,0,40500,0,
240900,107400,151200,0,40500,0,
240900,108600,150600,0,39900,0,
240900,108600,150600,0,39900,0,
235500,108600,150600,0,45300,0,
244500,108600,150600,0,36300,0,
245100,108000,150600,0,36300,0,
235500,107400,150000,0,47100,0,
235500,107400,147600,0,49500,0,
235500,107400,147600,0,49500,0,
236100,107400,147600,0,48900,0,
230700,112800,147600,0,48900,0,
253800,89700,147600,0,48900,0,
253800,85500,143400,0,57300,0,
253800,85500,140400,0,60300,0,
253800,85500,140400,0,60300,0,
247800,85500,140400,0,66300,0,
247800,85500,140400,0,66300,0,
239100,94200,140400,0,66300,0,
239100,94800,139800,0,66300,0,
