EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_2,
90000,90000,90000,90000,90000,90000,
89400,90600,90000,90000,90000,90000,
89400,90300,90300,90000,90000,90000,
89400,90300,89700,85800,94800,90000,
89400,90300,89700,86400,94200,90000,
89400,101100,89100,86400,84600,89400,
88800,98700,89100,90000,84600,88800,
95700,91800,89100,90000,84600,88800,
95700,99600,81300,90000,84600,88800,
95700,99600,87300,84000,84600,88800,
95700,95400,87300,88800,84000,88800,
95700,95400,87300,88800,89400,83400,
6300,95400,87300,88800,262200,0,
5700,94800,88500,88800,262200,0,
5700,94200,89100,88800,262200,0,
5700,86400,97500,88200,262200,0,
5700,86400,97500,86400,264000,0,
0,86400,97500,86400,269700,0,
0,97200,86700,86400,269700,0,
0,97200,86700,86400,269700,0,
0,91200,86100,93000,269700,0,
0,91200,85500,93600,269700,0,
0,91200,85500,87600,275700,0,
0,90600,85500,88800,275100,0,
0,88800,85500,88800,276900,0,
0,88800,89100,85200,276900,0,
0,88500,89400,85200,276900,0,
0,88500,88800,91800,270900,0,
0,88500,81000,107400,263100,0,
0,89100,81000,107400,262500,0,
0,87300,79200,111000,262500,0,
0,87300,79200,111000,262500,0,
0,87000,79500,111000,262500,0,
0,87000,80100,110400,262500,0,
0,87000,80100,109800,263100,0,
0,82200,80100,109800,267900,0,
0,82200,83700,109800,264300,0,
0,82200,83700,109800,264300,0,
0,92400,79500,109800,258300,0,
0,92400,80100,109200,258300,0,
0,92400,80100,117000,250500,0,
0,93000,80100,117000,249900,0,
0,94800,80100,117000,248100,0,
0,94800,80100,117000,248100,0,
0,94500,80400,117000,248100,0,
0,94500,79800,117600,248100,0,
0,94500,79800,118200,247500,0,
0,94500,79800,118200,247500,0,
0,94500,79800,118200,247500,0,
0,94500,81600,118200,245700,0,
0,90300,77400,118200,254100,0,
0,90300,81600,114000,254100,0,
0,90300,81600,107700,260400,0,
0,89700,75600,107700,267000,0,
0,89700,75600,107700,267000,0,
0,89700,75600,107700,267000,0,
0,89100,73200,107700,270000,0,
0,89100,81000,99900,270000,0,
0,89100,81000,100500,269400,0,
0,96900,81000,100500,261600,0,
0,107700,81000,100500,250800,0,
0,107700,81000,100500,250800,0,
0,107400,81300,100500,250800,0,
0,106800,80700,101700,250800,0,
0,130200,69300,90300,250200,0,
0,149400,69300,82500,238800,0,
0,149400,74700,82500,233400,0,
0,149400,74700,77100,238800,0,
0,141600,66900,77100,254400,0,
0,141600,74700,69300,254400,0,
0,118500,74700,93000,253800,0,
0,112500,74700,93000,259800,0,
0,110700,80100,93000,256200,0,
0,121500,80100,93000,245400,0,
0,121200,88200,93000,237600,0,
0,117000,97200,92400,233400,0,
0,117000,97200,88200,237600,0,
0,116400,97200,88200,238200,0,
0,116400,97200,88200,238200,0,
0,116400,97200,88200,238200,0,
0,110400,103200,88200,238200,0,
0,115200,99000,87600,238200,0,
0,115200,99000,91800,234000,0,
0,114600,100200,91800,233400,0,
0,129000,100200,82800,228000,0,
0,129000,100200,82800,228000,0,
0,126000,95400,82800,235800,0,
0,125400,94800,84000,235800,0,
0,125400,94800,84600,235200,0,
0,124800,94800,93000,227400,0,
0,124800,94800,93000,227400,0,
0,123000,94800,94800,227400,0,
0,122700,101100,94800,221400,0,
0,122100,105900,90600,221400,0,
0,122100,108900,90000,219000,0,
0,121500,108900,90000,219600,0,
0,120300,103500,90000,226200,0,
0,113100,103500,90000,233400,0,
0,105300,111300,90000,233400,0,
0,105300,111900,89400,233400,0,
0,105300,111900,95400,227400,0,
0,104700,111900,95400,228000,0,
0,102900,111900,95400,229800,0,
0,102900,102900,104400,229800,0,
0,100500,105300,104400,229800,0,
0,100500,105900,103800,229800,0,
0,100500,105900,103200,230400,0,
0,99900,105900,103200,231000,0,
0,99900,104100,103200,232800,0,
0,99900,104100,107700,228300,0,
0,93900,110100,107700,228300,0,
0,93900,102300,115500,228300,0,
0,93900,107100,114900,224100,0,
0,93900,107100,114900,224100,0,
0,101100,107100,107700,224100,0,
0,101100,107100,107700,224100,0,
0,91500,106500,107700,234300,0,
0,85500,105900,114300,234300,0,
0,98100,94500,113700,233700,0,
0,90300,94500,113700,241500,0,
0,90300,96300,111900,241500,0,
0,81300,105300,111900,241500,0,
0,81000,105600,111900,241500,0,
0,75600,100200,111300,252900,0,
0,75000,100200,117900,246900,0,
0,67800,100200,117900,254100,0,
0,66000,100200,119700,254100,0,
0,66000,100200,119700,254100,0,
0,65700,100500,119700,254100,0,
0,66300,99900,120300,253500,0,
0,65700,93900,114300,266100,0,
0,66300,93900,114300,265500,0,
0,66300,93900,114300,265500,0,
0,66300,93900,114300,265500,0,
0,75900,84300,114300,265500,0,
0,75900,93900,104700,265500,0,
0,75900,93900,98700,271500,0,
0,76500,93900,98700,270900,0,
0,76500,93900,98700,270900,0,
0,87300,93900,98700,260100,0,
0,87000,94200,98700,260100,0,
0,87000,93600,96900,262500,0,
0,79800,110100,96600,253500,0,
0,80400,110100,96600,252900,0,
0,80400,110100,93000,256500,0,
0,80400,110100,93000,256500,0,
0,78000,112500,93000,256500,0,
0,68400,102900,112200,256500,0,
0,68400,120300,95400,255900,0,
0,67800,120300,95400,256500,0,
0,67800,120300,95400,256500,0,
0,71400,116700,95400,256500,0,
0,72000,116100,95400,256500,0,
0,72000,126300,85800,255900,0,
0,72000,126300,86400,255300,0,
0,72600,126300,86400,254700,0,
0,72600,126300,86400,254700,0,
0,72600,126300,86400,254700,0,
0,81900,117000,86400,254700,0,
0,81900,117600,85800,254700,0,
0,81900,117600,93300,247200,0,
0,82500,117600,93300,246600,0,
0,82500,119400,95100,243000,0,
0,82500,119400,95100,243000,0,
0,82200,119700,95100,243000,0,
0,82200,125700,89100,243000,0,
0,82200,125700,89700,242400,0,
0,93600,125700,89700,231000,0,
0,95400,125700,89700,229200,0,
0,95400,125700,89700,229200,0,
0,99600,121500,89700,229200,0,
0,99600,110100,101100,229200,0,
0,99600,109500,102300,228600,0,
0,122400,109500,90900,217200,0,
0,115200,102300,90900,231600,0,
0,115200,102300,90900,231600,0,
0,115200,102300,90900,231600,0,
0,115200,111900,81300,231600,0,
0,115200,111900,81900,231000,0,
0,112200,111900,81900,234000,0,
0,112200,111900,81900,234000,0,
0,112200,111900,81900,234000,0,
0,112800,111300,81900,234000,0,
0,112800,110700,82500,234000,0,
0,112800,105300,77100,244800,0,
0,113400,105300,77100,244200,0,
0,113400,105300,77100,244200,0,
0,113400,105300,73500,247800,0,
0,112800,105900,73500,247800,0,
0,112800,106500,72900,247800,0,
0,112800,106500,73500,247200,0,
0,112200,116700,73500,237600,0,
0,112200,116700,73500,237600,0,
0,112200,113100,73500,241200,0,
0,117000,112500,73500,237000,0,
0,117000,111900,74100,237000,0,
0,117000,111900,73500,237600,0,
0,117600,111900,73500,237000,0,
0,117600,108300,69900,244200,0,
0,117600,102900,75300,244200,0,
0,117300,103200,75300,244200,0,
0,117300,109200,69300,244200,0,
0,118500,109200,68700,243600,0,
0,112500,109200,68700,249600,0,
0,99900,96600,93900,249600,0,
0,99900,96600,93900,249600,0,
0,99600,97500,93900,249000,0,
0,99600,98100,93300,249000,0,
0,99600,98100,87300,255000,0,
0,109800,98100,77700,254400,0,
0,109800,98100,77700,254400,0,
0,108000,99900,77700,254400,0,
0,107700,100200,77700,254400,0,
0,107700,105000,77100,250200,0,
0,107700,105000,77700,249600,0,
0,108300,105000,77700,249000,0,
0,106500,97800,77700,258000,0,
0,106500,97800,77700,258000,0,
0,106200,97200,77700,258900,0,
0,96600,96600,69900,276900,0,
0,96600,96600,69300,277500,0,
0,102600,96600,69300,271500,0,
0,97200,96600,69300,276900,0,
