EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,
90000,90000,90000,90000,90000,90000,
89400,89400,90000,90000,90000,91200,
89400,89100,89400,90900,90000,91200,
89400,89100,88800,91500,90000,91200,
89400,89100,77400,103500,89400,91200,
89400,89100,77400,103500,100800,79800,
56400,89100,76800,103500,167400,46800,
56100,89400,76800,103500,167400,46800,
68400,89100,76200,103500,167400,35400,
68400,89100,75600,108300,167400,31200,
68400,89100,94200,93900,166800,27600,
71400,89100,94200,93900,166200,25200,
70800,89100,102600,93900,166200,17400,
71400,88500,102600,93900,166200,17400,
71400,88200,102900,93900,166200,17400,
71400,88200,108900,87900,166200,17400,
79500,88200,108900,87600,158400,17400,
79500,88200,108900,87000,150600,25800,
78900,88200,108900,87000,150600,26400,
78600,87600,108900,87000,150600,27300,
78600,87300,109200,87000,150600,27300,
78600,89100,108600,86400,150000,27300,
78600,89100,108600,86100,150300,27300,
78600,89100,109500,86100,150000,26700,
79200,89100,109500,86100,150000,26100,
79800,88500,109500,86100,150000,26100,
81300,88200,108900,85500,150000,26100,
75300,88200,108300,92100,150000,26100,
75300,88200,107700,77100,166200,25500,
75300,88200,112500,77100,162000,24900,
74700,88200,125100,77100,150600,24300,
65100,87600,144900,77100,150600,14700,
65100,87300,145200,77100,150600,14700,
65100,87300,137400,85500,150600,14100,
65100,87300,137400,85200,150900,14100,
65100,86700,137400,86700,150600,13500,
57300,102300,137400,86700,150600,5700,
57000,102600,137400,86700,150600,5700,
57000,102000,133200,86100,156000,5700,
45600,102000,145200,85500,156000,5700,
45600,102000,146100,85200,155400,5700,
45600,102000,146100,85200,149700,11400,
45000,114600,146100,85200,138300,10800,
44700,114000,147000,85200,138300,10800,
44100,115200,146400,85200,138300,10800,
32700,103800,138600,115800,138300,10800,
32700,103800,138600,102600,161100,1200,
32700,103800,138600,102600,159900,2400,
15900,103200,138600,85800,196500,0,
15600,111300,138600,85800,188700,0,
15600,111900,138000,85800,188700,0,
15600,111900,140400,83400,188700,0,
15600,111900,140400,87600,184500,0,
15600,111900,140400,87600,184500,0,
15600,101100,151200,87600,184500,0,
15300,100500,151200,88500,184500,0,
15300,100200,151500,88500,184500,0,
25500,100200,150900,78900,184500,0,
25500,100200,150900,79500,183900,0,
24900,101100,150900,79500,183600,0,
24900,101100,150900,79500,183600,0,
24600,100500,152400,78900,183600,0,
24600,100200,148200,83400,183600,0,
24600,101400,147600,82800,183600,0,
24600,101400,147600,87000,179400,0,
24000,102300,147600,87000,179100,0,
31200,102300,147600,87000,171900,0,
19800,114300,147000,87000,171900,0,
19800,114900,146400,87000,171900,0,
19200,138300,135000,75600,171900,0,
19200,138300,135000,75300,172200,0,
19500,138300,135000,75300,171900,0,
10500,138300,133200,75300,182700,0,
9900,138900,133200,75300,182700,0,
9900,139500,132600,75300,182700,0,
9900,138900,132000,71100,188100,0,
9900,138900,132000,70800,188400,0,
9300,138900,131400,70800,189600,0,
16500,131700,131400,70800,189600,0,
16200,132000,131400,70800,189600,0,
16200,131400,132000,70800,189600,0,
15600,131400,127800,75600,189600,0,
15600,131400,127800,60600,204600,0,
25200,131400,127800,60600,195000,0,
23400,131400,127800,57000,200400,0,
22800,114600,127800,57000,217800,0,
22800,103200,139200,57000,217800,0,
22800,103200,139200,57000,217800,0,
18600,103200,139200,61800,217200,0,
