EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_16_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_16_FLOP_EX_LIMIT,
90000,90000,90000,90000,90000,90000,
90600,89400,90000,90000,90000,90000,
90600,80400,99000,90000,90000,90000,
90000,80400,100200,89400,90000,90000,
90000,80400,100200,97200,82200,90000,
90000,80400,100200,97200,81900,90300,
90300,80400,100200,97200,81900,90000,
60900,51000,100200,97200,81900,148800,
60900,50400,100800,97200,81900,148800,
60300,51900,100500,96600,81900,148800,
60300,51900,100500,97200,81300,148800,
60300,51900,92700,97200,81000,156900,
66900,51900,92700,91200,81000,156300,
66600,51300,106200,91200,81000,143700,
66600,51000,105600,91200,81900,143700,
69900,51000,105300,88800,81300,143700,
93000,51000,93900,88500,69900,143700,
93000,51000,93900,88500,70500,143100,
99300,51000,93900,82500,70500,142800,
107100,43200,93900,82500,70500,142800,
107100,31800,105300,82500,70500,142800,
107100,31800,105000,81900,71400,142800,
107100,31800,105000,81600,71700,142800,
107100,31800,105000,81600,71400,143100,
106500,31800,105000,81600,71400,143700,
105900,27600,105000,81600,76200,143700,
106800,27300,104400,81600,76200,143700,
106800,27300,104100,81900,76200,143700,
106800,27300,104100,81600,68400,151800,
99000,27300,104100,81600,68100,159900,
99900,27300,104100,81000,68100,159600,
99600,21300,104100,81000,68100,165900,
99000,20700,99900,81000,73500,165900,
99000,20700,99600,80400,74400,165900,
100500,20100,99600,80100,73800,165900,
100500,20100,99600,80100,56400,183300,
113400,20100,87000,80100,56400,183000,
100200,34500,87000,79500,55800,183000,
99600,34200,86400,81000,55800,183000,
99600,34200,86100,81300,55800,183000,
99600,34200,85500,81000,55200,184500,
99600,34200,85500,69600,67200,183900,
99000,34200,85500,61800,67200,192300,
98400,33600,85500,61800,67200,193500,
98400,34200,84900,61800,67200,193500,
98400,34200,84600,46800,67200,208800,
98400,34200,80400,51600,66600,208800,
98400,34200,80400,51600,66300,209100,
90600,34200,80400,51600,66300,216900,
84600,40800,80400,51600,65700,216900,
84600,41400,79800,51600,65700,216900,
85500,41400,79500,51000,65700,216900,
85500,41400,79500,51600,65100,216900,
85500,41400,79500,51600,75300,206700,
84900,41400,79500,41400,75300,217500,
84900,41400,79500,41400,75300,217500,
