EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_24_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_24_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_24_FLOP_EX_LIMIT,
90000,90000,90000,90000,90000,90000,
99600,80400,90000,90000,90000,90000,
99000,69000,113400,90000,78600,90000,
99000,69000,113100,90300,78600,90000,
99000,69000,115800,90000,76200,90000,
99000,70200,115800,90000,75600,89400,
98400,70200,115800,90000,75600,90000,
98100,70500,115800,90000,75600,90000,
98100,71100,115200,90000,75600,90000,
98100,71100,93000,67800,120000,90000,
110700,71100,93000,60000,119400,85800,
110700,71100,92400,37800,142800,85200,
110100,71100,70200,37800,142800,108000,
109500,70500,71400,37800,142800,108000,
109500,71100,70800,37800,142800,108000,
112800,68700,70500,37200,142800,108000,
112800,68700,70500,36900,143100,108000,
110400,68700,70500,40500,142500,107400,
116700,68700,70500,40500,136500,107100,
139500,57300,70500,29100,136500,107100,
139500,54900,72900,29100,136500,107100,
139500,54900,73500,28500,136500,107100,
139500,65400,65700,28200,134100,107100,
139500,65400,65700,28200,150900,90300,
139800,65400,65700,28200,150900,90000,
139200,66600,65100,28200,150900,90000,
139200,55200,64500,28200,156900,96000,
139200,55200,65100,27600,156900,96000,
139200,55200,65100,35400,149100,96000,
139200,49200,59100,35400,161700,95400,
139500,49200,59100,35400,161700,95100,
139200,57300,51300,35400,161700,95100,
139200,57900,50700,35400,161700,95100,
139200,57900,50400,43500,153900,95100,
139200,57900,51300,43200,153300,95100,
139200,57900,51300,43200,153000,95400,
136800,55500,51300,43200,158100,95100,
139200,53100,51300,43200,158100,95100,
133200,52800,57600,43200,158100,95100,
133200,52800,75600,42600,157500,78300,
133200,52200,75000,36600,151500,91500,
133200,52200,75000,43200,145500,90900,
133500,52200,75000,43200,145500,90600,
133200,52500,75000,43200,145500,90600,
133200,30300,74400,21000,190500,90600,
133200,24300,68400,33600,189900,90600,
133200,24300,68400,43200,180300,90600,
125400,24300,68400,59400,172500,90000,
124800,24300,68400,60300,172500,89700,
125400,23700,68400,60300,172500,89700,
125400,26100,66000,60300,172500,89700,
125400,26100,54600,59700,172500,101700,
125400,26100,54600,37500,194700,101700,
125400,26100,54600,37500,188700,107700,
141000,18300,54600,37500,188700,99900,
140400,19500,54600,36900,188700,99900,
150900,19200,48600,36900,184500,99900,
150900,38400,30000,36300,184500,99900,
150900,38400,30000,42300,178500,99900,
150900,37800,30000,44100,177900,99300,
151200,37800,30000,44100,178200,98700,
150600,37200,30000,44100,178200,99900,
150600,36600,30600,44100,178200,99900,
169800,36600,12000,43500,178200,99900,
169800,36600,12000,43200,178500,99900,
169800,36600,12000,44100,178200,99300,
158400,36600,35700,44100,166200,99000,
147000,36000,35700,44100,166200,111000,
