EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,
90000,90000,90000,90000,90000,90000,
78600,101400,90000,90000,90000,90000,
80400,100800,89400,90000,89400,90000,
80400,96600,94200,89400,89400,90000,
80400,96600,94200,83400,95400,90000,
79800,92400,105300,83400,95100,84000,
103200,92400,105300,75600,87300,76200,
102900,115500,93900,75600,75900,76200,
104400,115200,93300,75600,75900,75600,
107400,115200,92700,73200,75900,75600,
107400,115200,92700,67200,81900,75600,
107400,122400,92100,67200,75900,75000,
108000,122400,92100,67200,75900,74400,
107700,122700,92100,67200,75900,74400,
107100,124500,91500,67200,75900,73800,
97500,124500,91200,66600,86400,73800,
97500,124500,91200,73200,85800,67800,
86100,124500,91200,73200,85200,79800,
85500,125700,91200,73200,85200,79200,
85200,126600,91200,73200,84600,79200,
85200,126300,90600,73200,85500,79200,
85200,126300,90300,73500,85500,79200,
85200,142200,78900,73200,81300,79200,
73800,142200,78900,61800,104700,78600,
74100,142200,78900,61800,104700,78300,
69900,138000,78900,61800,113100,78300,
69900,137700,79200,61800,113100,78300,
69900,137700,78900,62100,113100,78300,
69900,137700,78900,61800,113400,78300,
69900,137700,78900,64500,113100,75900,
70200,137700,78900,64500,113100,75600,
66000,142500,78300,64500,113100,75600,
65400,159300,70500,64500,112500,67800,
65400,159300,69900,58500,119100,67800,
55800,159300,69900,58200,129600,67200,
67500,159300,69900,58200,129300,55800,
63300,159300,74400,58200,129300,55500,
53700,168900,74400,58200,129300,55500,
53700,169500,73800,58200,129300,55500,
53700,169500,73200,52200,129300,62100,
44100,169500,73200,62400,128700,62100,
44100,169500,73200,63300,128400,61500,
47100,168900,73200,63300,128400,59100,
46800,161100,77250,67350,128400,59100,
46200,160800,69450,67350,137100,59100,
45600,162600,68850,66750,137100,59100,
45600,162600,68850,66450,137400,59100,
39600,156600,68850,65850,137100,72000,
39000,156600,57450,65850,137100,84000,
38400,154200,57450,68850,137100,84000,
38400,144600,67650,68850,136500,84000,
38400,157800,65250,59250,135900,83400,
27000,157800,65250,47850,158700,83400,
47400,157200,65250,38250,149100,82800,
46800,157200,65250,34050,149100,87600,
46800,157200,65250,34050,149100,87600,
46200,156900,62850,46950,139500,87600,
46200,156900,62550,47250,139500,87600,
46200,156900,63450,46950,138900,87600,
46200,156900,55650,55650,138600,87000,
43800,156900,53250,60750,138600,86700,
43200,154500,53250,63750,138600,86700,
43200,154200,65550,63750,138000,75300,
43200,155400,64950,63150,138000,75300,
49800,155400,64950,62550,132000,75300,
49800,155400,64950,61950,126000,81900,
47400,158400,64950,61950,126000,81300,
47100,158700,64950,61950,126000,81300,
47100,149100,74550,61950,126000,81300,
47100,149100,75150,61350,126000,81300,
47100,149100,84150,60750,118200,80700,
47100,149100,84150,60750,117900,81000,
47400,149100,84150,60750,117900,80700,
46800,161100,84150,60750,106500,80700,
46800,160800,84450,60750,106500,80700,
46800,161700,84150,60150,106500,80700,
46200,161700,83550,59550,108300,80700,
58500,161700,72150,59550,108000,80100,
57900,161700,72450,59550,108000,80400,
51900,168900,71850,59550,108000,79800,
51900,168300,56850,59550,108000,95400,
51900,168300,45450,70950,108000,95400,
51900,168300,45450,70650,108300,95400,
51300,168300,44850,70050,110700,94800,
50700,158700,44850,70050,110700,105000,
50100,188100,35250,60450,110700,95400,
50100,183900,39450,60450,110700,95400,
50100,183900,50550,49350,110700,95400,
50100,183900,50550,49950,110100,95400,
40500,183900,50550,49950,120300,94800,
30900,194400,49950,49950,120300,94500,
48900,193800,49950,49950,112500,84900,
48900,193500,49350,56850,112500,78900,
48900,193500,48750,56250,114300,78300,
48900,193500,48750,44850,125700,78300,
48900,195300,48150,44850,125100,77700,
48300,195300,48150,44850,115500,87900,
48000,194700,47550,44850,113100,91800,
48000,194700,47550,44850,113100,91800,
48000,194700,47250,45150,113100,91800,
48000,199500,47250,44550,108900,91800,
52800,199500,47250,44550,108300,87600,
41400,222900,47250,43950,108300,76200,
41100,216900,47250,43950,114600,76200,
42600,216600,46650,43950,114000,76200,
38400,216600,46350,48450,114000,76200,
38400,212400,46350,53850,113400,75600,
38400,212400,51750,51450,111000,75000,
50100,201000,51750,51450,111000,74700,
58500,200400,51750,51450,111000,66900,
58500,189000,63150,51450,111000,66900,
58500,189000,69150,45450,111000,66900,
58500,189000,69600,45150,110400,67350,
58500,189000,69600,45150,110100,67650,
57900,189000,69600,57150,110100,56250,
57300,188400,70800,57150,110100,56250,
85500,175200,70200,56550,109500,43050,
79500,175200,69900,63450,109500,42450,
79500,175200,62100,63150,117600,42450,
79500,175200,54300,63150,126000,41850,
78900,175200,54300,63150,126000,42450,
90900,174600,42900,63150,126000,42450,
90900,174300,38700,63150,130500,42450,
92100,174300,38100,62550,130500,42450,
