EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,
90000,120000,120000,120000,
89700,117600,120000,122700,
89700,118200,119400,122700,
89700,118200,119100,123000,
90300,118200,119100,122400,
90000,128100,109500,122400,
93300,127800,108900,120000,
93300,127200,108300,121200,
103200,127200,98700,120900,
102900,137700,98100,111300,
102300,137400,99000,111300,
102300,137400,98700,111600,
102600,137400,98700,111300,
102000,135000,98700,114300,
102000,134700,99000,114300,
102000,134700,103200,110100,
101400,123300,126600,98700,
101100,124200,126000,98700,
101100,123900,123600,101400,
101100,123900,123000,102000,
103800,121500,123000,101700,
103200,119100,123000,104700,
103200,119700,122400,104700,
103200,119700,122100,105000,
102600,119700,119700,108000,
102300,119100,119700,108900,
92700,129300,119100,108900,
89100,133800,118800,108300,
81300,133800,118800,116100,
75300,133200,118800,122700,
75300,132900,118200,123600,
75300,132900,117600,124200,
71100,132900,122400,123600,
70800,139800,120000,119400,
70800,139200,117600,122400,
70800,139200,113400,126600,
70200,139200,113400,127200,
66000,143400,113400,127200,
66000,143100,113700,127200,
66000,137100,113400,133500,
65400,137100,113400,134100,
64800,137700,113400,134100,
64800,137100,114000,134100,
66300,136500,113700,133500,
65700,132300,118800,133200,
66300,131700,118800,133200,
67200,131400,118200,133200,
67200,132300,117900,132600,
64800,132300,120600,132300,
65100,131700,120900,132300,
57300,147300,113100,132300,
45900,135900,136500,131700,
45300,135300,138000,131400,
45000,134700,138900,131400,
45000,134400,138300,132300,
45000,134400,138000,132600,
44400,134400,138000,133200,
44100,137700,137400,130800,
38100,137400,143700,130800,
38100,137400,143400,131100,
38400,137400,143400,130800,
38100,136800,143400,131700,
38100,130800,149400,131700,
38100,130800,149100,132000,
38700,130800,149100,131400,
39900,130200,148500,131400,
32100,122400,164100,131400,
42000,122400,163800,121800,
30600,122400,175500,121500,
30000,121800,176700,121500,
30000,121500,177000,121500,
30000,121500,176700,121800,
30000,121500,176700,121800,
22200,129300,176700,121800,
22200,137700,176100,114000,
22200,160500,164700,102600,
22500,160500,164700,102300,
25500,159900,162300,102300,
25500,160500,161700,102300,
25500,160500,161400,102600,
31500,160500,161400,96600,
31200,166800,155400,96600,
31200,167400,154800,96600,
31200,167400,143400,108000,
32400,167400,142800,107400,
32100,166800,144300,106800,
32100,166500,144600,106800,
32100,166500,156000,95400,
31500,166500,150000,102000,
32100,165900,150000,102000,
32100,159900,156000,102000,
32100,159900,155700,102300,
32700,159900,155700,101700,
32100,170100,155700,92100,
32100,169800,156000,92100,
31500,171300,155700,91500,
41100,171300,155700,81900,
52500,159900,155700,81900,
53400,159600,155100,81900,
53400,159600,154800,82200,
52800,159600,155700,81900,
52800,159600,155700,81900,
68400,151800,147900,81900,
57000,164400,147300,81300,
45600,153000,170400,81000,
41400,157200,170400,81000,
41400,156900,169800,81900,
41400,156900,169500,82200,
33600,156900,168900,90600,
33000,156300,170100,90600,
33000,156000,170400,90600,
33000,156000,166200,94800,
32400,156000,166200,95400,
31800,156600,166200,95400,
31800,152400,170400,95400,
31800,152400,171000,94800,
31200,152400,171000,95400,
34800,151800,170400,93000,
37800,151200,168000,93000,
37800,151200,168000,93000,
38100,151200,168000,92700,
37800,151500,168000,92700,
37800,141900,177600,92700,
37800,135900,171600,104700,
37200,135900,171600,105300,
39000,135300,171000,104700,
39000,139500,166800,104700,
39000,139500,176400,95100,
38400,140400,176400,94800,
38100,140700,176400,94800,
38100,148200,168900,94800,
38100,148200,157500,106200,
35700,148200,157500,108600,
39900,144000,157500,108600,
28500,156600,156900,108000,
28500,156600,156600,108300,
27900,157800,156600,107700,
27600,155400,159300,107700,
27600,156600,158700,107100,
27600,156600,147300,118500,
27000,156600,157500,108900,
26400,157200,157500,108900,
26400,154800,159900,108900,
26400,148800,159600,115200,
26700,148800,159600,114900,
26400,144600,159600,119400,
26400,144300,162300,117000,
20400,144300,168900,116400,
14400,144300,168300,123000,
20400,138300,168300,123000,
20400,138000,162300,129300,
21300,138000,162000,128700,
22200,137400,162000,128400,
21900,141900,157800,128400,
21900,137700,162000,128400,
21900,137700,161700,128700,
22200,137700,161700,128400,
21900,138000,161700,128400,
21900,144000,155700,128400,
21900,144000,161700,122400,
21300,144000,161700,123000,
21000,143400,162600,123000,
22200,142800,162000,123000,
16200,142800,168600,122400,
20400,142800,168600,118200,
20100,150900,168600,110400,
20100,151500,168000,110400,
20100,151500,167700,110700,
32100,151500,167100,99300,
31500,147300,167100,104100,
31500,147000,167400,104100,
31500,148200,166800,103500,
31800,148200,166800,103200,
32400,147600,166800,103200,
32400,139800,174600,103200,
33300,139800,174300,102600,
33600,139800,174300,102300,
33300,140100,174300,102300,
33300,134100,173700,108900,
33300,134100,173100,109500,
32700,140700,173100,103500,
32400,145800,170700,101100,
28200,150600,170100,101100,
27600,150600,174900,96900,
27000,151500,174900,96600,
26700,151800,174900,96600,
26700,144000,182700,96600,
26700,144000,182400,96900,
34800,136200,182400,96600,
35400,135600,182400,96600,
35400,135300,182700,96600,
