EXPECTATION,CALL_MAN,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT,EXACT_RANGE_EXP_2,
90000,120000,120000,120000,120000,
84000,114000,120000,120000,132000,
84000,112500,121500,120000,132000,
84000,111000,123600,119400,132000,
84000,0,128100,119100,238800,
82500,0,128100,119100,240300,
81900,0,128700,119100,240300,
81900,0,126000,121800,240300,
82200,0,127200,120300,240300,
82200,0,128400,119700,239700,
82200,0,128400,119700,239700,
81600,0,129000,119700,239700,
81600,0,129000,119700,239700,
81600,0,129600,119100,239700,
81600,0,127200,122100,239100,
83100,0,127200,122100,237600,
82500,0,127800,122100,237600,
82500,0,125800,124100,237600,
82500,0,123000,126900,237600,
82500,0,123000,126300,238200,
89500,0,123000,120200,237300,
88600,0,123900,120200,237300,
88600,0,125400,118700,237300,
87000,0,120700,125000,237300,
87000,0,120700,124400,237900,
86400,0,121900,124400,237300,
86400,0,121900,124400,237300,
86400,0,121600,124400,237600,
86400,0,113300,132700,237600,
86400,0,113300,132100,238200,
85500,0,113300,132100,239100,
84300,0,114500,132100,239100,
84300,0,110900,135700,239100,
87000,0,109400,134500,239100,
87000,0,110000,134200,238800,
88200,0,110000,134200,237600,
89700,0,108500,134200,237600,
89700,0,108200,134200,237900,
89700,0,109700,132700,237900,
89700,0,109700,133300,237300,
89700,0,109700,133300,237300,
91200,0,108200,133300,237300,
91200,0,110000,132400,236400,
89700,0,112700,131200,236400,
89700,0,112700,130900,236700,
88800,0,112700,130900,237600,
87900,0,116000,130900,235200,
87900,0,112600,134300,235200,
87900,0,111100,135800,235200,
87900,0,111100,135500,235500,
82200,0,111100,135500,241200,
80700,0,112600,135500,241200,
80700,0,112900,135200,241200,
80700,0,101500,146600,241200,
80700,0,101500,146300,241500,
77400,0,101500,146300,244800,
78900,0,100000,146300,244800,
78900,0,99700,146300,245100,
82300,0,98000,144600,245100,
82300,0,98000,145200,244500,
77800,0,98000,145200,249000,
77200,0,98600,145200,249000,
77200,0,98300,145500,249000,
72200,0,96600,152200,249000,
72200,0,96600,152800,248400,
71000,0,96600,152800,249600,
70100,0,97500,152800,249600,
70100,0,97500,152800,249600,
70100,0,95600,154700,249600,
70100,0,95600,154400,249900,
69500,0,95600,155600,249300,
70400,0,94700,155600,249300,
70400,0,94400,155300,249900,
64500,0,102600,153000,249900,
64500,0,102600,152700,250200,
64800,0,102600,153000,249600,
61800,0,101700,153000,253500,
61800,0,101700,153000,253500,
56900,0,100800,158800,253500,
56900,0,100800,154600,257700,
58400,0,100800,154600,256200,
58400,0,100800,154600,256200,
58400,0,95900,159500,256200,
58400,0,91800,163600,256200,
58400,0,91800,155800,264000,
56900,0,91800,155800,265500,
58400,0,90300,155800,265500,
58400,0,90300,155800,265500,
58400,0,90900,155200,265500,
52400,0,90900,161800,264900,
51000,0,90900,164600,263500,
50400,0,84900,164600,270100,
50400,0,84900,164600,270100,
50400,0,85500,164000,270100,
50400,0,85500,164600,269500,
53400,0,85500,164600,266500,
51900,0,87000,164600,266500,
51900,0,80800,170800,266500,
51900,0,78600,173000,266500,
51900,0,78600,178400,261100,
53100,0,78600,178400,259900,
54600,0,77100,178400,259900,
54600,0,71700,183800,259900,
54600,0,72900,182600,259900,
54600,0,72900,186800,255700,
56100,0,72900,186800,254200,
57300,0,71700,186800,254200,
57300,0,71400,185000,256300,
57300,0,74800,181600,256300,
57300,0,74800,187600,250300,
58800,0,74800,187600,248800,
58200,0,75400,187600,248800,
58200,0,66500,196500,248800,
58200,0,62900,200100,248800,
58200,0,68300,198300,245200,
60600,0,68300,198300,242800,
61800,0,67100,198300,242800,
61800,0,67700,198000,242500,
64500,0,66200,196800,242500,
64500,0,65600,196500,243400,
60600,0,65600,196500,247300,
59700,0,66500,196500,247300,
59700,0,66500,196500,247300,
59700,0,67700,195300,247300,
59700,0,67700,195000,247600,
0,0,67700,316300,186000,
0,0,70200,313800,186000,
0,0,69900,314100,186000,
0,0,71100,312900,186000,
0,0,71100,317100,181800,
0,0,72300,317100,180600,
0,0,76900,312500,180600,
0,0,76900,312500,180600,
0,0,75400,314000,180600,
0,0,75400,309800,184800,
0,0,76000,309800,184200,
0,0,76300,309800,183900,
0,0,70900,309800,189300,
0,0,67400,313300,189300,
0,0,66200,313000,190800,
0,0,63200,313000,193800,
0,0,68400,307800,193800,
0,0,68400,307800,193800,
0,0,70500,306900,192600,
0,0,70500,307500,192000,
0,0,69000,307500,193500,
0,0,69000,307500,193500,
0,0,53500,323000,193500,
0,0,49800,326700,193500,
0,0,49800,322500,197700,
0,0,50100,322800,197100,
0,0,45500,327400,197100,
0,0,45500,327400,197100,
0,0,43600,329300,197100,
0,0,43600,328700,197700,
0,0,40300,328700,201000,
0,0,37200,331800,201000,
0,0,37500,331500,201000,
0,0,31500,337500,201000,
0,0,27500,342100,200400,
0,0,30200,342100,197700,
0,0,26800,345500,197700,
0,0,24500,347800,197700,
0,0,23000,353400,193600,
0,0,23000,347400,199600,
0,0,0,347400,222600,
0,0,0,354600,215400,
0,0,0,354600,215400,
0,0,0,354600,215400,
0,0,0,354000,216000,
0,0,0,360000,210000,
0,0,0,360000,210000,
0,0,0,367200,202800,
0,0,0,372600,197400,
0,0,0,366600,203400,
0,0,0,366000,204000,
0,0,0,366000,204000,
0,0,0,367800,202200,
0,0,0,364200,205800,
0,0,0,364800,205200,
0,0,0,365400,204600,
0,0,0,369000,201000,
0,0,0,369000,201000,
0,0,0,369000,201000,
0,0,0,375000,195000,
0,0,0,386400,183600,
0,0,0,384600,185400,
0,0,0,384600,185400,
0,0,0,384600,185400,
0,0,0,384300,185700,
0,0,0,381900,188100,
0,0,0,389100,180900,
0,0,0,387300,182700,
0,0,0,387300,182700,
0,0,0,387900,182100,
0,0,0,387300,182700,
0,0,0,387300,182700,
0,0,0,387300,182700,
0,0,0,387300,182700,
0,0,0,386700,183300,
0,0,0,386700,183300,
0,0,0,384900,185100,
0,0,0,390300,179700,
0,0,0,388500,181500,
0,0,0,388200,181800,
0,0,0,385200,184800,
0,0,0,385200,184800,
0,0,0,385200,184800,
0,0,0,385200,184800,
0,0,0,380400,189600,
0,0,0,370200,199800,
0,0,0,370200,199800,
0,0,0,370200,199800,
0,0,0,370200,199800,
0,0,0,369900,200100,
0,0,0,366900,203100,
0,0,0,372300,197700,
0,0,0,372300,197700,
0,0,0,370500,199500,
0,0,0,370200,199800,
0,0,0,376200,193800,
0,0,0,376200,193800,
0,0,0,372600,197400,
0,0,0,372600,197400,
0,0,0,373200,196800,
0,0,0,379200,190800,
