EXPECTATION,EXPECTATION_RAISE_LIMIT_24,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT_2,EXACT_RANGE_EXP_2,
90000,120000,120000,120000,120000,
92000,118000,120000,120000,120000,
92000,117700,120300,120000,120000,
92000,117700,124700,115600,120000,
92000,117700,124700,115300,120300,
94400,117700,124700,115300,117900,
95900,116200,124700,115300,117900,
95900,110200,124100,115300,124500,
95900,110200,122300,117100,124500,
95900,110200,122300,111100,130500,
92100,114600,122300,111100,129900,
89800,116900,122300,111100,129900,
89200,116600,118100,103300,142800,
89200,121700,113900,102400,142800,
89200,121700,113900,102100,143100,
90700,121700,113900,102100,141600,
94800,119800,113900,102100,139400,
94800,119500,114200,102100,139400,
94800,119500,115700,100600,139400,
94800,119500,115700,100300,139700,
90300,119500,115700,100300,144200,
87300,122500,115700,100300,144200,
87300,122200,116000,100300,144200,
87300,120800,106000,111700,144200,
87300,123800,106000,111100,141800,
86700,123800,106000,111100,142400,
86100,124400,106000,111100,142400,
86100,123800,106600,111100,142400,
86100,123800,106000,111700,142400,
86100,123800,105400,115900,138800,
87300,123800,105400,115900,137600,
84500,126600,105400,115900,137600,
84500,127200,104800,115900,137600,
84500,127200,106300,114400,137600,
84500,127200,106300,111400,140600,
84500,127200,106300,111400,140600,
88100,126600,106300,111400,137600,
88100,126300,106600,111400,137600,
88100,126300,106600,111400,137600,
88100,126300,106600,115600,133400,
81800,126300,106600,109300,146000,
79600,124100,106600,109300,150400,
79600,126500,104200,109300,150400,
79600,117900,99500,122600,150400,
79600,118800,99500,122300,149800,
82000,118800,99500,122300,147400,
66000,102800,99500,122300,179400,
66000,102500,99800,122300,179400,
66000,102500,97900,124200,179400,
66000,102500,97900,126600,177000,
60600,102500,97900,126600,182400,
62700,100400,97900,126600,182400,
62700,100100,98200,126600,182400,
62700,100100,93700,131100,182400,
62700,101300,93700,130500,181800,
64200,101300,93700,130500,180300,
60600,116500,93700,118900,180300,
63000,115600,92200,118900,180300,
63000,115600,90700,120400,180300,
63000,115600,89500,120100,181800,
46100,98700,89500,120100,215600,
48300,96500,89500,120100,215600,
48300,100700,85300,120100,215600,
48300,100700,86800,118600,215600,
48300,100700,80800,125200,215000,
49800,100700,80800,125200,213500,
52100,98400,80800,125200,213500,
52100,97800,81400,125200,213500,
52100,97800,79400,127200,213500,
52100,97800,79400,133200,207500,
44600,97800,79400,133200,215000,
42000,100400,79400,133200,215000,
42000,106400,73400,133200,215000,
42000,106400,72500,130800,218300,
42000,106400,75400,129100,217100,
41100,106400,75400,129100,218000,
43200,104300,75400,129100,218000,
49800,98300,74800,129100,218000,
49800,101500,72200,128500,218000,
49800,101500,72200,128200,218300,
55500,101500,72200,128200,212600,
56100,100900,72200,128200,212600,
56100,99500,73600,128200,212600,
56100,99500,69400,132400,212600,
56100,99500,69400,131800,213200,
57300,99500,69400,131800,212000,
54200,102600,69400,131800,212000,
49300,108100,68800,131800,212000,
49300,108100,60300,140300,212000,
49300,108100,60300,134300,218000,
50500,108100,60300,134300,216800,
53100,105500,60300,134300,216800,
54600,105200,59100,134300,216800,
54600,105200,50100,143300,216800,
54600,105200,51000,143000,216200,
51300,105200,51000,143000,219500,
53300,103200,51000,143000,219500,
53300,102600,51600,143000,219500,
53300,102600,45400,149200,219500,
53300,102600,45400,148900,219800,
52400,102600,45400,150700,218900,
51200,101400,45400,150700,221300,
51200,101100,45700,150700,221300,
51200,101100,45700,150700,221300,
51200,101100,45700,150100,221900,
50600,101100,45700,157900,214700,
47400,165800,45700,96400,214700,
47400,202200,27500,78200,214700,
47400,202200,18100,87600,214700,
47400,202200,18100,88200,214100,
48900,202200,18100,88200,212600,
51400,199700,18100,88200,212600,
50800,193000,16500,97100,212600,
50800,193000,17100,96500,212600,
50800,193000,17100,96200,212900,
50800,193000,17100,96200,212900,
44800,188300,17100,96200,223600,
44800,188300,17100,96200,223600,
46900,188300,15600,95600,223600,
46900,188300,15600,95000,224200,
48400,188300,15600,95000,222700,
50400,186300,15600,95000,222700,
50400,189900,12000,95000,222700,
50400,185300,4800,106800,222700,
50400,185300,6300,106500,221500,
48900,185300,6300,106500,223000,
47900,184700,7900,106500,223000,
47900,184400,8200,106500,223000,
47900,184400,8200,106500,223000,
47900,184400,8200,106200,223300,
49400,184400,8200,106200,221800,
47100,186700,8200,106200,221800,
47100,186400,8500,106200,221800,
47100,186400,9100,105600,221800,
47100,186400,9100,99600,227800,
50400,186400,9100,99600,224500,
38500,174500,9100,99600,248300,
38500,174200,9400,99600,248300,
38500,268700,8000,6500,248300,
38500,268700,7400,6200,249200,
37900,268700,7400,7400,248600,
35300,273900,7400,7400,246000,
35300,273300,8000,7400,246000,
35300,285100,2100,1500,246000,
35300,285100,2100,1200,246300,
36800,285100,2100,1200,244800,
34100,287800,2100,1200,244800,
34100,287500,2400,1200,244800,
34100,287500,1200,2400,244800,
34100,287500,1200,2100,245100,
39500,287500,1200,0,241800,
41800,285200,1200,0,241800,
41800,284600,1800,0,241800,
41800,284600,300,0,243300,
43800,282600,300,0,243300,
41200,287000,300,0,241500,
37700,285300,300,0,246700,
37700,285000,300,0,247000,
37700,285000,900,0,246400,
35600,287100,900,0,246400,
36800,287100,900,0,245200,
39400,284500,900,0,245200,
39400,284200,1200,0,245200,
39400,301600,300,0,228700,
38400,302600,300,0,228700,
39900,302600,0,0,227500,
32100,294800,0,0,243100,
32100,295400,0,0,242500,
35100,293700,0,0,241200,
33400,295400,0,0,241200,
38000,292700,0,0,239300,
40300,290400,0,0,239300,
40300,290100,0,0,239600,
40900,289500,0,0,239600,
41700,288700,0,0,239600,
45300,286700,0,0,238000,
42700,289300,0,0,238000,
42700,279300,0,0,248000,
41300,281200,0,0,247500,
42400,280100,0,0,247500,
41800,281300,0,0,246900,
38600,284500,0,0,246900,
38600,290500,0,0,240900,
38600,303300,0,0,228100,
38600,303300,0,0,228100,
38000,303300,0,0,228700,
40000,301300,0,0,228700,
34000,295300,0,0,240700,
34000,294100,0,0,241900,
34000,294100,0,0,241900,
34000,294100,0,0,241900,
30900,297200,0,0,241900,
26100,296900,0,0,247000,
23500,299500,0,0,247000,
22600,300400,0,0,247000,
0,273900,0,0,296100,
0,272100,0,0,297900,
0,271800,0,0,298200,
0,271800,0,0,298200,
0,280900,0,0,289100,
0,281500,0,0,288500,
0,281500,0,0,288500,
0,281200,0,0,288800,
0,261600,0,0,308400,
0,261600,0,0,308400,
0,250800,0,0,319200,
0,250800,0,0,319200,
0,250500,0,0,319500,
0,250500,0,0,319500,
0,249300,0,0,320700,
0,245100,0,0,324900,
0,248700,0,0,321300,
0,242700,0,0,327300,
0,242700,0,0,327300,
0,242700,0,0,327300,
0,240900,0,0,329100,
